% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 12:12:13 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -8.513064e+01, -1.252092e+02
1.021326364328e+04, -8.676764e+01, -1.258585e+02
1.123051624745e+04, -8.815919e+01, -1.261683e+02
1.224776885162e+04, -8.925977e+01, -1.261925e+02
1.326502145578e+04, -8.990041e+01, -1.264236e+02
1.428227405995e+04, -9.039120e+01, -1.269494e+02
1.529952666412e+04, -9.096948e+01, -1.269796e+02
1.631677926828e+04, -9.198440e+01, -1.268641e+02
1.733403187245e+04, -9.332454e+01, -1.249528e+02
1.835128447662e+04, -9.418682e+01, -1.223319e+02
1.936853708078e+04, -9.415941e+01, -1.234823e+02
2.038578968495e+04, -9.436290e+01, -1.269513e+02
2.140304228912e+04, -9.510204e+01, -1.280942e+02
2.242029489328e+04, -9.542212e+01, -1.282375e+02
2.343754749745e+04, -9.553425e+01, -1.277405e+02
2.445480010162e+04, -9.586494e+01, -1.269199e+02
2.547205270578e+04, -9.638202e+01, -1.271480e+02
2.648930530995e+04, -9.635855e+01, -1.277722e+02
2.750655791412e+04, -9.560379e+01, -1.281358e+02
2.852381051828e+04, -9.616413e+01, -1.283288e+02
2.954106312245e+04, -9.757113e+01, -1.284597e+02
3.055831572662e+04, -9.762993e+01, -1.282683e+02
3.157556833078e+04, -9.688799e+01, -1.281674e+02
3.259282093495e+04, -9.724653e+01, -1.283769e+02
3.361007353912e+04, -9.816346e+01, -1.284533e+02
3.462732614328e+04, -9.826811e+01, -1.285649e+02
3.564457874745e+04, -9.838550e+01, -1.286932e+02
3.666183135162e+04, -9.533712e+01, -1.290644e+02
3.767908395578e+04, -7.665695e+01, -1.292991e+02
3.869633655995e+04, -6.607216e+01, -1.294718e+02
3.971358916412e+04, -6.217147e+01, -1.293836e+02
4.073084176828e+04, -6.418908e+01, -1.293559e+02
4.174809437245e+04, -7.249999e+01, -1.293283e+02
4.276534697662e+04, -8.888569e+01, -1.295654e+02
4.378259958078e+04, -9.799059e+01, -1.295143e+02
4.479985218495e+04, -9.878093e+01, -1.296012e+02
4.581710478912e+04, -9.951601e+01, -1.295994e+02
4.683435739328e+04, -9.930750e+01, -1.295517e+02
4.785160999745e+04, -9.923393e+01, -1.296350e+02
4.886886260162e+04, -9.948654e+01, -1.297077e+02
4.988611520578e+04, -9.933884e+01, -1.297933e+02
5.090336780995e+04, -9.754481e+01, -1.297084e+02
5.192062041412e+04, -9.671246e+01, -1.296701e+02
5.293787301828e+04, -9.845817e+01, -1.297756e+02
5.395512562245e+04, -9.954735e+01, -1.300559e+02
5.497237822662e+04, -9.871728e+01, -1.301326e+02
5.598963083078e+04, -9.857762e+01, -1.300754e+02
5.700688343495e+04, -9.941015e+01, -1.299830e+02
5.802413603912e+04, -9.970097e+01, -1.297906e+02
5.904138864328e+04, -9.916367e+01, -1.297273e+02
6.005864124745e+04, -9.885778e+01, -1.299701e+02
6.107589385162e+04, -9.959326e+01, -1.300440e+02
6.209314645578e+04, -9.940224e+01, -1.300243e+02
6.311039905995e+04, -9.720162e+01, -1.301903e+02
6.412765166412e+04, -9.705889e+01, -1.303828e+02
6.514490426828e+04, -9.894283e+01, -1.302319e+02
6.616215687245e+04, -9.947551e+01, -1.299877e+02
6.717940947662e+04, -9.883155e+01, -1.300951e+02
6.819666208078e+04, -9.888846e+01, -1.301543e+02
6.921391468495e+04, -9.944522e+01, -1.300163e+02
7.023116728912e+04, -9.949643e+01, -1.301864e+02
7.124841989328e+04, -9.898288e+01, -1.303354e+02
7.226567249745e+04, -9.919005e+01, -1.303783e+02
7.328292510162e+04, -9.981552e+01, -1.302507e+02
7.430017770578e+04, -9.866436e+01, -1.302215e+02
7.531743030995e+04, -9.692606e+01, -1.301634e+02
7.633468291412e+04, -9.770237e+01, -1.299383e+02
7.735193551828e+04, -8.917495e+01, -1.298668e+02
7.836918812245e+04, -7.724100e+01, -1.299264e+02
