% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 12:08:44 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -1.240195e+02, -1.213965e+02
1.021384571989e+03, -1.246191e+02, -1.213890e+02
1.123109832406e+03, -1.245134e+02, -1.215128e+02
1.224835092823e+03, -1.244508e+02, -1.223851e+02
1.326560353239e+03, -1.238806e+02, -1.222505e+02
1.428285613656e+03, -1.241722e+02, -1.213193e+02
1.530010874073e+03, -1.249094e+02, -1.207819e+02
1.631736134489e+03, -1.251005e+02, -1.205993e+02
1.733461394906e+03, -1.249068e+02, -1.215944e+02
1.835186655323e+03, -1.249275e+02, -1.222248e+02
1.936911915739e+03, -1.256557e+02, -1.227243e+02
2.038637176156e+03, -1.252467e+02, -1.224945e+02
2.140362436573e+03, -1.260266e+02, -1.225439e+02
2.242087696989e+03, -1.261520e+02, -1.227937e+02
2.343812957406e+03, -1.271386e+02, -1.233743e+02
2.445538217823e+03, -1.267016e+02, -1.229159e+02
2.547263478239e+03, -1.262380e+02, -1.225063e+02
2.648988738656e+03, -1.259433e+02, -1.230360e+02
2.750713999073e+03, -1.263899e+02, -1.227157e+02
2.852439259489e+03, -1.270766e+02, -1.225740e+02
2.954164519906e+03, -1.266048e+02, -1.236165e+02
3.055889780323e+03, -1.277756e+02, -1.235696e+02
3.157615040739e+03, -1.275408e+02, -1.224912e+02
3.259340301156e+03, -1.268624e+02, -1.228392e+02
3.361065561573e+03, -1.266639e+02, -1.236794e+02
3.462790821989e+03, -1.258856e+02, -1.242774e+02
3.564516082406e+03, -1.269945e+02, -1.237725e+02
3.666241342823e+03, -1.269439e+02, -1.239283e+02
3.767966603239e+03, -1.263748e+02, -1.226961e+02
3.869691863656e+03, -1.258402e+02, -1.200782e+02
3.971417124073e+03, -1.260080e+02, -1.175871e+02
4.073142384489e+03, -1.266789e+02, -1.201865e+02
4.174867644906e+03, -1.276089e+02, -1.234566e+02
4.276592905323e+03, -1.281560e+02, -1.232659e+02
4.378318165739e+03, -1.284532e+02, -1.246856e+02
4.480043426156e+03, -1.279292e+02, -1.241024e+02
4.581768686573e+03, -1.286039e+02, -1.246745e+02
4.683493946989e+03, -1.286509e+02, -1.240916e+02
4.785219207406e+03, -1.278092e+02, -1.237152e+02
4.886944467823e+03, -1.277037e+02, -1.235678e+02
4.988669728239e+03, -1.274728e+02, -1.238020e+02
5.090394988656e+03, -1.281174e+02, -1.239914e+02
5.192120249073e+03, -1.285133e+02, -1.243010e+02
5.293845509489e+03, -1.279307e+02, -1.245553e+02
5.395570769906e+03, -1.274990e+02, -1.245663e+02
5.497296030323e+03, -1.277177e+02, -1.244267e+02
5.599021290739e+03, -1.278279e+02, -1.247671e+02
5.700746551156e+03, -1.281630e+02, -1.248769e+02
5.802471811573e+03, -1.278965e+02, -1.256455e+02
5.904197071989e+03, -1.285153e+02, -1.244844e+02
6.005922332406e+03, -1.284642e+02, -1.241689e+02
6.107647592823e+03, -1.276388e+02, -1.237182e+02
6.209372853239e+03, -1.280018e+02, -1.245365e+02
6.311098113656e+03, -1.286748e+02, -1.251249e+02
6.412823374073e+03, -1.282562e+02, -1.243287e+02
6.514548634489e+03, -1.276624e+02, -1.245180e+02
6.616273894906e+03, -1.272297e+02, -1.246556e+02
6.717999155323e+03, -1.281060e+02, -1.248786e+02
6.819724415739e+03, -1.278261e+02, -1.255685e+02
