% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 11:54:57 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -1.143400e+02, -1.133520e+02
1.085055844178e+02, -1.147861e+02, -1.144737e+02
1.181937044575e+02, -1.148522e+02, -1.143456e+02
1.278818244972e+02, -1.149679e+02, -1.141868e+02
1.375699445369e+02, -1.149227e+02, -1.152990e+02
1.472580645766e+02, -1.144984e+02, -1.152116e+02
1.569461846162e+02, -1.151849e+02, -1.146702e+02
1.666343046559e+02, -1.161573e+02, -1.153901e+02
1.763224246956e+02, -1.164942e+02, -1.156868e+02
1.860105447353e+02, -1.169073e+02, -1.161874e+02
1.956986647750e+02, -1.161120e+02, -1.166152e+02
2.053867848147e+02, -1.166231e+02, -1.167776e+02
2.150749048543e+02, -1.173002e+02, -1.162964e+02
2.247630248940e+02, -1.175021e+02, -1.164449e+02
2.344511449337e+02, -1.175196e+02, -1.152357e+02
2.441392649734e+02, -1.182076e+02, -1.158539e+02
2.538273850131e+02, -1.181106e+02, -1.171965e+02
2.635155050527e+02, -1.175676e+02, -1.176166e+02
2.732036250924e+02, -1.178186e+02, -1.179138e+02
2.828917451321e+02, -1.184260e+02, -1.164130e+02
2.925798651718e+02, -1.179185e+02, -1.160050e+02
3.022679852115e+02, -1.181120e+02, -1.159574e+02
3.119561052512e+02, -1.173538e+02, -1.162855e+02
3.216442252908e+02, -1.178665e+02, -1.170035e+02
3.313323453305e+02, -1.186215e+02, -1.164903e+02
3.410204653702e+02, -1.187790e+02, -1.169128e+02
3.507085854099e+02, -1.190143e+02, -1.169644e+02
3.603967054496e+02, -1.191706e+02, -1.172291e+02
3.700848254893e+02, -1.204943e+02, -1.173533e+02
3.797729455289e+02, -1.200509e+02, -1.174298e+02
3.894610655686e+02, -1.192844e+02, -1.180123e+02
3.991491856083e+02, -1.191393e+02, -1.182712e+02
4.088373056480e+02, -1.196677e+02, -1.188715e+02
4.185254256877e+02, -1.199494e+02, -1.175231e+02
4.282135457274e+02, -1.199138e+02, -1.177811e+02
4.379016657670e+02, -1.193967e+02, -1.185082e+02
4.475897858067e+02, -1.192501e+02, -1.182152e+02
4.572779058464e+02, -1.193429e+02, -1.190252e+02
4.669660258861e+02, -1.197957e+02, -1.187249e+02
4.766541459258e+02, -1.193675e+02, -1.184341e+02
4.863422659654e+02, -1.196408e+02, -1.186402e+02
4.960303860051e+02, -1.188055e+02, -1.182072e+02
5.057185060448e+02, -1.184407e+02, -1.187917e+02
5.154066260845e+02, -1.188009e+02, -1.185621e+02
5.250947461242e+02, -1.198735e+02, -1.172467e+02
5.347828661639e+02, -1.212415e+02, -1.173716e+02
5.444709862035e+02, -1.206557e+02, -1.182696e+02
5.541591062432e+02, -1.201361e+02, -1.188354e+02
