% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 12:08:24 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -1.155149e+02, -1.206026e+02
1.021384571989e+03, -1.156643e+02, -1.209283e+02
1.123109832406e+03, -1.155884e+02, -1.212646e+02
1.224835092823e+03, -1.160360e+02, -1.213359e+02
1.326560353239e+03, -1.172167e+02, -1.216308e+02
1.428285613656e+03, -1.173612e+02, -1.214201e+02
1.530010874073e+03, -1.168632e+02, -1.212183e+02
1.631736134489e+03, -1.166067e+02, -1.222178e+02
1.733461394906e+03, -1.177468e+02, -1.221442e+02
1.835186655323e+03, -1.186262e+02, -1.217129e+02
1.936911915739e+03, -1.190578e+02, -1.218840e+02
2.038637176156e+03, -1.184656e+02, -1.217046e+02
2.140362436573e+03, -1.180949e+02, -1.220581e+02
2.242087696989e+03, -1.184676e+02, -1.228907e+02
2.343812957406e+03, -1.188606e+02, -1.232700e+02
2.445538217823e+03, -1.186857e+02, -1.230853e+02
2.547263478239e+03, -1.184246e+02, -1.229289e+02
2.648988738656e+03, -1.187988e+02, -1.229070e+02
2.750713999073e+03, -1.182368e+02, -1.230511e+02
2.852439259489e+03, -1.181758e+02, -1.236738e+02
2.954164519906e+03, -1.186687e+02, -1.241583e+02
3.055889780323e+03, -1.191628e+02, -1.238600e+02
3.157615040739e+03, -1.190530e+02, -1.236116e+02
3.259340301156e+03, -1.184487e+02, -1.226370e+02
3.361065561573e+03, -1.189121e+02, -1.233709e+02
3.462790821989e+03, -1.194986e+02, -1.225115e+02
3.564516082406e+03, -1.192215e+02, -1.234438e+02
3.666241342823e+03, -1.195400e+02, -1.239645e+02
3.767966603239e+03, -1.195841e+02, -1.226352e+02
3.869691863656e+03, -1.198196e+02, -1.200064e+02
3.971417124073e+03, -1.181473e+02, -1.171722e+02
4.073142384489e+03, -1.187406e+02, -1.189279e+02
4.174867644906e+03, -1.197028e+02, -1.227300e+02
4.276592905323e+03, -1.195124e+02, -1.244206e+02
4.378318165739e+03, -1.188338e+02, -1.236926e+02
4.480043426156e+03, -1.193432e+02, -1.233326e+02
4.581768686573e+03, -1.201099e+02, -1.240587e+02
4.683493946989e+03, -1.197169e+02, -1.243836e+02
4.785219207406e+03, -1.191458e+02, -1.243939e+02
4.886944467823e+03, -1.189068e+02, -1.242026e+02
4.988669728239e+03, -1.196749e+02, -1.250531e+02
5.090394988656e+03, -1.200288e+02, -1.247484e+02
5.192120249073e+03, -1.200376e+02, -1.243501e+02
5.293845509489e+03, -1.190323e+02, -1.246925e+02
5.395570769906e+03, -1.184259e+02, -1.245172e+02
5.497296030323e+03, -1.183592e+02, -1.246012e+02
5.599021290739e+03, -1.187922e+02, -1.248315e+02
5.700746551156e+03, -1.188199e+02, -1.244903e+02
5.802471811573e+03, -1.185586e+02, -1.240237e+02
5.904197071989e+03, -1.195726e+02, -1.252607e+02
6.005922332406e+03, -1.197414e+02, -1.255145e+02
6.107647592823e+03, -1.195429e+02, -1.257266e+02
6.209372853239e+03, -1.203980e+02, -1.253684e+02
6.311098113656e+03, -1.207018e+02, -1.245255e+02
6.412823374073e+03, -1.204479e+02, -1.249945e+02
6.514548634489e+03, -1.190234e+02, -1.257367e+02
6.616273894906e+03, -1.197373e+02, -1.249907e+02
6.717999155323e+03, -1.193432e+02, -1.248932e+02
6.819724415739e+03, -1.194383e+02, -1.248198e+02
6.921449676156e+03, -1.197117e+02, -1.248512e+02
7.023174936573e+03, -1.200335e+02, -1.257842e+02
7.124900196989e+03, -1.194268e+02, -1.259942e+02
7.226625457406e+03, -1.197235e+02, -1.262317e+02
7.328350717823e+03, -1.202779e+02, -1.258045e+02
7.430075978239e+03, -1.193650e+02, -1.254251e+02
7.531801238656e+03, -1.194982e+02, -1.260617e+02
7.633526499073e+03, -1.193244e+02, -1.257678e+02
7.735251759489e+03, -1.194129e+02, -1.260304e+02
7.836977019906e+03, -1.190399e+02, -1.245529e+02
7.938702280323e+03, -1.193499e+02, -1.220936e+02
8.040427540739e+03, -1.191027e+02, -1.230362e+02
8.142152801156e+03, -1.190121e+02, -1.248222e+02
8.243878061573e+03, -1.181600e+02, -1.252193e+02
8.345603321989e+03, -1.187175e+02, -1.257010e+02
8.447328582406e+03, -1.193497e+02, -1.262585e+02
8.549053842823e+03, -1.187616e+02, -1.262470e+02
8.650779103239e+03, -1.186760e+02, -1.264902e+02
8.752504363656e+03, -1.185287e+02, -1.258627e+02
8.854229624073e+03, -1.186804e+02, -1.260259e+02
8.955954884489e+03, -1.185338e+02, -1.255942e+02
9.057680144906e+03, -1.187831e+02, -1.257062e+02
9.159405405323e+03, -1.201304e+02, -1.264563e+02
