% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 11:53:21 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -1.128990e+02, -1.141379e+02
1.085055844178e+02, -1.092496e+02, -1.135815e+02
1.181937044575e+02, -1.050873e+02, -1.130521e+02
1.278818244972e+02, -1.067877e+02, -1.135481e+02
1.375699445369e+02, -1.127828e+02, -1.146941e+02
1.472580645766e+02, -1.142705e+02, -1.145081e+02
1.569461846162e+02, -1.141956e+02, -1.155968e+02
1.666343046559e+02, -1.074789e+02, -1.158487e+02
1.763224246956e+02, -1.018465e+02, -1.145794e+02
1.860105447353e+02, -1.024126e+02, -1.152739e+02
1.956986647750e+02, -1.087342e+02, -1.162657e+02
2.053867848147e+02, -1.150293e+02, -1.155572e+02
2.150749048543e+02, -1.147919e+02, -1.161193e+02
2.247630248940e+02, -1.117107e+02, -1.167479e+02
2.344511449337e+02, -1.058180e+02, -1.174059e+02
2.441392649734e+02, -1.053267e+02, -1.167061e+02
2.538273850131e+02, -1.106258e+02, -1.162157e+02
2.635155050527e+02, -1.158182e+02, -1.173555e+02
2.732036250924e+02, -1.160121e+02, -1.171742e+02
2.828917451321e+02, -1.109875e+02, -1.163977e+02
2.925798651718e+02, -1.024672e+02, -1.162424e+02
3.022679852115e+02, -1.006076e+02, -1.159916e+02
3.119561052512e+02, -1.047198e+02, -1.161956e+02
3.216442252908e+02, -1.135037e+02, -1.172583e+02
3.313323453305e+02, -1.158184e+02, -1.170791e+02
3.410204653702e+02, -1.106631e+02, -1.171964e+02
3.507085854099e+02, -1.025425e+02, -1.182966e+02
3.603967054496e+02, -9.993052e+01, -1.185924e+02
3.700848254893e+02, -1.031209e+02, -1.187975e+02
3.797729455289e+02, -1.123630e+02, -1.184920e+02
3.894610655686e+02, -1.174492e+02, -1.177078e+02
3.991491856083e+02, -1.119268e+02, -1.182278e+02
4.088373056480e+02, -1.011806e+02, -1.185407e+02
4.185254256877e+02, -9.723868e+01, -1.181698e+02
4.282135457274e+02, -9.932429e+01, -1.178302e+02
4.379016657670e+02, -1.080397e+02, -1.182142e+02
