% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 12:10:51 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -1.183314e+02, -1.248320e+02
1.021326364328e+04, -1.183901e+02, -1.255934e+02
1.123051624745e+04, -1.182141e+02, -1.260441e+02
1.224776885162e+04, -1.180212e+02, -1.262292e+02
1.326502145578e+04, -1.180410e+02, -1.266656e+02
1.428227405995e+04, -1.182609e+02, -1.271420e+02
1.529952666412e+04, -1.182664e+02, -1.274323e+02
1.631677926828e+04, -1.181597e+02, -1.271139e+02
1.733403187245e+04, -1.182088e+02, -1.244551e+02
1.835128447662e+04, -1.184820e+02, -1.219285e+02
1.936853708078e+04, -1.185707e+02, -1.234220e+02
2.038578968495e+04, -1.185920e+02, -1.269141e+02
2.140304228912e+04, -1.185536e+02, -1.280223e+02
2.242029489328e+04, -1.184876e+02, -1.281698e+02
2.343754749745e+04, -1.185716e+02, -1.275985e+02
2.445480010162e+04, -1.185730e+02, -1.270754e+02
2.547205270578e+04, -1.183184e+02, -1.276056e+02
2.648930530995e+04, -1.181964e+02, -1.280918e+02
2.750655791412e+04, -1.180758e+02, -1.280417e+02
2.852381051828e+04, -1.179586e+02, -1.280108e+02
2.954106312245e+04, -1.180739e+02, -1.282998e+02
3.055831572662e+04, -1.183445e+02, -1.284473e+02
3.157556833078e+04, -1.184941e+02, -1.284721e+02
3.259282093495e+04, -1.181562e+02, -1.283955e+02
3.361007353912e+04, -1.180448e+02, -1.283370e+02
3.462732614328e+04, -1.181801e+02, -1.284005e+02
3.564457874745e+04, -1.182019e+02, -1.285810e+02
3.666183135162e+04, -1.184339e+02, -1.288322e+02
3.767908395578e+04, -1.183998e+02, -1.289374e+02
3.869633655995e+04, -1.179479e+02, -1.291471e+02
3.971358916412e+04, -1.178413e+02, -1.292585e+02
4.073084176828e+04, -1.179150e+02, -1.291686e+02
4.174809437245e+04, -1.181246e+02, -1.292144e+02
4.276534697662e+04, -1.182971e+02, -1.292348e+02
4.378259958078e+04, -1.183480e+02, -1.294765e+02
4.479985218495e+04, -1.184651e+02, -1.295647e+02
4.581710478912e+04, -1.181853e+02, -1.294162e+02
4.683435739328e+04, -1.180258e+02, -1.295971e+02
4.785160999745e+04, -1.178726e+02, -1.298228e+02
4.886886260162e+04, -1.178630e+02, -1.296347e+02
4.988611520578e+04, -1.179221e+02, -1.297334e+02
5.090336780995e+04, -1.181817e+02, -1.298637e+02
5.192062041412e+04, -1.181806e+02, -1.297441e+02
5.293787301828e+04, -1.179506e+02, -1.294767e+02
5.395512562245e+04, -1.178093e+02, -1.294187e+02
5.497237822662e+04, -1.179525e+02, -1.296466e+02
5.598963083078e+04, -1.180233e+02, -1.298842e+02
5.700688343495e+04, -1.178714e+02, -1.296105e+02
5.802413603912e+04, -1.177067e+02, -1.296769e+02
5.904138864328e+04, -1.177763e+02, -1.296524e+02
6.005864124745e+04, -1.178843e+02, -1.295727e+02
6.107589385162e+04, -1.179012e+02, -1.298515e+02
6.209314645578e+04, -1.179866e+02, -1.300211e+02
6.311039905995e+04, -1.180658e+02, -1.300146e+02
6.412765166412e+04, -1.179338e+02, -1.301253e+02
6.514490426828e+04, -1.181265e+02, -1.299973e+02
6.616215687245e+04, -1.181996e+02, -1.300174e+02
6.717940947662e+04, -1.180744e+02, -1.300644e+02
6.819666208078e+04, -1.179312e+02, -1.301406e+02
6.921391468495e+04, -1.182140e+02, -1.301998e+02
7.023116728912e+04, -1.181834e+02, -1.301455e+02
7.124841989328e+04, -1.179604e+02, -1.302487e+02
7.226567249745e+04, -1.179360e+02, -1.303688e+02
7.328292510162e+04, -1.179594e+02, -1.302928e+02
7.430017770578e+04, -1.178894e+02, -1.303073e+02
7.531743030995e+04, -1.174863e+02, -1.302924e+02
7.633468291412e+04, -1.173926e+02, -1.303585e+02
7.735193551828e+04, -1.176587e+02, -1.303763e+02
7.836918812245e+04, -1.175434e+02, -1.303361e+02
7.938644072662e+04, -1.169074e+02, -1.303549e+02
8.040369333078e+04, -1.160513e+02, -1.302689e+02
8.142094593495e+04, -1.139545e+02, -1.301342e+02
8.243819853912e+04, -1.111372e+02, -1.301601e+02
8.345545114328e+04, -1.051860e+02, -1.302405e+02
8.447270374745e+04, -9.665315e+01, -1.298523e+02
8.548995635162e+04, -8.749443e+01, -1.291335e+02
8.650720895578e+04, -8.065046e+01, -1.276206e+02
8.752446155995e+04, -7.755849e+01, -1.263389e+02
8.854171416412e+04, -7.671167e+01, -1.257956e+02
8.955896676828e+04, -7.576602e+01, -1.255550e+02
9.057621937245e+04, -7.512678e+01, -1.255840e+02
9.159347197662e+04, -7.514858e+01, -1.257293e+02
9.261072458078e+04, -7.667045e+01, -1.263878e+02
9.362797718495e+04, -7.814979e+01, -1.270860e+02
9.464522978912e+04, -8.012307e+01, -1.279798e+02
9.566248239328e+04, -8.389489e+01, -1.288446e+02
9.667973499745e+04, -8.620520e+01, -1.292095e+02
9.769698760162e+04, -8.705862e+01, -1.292809e+02
9.871424020578e+04, -8.757754e+01, -1.295505e+02
9.973149280995e+04, -8.959859e+01, -1.298554e+02
1.007487454141e+05, -9.423542e+01, -1.300953e+02
1.017659980183e+05, -1.006418e+02, -1.301042e+02
1.027832506225e+05, -1.071012e+02, -1.302931e+02
1.038005032266e+05, -1.122289e+02, -1.303665e+02
1.048177558308e+05, -1.143330e+02, -1.302660e+02
1.058350084350e+05, -1.151658e+02, -1.301821e+02
1.068522610391e+05, -1.162617e+02, -1.303359e+02
1.078695136433e+05, -1.170978e+02, -1.304267e+02
1.088867662475e+05, -1.173184e+02, -1.303872e+02
1.099040188516e+05, -1.175939e+02, -1.304064e+02
1.109212714558e+05, -1.178080e+02, -1.303531e+02
1.119385240600e+05, -1.177356e+02, -1.301947e+02
1.129557766641e+05, -1.178383e+02, -1.303280e+02
1.139730292683e+05, -1.180810e+02, -1.304152e+02
1.149902818725e+05, -1.181170e+02, -1.304636e+02
1.160075344766e+05, -1.180423e+02, -1.304114e+02
1.170247870808e+05, -1.176201e+02, -1.300843e+02
1.180420396850e+05, -1.173973e+02, -1.299089e+02
1.190592922891e+05, -1.168553e+02, -1.301670e+02
1.200765448933e+05, -1.168717e+02, -1.302571e+02
1.210937974975e+05, -1.175260e+02, -1.301610e+02
1.221110501016e+05, -1.176750e+02, -1.300640e+02
1.231283027058e+05, -1.177950e+02, -1.301713e+02
1.241455553100e+05, -1.176720e+02, -1.302936e+02
1.251628079141e+05, -1.176143e+02, -1.304765e+02
1.261800605183e+05, -1.177716e+02, -1.305699e+02
1.271973131225e+05, -1.177390e+02, -1.308133e+02
1.282145657266e+05, -1.175823e+02, -1.308077e+02
1.292318183308e+05, -1.173634e+02, -1.306438e+02
1.302490709350e+05, -1.176687e+02, -1.304168e+02
1.312663235391e+05, -1.178174e+02, -1.301901e+02
1.322835761433e+05, -1.178016e+02, -1.303136e+02
1.333008287475e+05, -1.176743e+02, -1.304723e+02
1.343180813516e+05, -1.176919e+02, -1.304960e+02
1.353353339558e+05, -1.179490e+02, -1.306736e+02
1.363525865600e+05, -1.179154e+02, -1.305818e+02
1.373698391641e+05, -1.176522e+02, -1.300863e+02
1.383870917683e+05, -1.177541e+02, -1.301043e+02
1.394043443725e+05, -1.178313e+02, -1.301040e+02
1.404215969766e+05, -1.179832e+02, -1.299349e+02
1.414388495808e+05, -1.177209e+02, -1.301054e+02
1.424561021850e+05, -1.175295e+02, -1.302846e+02
1.434733547891e+05, -1.174300e+02, -1.302345e+02
1.444906073933e+05, -1.174745e+02, -1.302982e+02
1.455078599975e+05, -1.175465e+02, -1.302924e+02
1.465251126016e+05, -1.176324e+02, -1.303901e+02
1.475423652058e+05, -1.175928e+02, -1.304727e+02
1.485596178100e+05, -1.175232e+02, -1.304414e+02
1.495768704141e+05, -1.173503e+02, -1.303009e+02
1.505941230183e+05, -1.174212e+02, -1.303187e+02
1.516113756225e+05, -1.174087e+02, -1.303777e+02
1.526286282266e+05, -1.175285e+02, -1.303986e+02
1.536458808308e+05, -1.176423e+02, -1.304730e+02
1.546631334350e+05, -1.177576e+02, -1.305409e+02
1.556803860391e+05, -1.176953e+02, -1.307078e+02
1.566976386433e+05, -1.175486e+02, -1.307114e+02
1.577148912475e+05, -1.174853e+02, -1.306136e+02
1.587321438516e+05, -1.174751e+02, -1.305483e+02
1.597493964558e+05, -1.174960e+02, -1.304652e+02
1.607666490600e+05, -1.176012e+02, -1.305350e+02
1.617839016641e+05, -1.173628e+02, -1.305025e+02
1.628011542683e+05, -1.173125e+02, -1.303884e+02
1.638184068725e+05, -1.173927e+02, -1.304764e+02
1.648356594766e+05, -1.173903e+02, -1.305626e+02
1.658529120808e+05, -1.176764e+02, -1.305162e+02
1.668701646850e+05, -1.177157e+02, -1.304799e+02
1.678874172891e+05, -1.173688e+02, -1.304540e+02
1.689046698933e+05, -1.171336e+02, -1.304199e+02
1.699219224975e+05, -1.165674e+02, -1.303366e+02
1.709391751016e+05, -1.146602e+02, -1.304081e+02
1.719564277058e+05, -1.125649e+02, -1.307086e+02
1.729736803100e+05, -1.108378e+02, -1.308895e+02
1.739909329141e+05, -1.102725e+02, -1.307959e+02
1.750081855183e+05, -1.105853e+02, -1.307181e+02
1.760254381225e+05, -1.106696e+02, -1.306057e+02
1.770426907266e+05, -1.113900e+02, -1.307081e+02
1.780599433308e+05, -1.121670e+02, -1.305214e+02
1.790771959350e+05, -1.122121e+02, -1.305459e+02
1.800944485391e+05, -1.120621e+02, -1.307874e+02
1.811117011433e+05, -1.116535e+02, -1.307305e+02
1.821289537475e+05, -1.114714e+02, -1.306183e+02
1.831462063516e+05, -1.117324e+02, -1.306905e+02
1.841634589558e+05, -1.114827e+02, -1.306508e+02
1.851807115600e+05, -1.110873e+02, -1.307540e+02
1.861979641641e+05, -1.108547e+02, -1.308868e+02
1.872152167683e+05, -1.111596e+02, -1.308897e+02
1.882324693725e+05, -1.118625e+02, -1.309490e+02
1.892497219766e+05, -1.119739e+02, -1.308882e+02
1.902669745808e+05, -1.123373e+02, -1.307186e+02
1.912842271850e+05, -1.126961e+02, -1.306502e+02
1.923014797891e+05, -1.129537e+02, -1.305064e+02
1.933187323933e+05, -1.131179e+02, -1.305097e+02
1.943359849975e+05, -1.130463e+02, -1.305542e+02
1.953532376016e+05, -1.127658e+02, -1.305895e+02
1.963704902058e+05, -1.125141e+02, -1.305629e+02
1.973877428100e+05, -1.124119e+02, -1.305030e+02
1.984049954141e+05, -1.116113e+02, -1.304818e+02
1.994222480183e+05, -1.105716e+02, -1.307146e+02
