% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 12:06:19 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -9.346196e+01, -1.206323e+02
1.021384571989e+03, -9.487043e+01, -1.204153e+02
1.123109832406e+03, -9.652379e+01, -1.204622e+02
1.224835092823e+03, -9.807001e+01, -1.210760e+02
1.326560353239e+03, -9.833197e+01, -1.211752e+02
1.428285613656e+03, -9.960380e+01, -1.218595e+02
1.530010874073e+03, -1.005056e+02, -1.222977e+02
1.631736134489e+03, -1.011996e+02, -1.222567e+02
1.733461394906e+03, -1.005589e+02, -1.216273e+02
1.835186655323e+03, -1.012063e+02, -1.218757e+02
1.936911915739e+03, -1.010294e+02, -1.220260e+02
2.038637176156e+03, -1.011141e+02, -1.222215e+02
2.140362436573e+03, -1.000543e+02, -1.225866e+02
2.242087696989e+03, -9.981908e+01, -1.229506e+02
2.343812957406e+03, -9.975737e+01, -1.223369e+02
2.445538217823e+03, -1.000003e+02, -1.218028e+02
2.547263478239e+03, -1.002462e+02, -1.223257e+02
2.648988738656e+03, -9.953335e+01, -1.234890e+02
2.750713999073e+03, -9.978799e+01, -1.232019e+02
2.852439259489e+03, -9.942257e+01, -1.225296e+02
2.954164519906e+03, -9.932717e+01, -1.218538e+02
3.055889780323e+03, -9.962571e+01, -1.220221e+02
3.157615040739e+03, -9.959043e+01, -1.224332e+02
3.259340301156e+03, -9.984149e+01, -1.224762e+02
3.361065561573e+03, -9.956092e+01, -1.223131e+02
3.462790821989e+03, -9.992937e+01, -1.232027e+02
3.564516082406e+03, -9.974661e+01, -1.237581e+02
3.666241342823e+03, -9.855437e+01, -1.234720e+02
3.767966603239e+03, -8.359234e+01, -1.223661e+02
3.869691863656e+03, -7.392038e+01, -1.192044e+02
3.971417124073e+03, -7.068663e+01, -1.169376e+02
4.073142384489e+03, -7.335891e+01, -1.187406e+02
4.174867644906e+03, -8.247094e+01, -1.227489e+02
4.276592905323e+03, -9.713139e+01, -1.234045e+02
4.378318165739e+03, -9.878664e+01, -1.234397e+02
4.480043426156e+03, -9.918044e+01, -1.229700e+02
4.581768686573e+03, -9.885283e+01, -1.232504e+02
4.683493946989e+03, -9.959188e+01, -1.246247e+02
4.785219207406e+03, -1.000228e+02, -1.247334e+02
4.886944467823e+03, -1.001996e+02, -1.240081e+02
4.988669728239e+03, -1.002655e+02, -1.242700e+02
5.090394988656e+03, -1.004802e+02, -1.239352e+02
