% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 12:11:40 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -9.702232e+01, -1.249130e+02
1.021326364328e+04, -9.898359e+01, -1.252258e+02
1.123051624745e+04, -9.905403e+01, -1.257210e+02
1.224776885162e+04, -9.909876e+01, -1.261890e+02
1.326502145578e+04, -9.916704e+01, -1.265569e+02
1.428227405995e+04, -9.805772e+01, -1.270225e+02
1.529952666412e+04, -9.532872e+01, -1.270320e+02
1.631677926828e+04, -9.507675e+01, -1.263553e+02
1.733403187245e+04, -9.772163e+01, -1.242133e+02
1.835128447662e+04, -9.830161e+01, -1.220900e+02
1.936853708078e+04, -9.682362e+01, -1.238171e+02
2.038578968495e+04, -9.683473e+01, -1.274666e+02
2.140304228912e+04, -9.829385e+01, -1.284627e+02
2.242029489328e+04, -9.889711e+01, -1.282821e+02
2.343754749745e+04, -9.895225e+01, -1.277017e+02
2.445480010162e+04, -9.884950e+01, -1.269056e+02
2.547205270578e+04, -9.878231e+01, -1.273973e+02
2.648930530995e+04, -9.747084e+01, -1.279720e+02
2.750655791412e+04, -9.537485e+01, -1.279819e+02
2.852381051828e+04, -9.604475e+01, -1.282439e+02
2.954106312245e+04, -9.822673e+01, -1.283682e+02
3.055831572662e+04, -9.814098e+01, -1.284270e+02
3.157556833078e+04, -9.698075e+01, -1.284161e+02
3.259282093495e+04, -9.768469e+01, -1.283410e+02
3.361007353912e+04, -9.896108e+01, -1.284505e+02
3.462732614328e+04, -9.890764e+01, -1.286215e+02
3.564457874745e+04, -9.853090e+01, -1.286091e+02
3.666183135162e+04, -9.419131e+01, -1.288989e+02
3.767908395578e+04, -7.504106e+01, -1.292198e+02
3.869633655995e+04, -6.444891e+01, -1.293110e+02
3.971358916412e+04, -6.054558e+01, -1.292464e+02
4.073084176828e+04, -6.256415e+01, -1.291710e+02
4.174809437245e+04, -7.088398e+01, -1.292694e+02
4.276534697662e+04, -8.733977e+01, -1.293493e+02
4.378259958078e+04, -9.752232e+01, -1.291880e+02
4.479985218495e+04, -9.838941e+01, -1.295189e+02
4.581710478912e+04, -9.891104e+01, -1.296138e+02
4.683435739328e+04, -9.849281e+01, -1.292546e+02
4.785160999745e+04, -9.829460e+01, -1.294087e+02
4.886886260162e+04, -9.888765e+01, -1.297327e+02
4.988611520578e+04, -9.889722e+01, -1.298963e+02
5.090336780995e+04, -9.673809e+01, -1.298591e+02
5.192062041412e+04, -9.585995e+01, -1.297785e+02
5.293787301828e+04, -9.772843e+01, -1.299292e+02
5.395512562245e+04, -9.873811e+01, -1.298699e+02
5.497237822662e+04, -9.801960e+01, -1.299660e+02
5.598963083078e+04, -9.775272e+01, -1.301526e+02
5.700688343495e+04, -9.845643e+01, -1.300192e+02
5.802413603912e+04, -9.893039e+01, -1.298675e+02
5.904138864328e+04, -9.855126e+01, -1.299843e+02
6.005864124745e+04, -9.856367e+01, -1.300473e+02
6.107589385162e+04, -9.888593e+01, -1.300666e+02
6.209314645578e+04, -9.821465e+01, -1.299170e+02
6.311039905995e+04, -9.621965e+01, -1.298278e+02
6.412765166412e+04, -9.616847e+01, -1.297018e+02
6.514490426828e+04, -9.833594e+01, -1.298755e+02
6.616215687245e+04, -9.898505e+01, -1.302695e+02
6.717940947662e+04, -9.823934e+01, -1.303459e+02
6.819666208078e+04, -9.831426e+01, -1.300871e+02
6.921391468495e+04, -9.912296e+01, -1.301617e+02
7.023116728912e+04, -9.901382e+01, -1.301633e+02
7.124841989328e+04, -9.822882e+01, -1.302875e+02
7.226567249745e+04, -9.844091e+01, -1.301439e+02
7.328292510162e+04, -9.910548e+01, -1.301192e+02
7.430017770578e+04, -9.799282e+01, -1.301680e+02
7.531743030995e+04, -9.590602e+01, -1.300354e+02
7.633468291412e+04, -9.651377e+01, -1.299938e+02
7.735193551828e+04, -8.776461e+01, -1.299288e+02
7.836918812245e+04, -7.575564e+01, -1.297626e+02
7.938644072662e+04, -7.063639e+01, -1.299373e+02
8.040369333078e+04, -7.148977e+01, -1.299671e+02
8.142094593495e+04, -7.846476e+01, -1.300385e+02
8.243819853912e+04, -9.237067e+01, -1.301417e+02
8.345545114328e+04, -9.641799e+01, -1.300587e+02
8.447270374745e+04, -9.275874e+01, -1.299888e+02
8.548995635162e+04, -8.616272e+01, -1.290676e+02
8.650720895578e+04, -7.998316e+01, -1.274706e+02
8.752446155995e+04, -7.711300e+01, -1.263679e+02
8.854171416412e+04, -7.661536e+01, -1.258699e+02
8.955896676828e+04, -7.604577e+01, -1.256748e+02
9.057621937245e+04, -7.561088e+01, -1.260937e+02
9.159347197662e+04, -7.555389e+01, -1.261920e+02
9.261072458078e+04, -7.670781e+01, -1.264587e+02
9.362797718495e+04, -7.761872e+01, -1.269885e+02
9.464522978912e+04, -7.938375e+01, -1.281856e+02
9.566248239328e+04, -8.299920e+01, -1.288534e+02
9.667973499745e+04, -8.530783e+01, -1.291141e+02
9.769698760162e+04, -8.616061e+01, -1.294664e+02
9.871424020578e+04, -8.624828e+01, -1.296010e+02
9.973149280995e+04, -8.737603e+01, -1.295713e+02
1.007487454141e+05, -9.085448e+01, -1.297197e+02
1.017659980183e+05, -9.509299e+01, -1.302218e+02
1.027832506225e+05, -9.755340e+01, -1.303433e+02
1.038005032266e+05, -9.897041e+01, -1.304598e+02
1.048177558308e+05, -9.972419e+01, -1.303236e+02
1.058350084350e+05, -9.952040e+01, -1.302805e+02
1.068522610391e+05, -9.831597e+01, -1.305128e+02
1.078695136433e+05, -9.831025e+01, -1.301803e+02
1.088867662475e+05, -9.972712e+01, -1.301122e+02
1.099040188516e+05, -9.934026e+01, -1.303282e+02
1.109212714558e+05, -9.740406e+01, -1.304244e+02
1.119385240600e+05, -9.762747e+01, -1.303386e+02
1.129557766641e+05, -9.962636e+01, -1.301621e+02
1.139730292683e+05, -1.000204e+02, -1.301598e+02
1.149902818725e+05, -9.961606e+01, -1.303253e+02
1.160075344766e+05, -9.966575e+01, -1.301953e+02
1.170247870808e+05, -9.799923e+01, -1.301070e+02
1.180420396850e+05, -8.749199e+01, -1.301457e+02
1.190592922891e+05, -8.123873e+01, -1.303178e+02
1.200765448933e+05, -8.095895e+01, -1.304183e+02
1.210937974975e+05, -8.667154e+01, -1.301254e+02
1.221110501016e+05, -9.697086e+01, -1.301116e+02
1.231283027058e+05, -9.753229e+01, -1.301490e+02
1.241455553100e+05, -9.842330e+01, -1.300383e+02
1.251628079141e+05, -9.977739e+01, -1.300321e+02
1.261800605183e+05, -9.992599e+01, -1.301661e+02
1.271973131225e+05, -9.981700e+01, -1.302883e+02
1.282145657266e+05, -1.002837e+02, -1.302245e+02
1.292318183308e+05, -1.003073e+02, -1.304251e+02
1.302490709350e+05, -9.902998e+01, -1.304713e+02
1.312663235391e+05, -9.799369e+01, -1.303546e+02
1.322835761433e+05, -9.909108e+01, -1.303887e+02
1.333008287475e+05, -9.996639e+01, -1.304293e+02
1.343180813516e+05, -9.904378e+01, -1.303149e+02
1.353353339558e+05, -9.808119e+01, -1.301468e+02
1.363525865600e+05, -9.930427e+01, -1.304634e+02
1.373698391641e+05, -1.002229e+02, -1.305268e+02
1.383870917683e+05, -9.983557e+01, -1.304964e+02
1.394043443725e+05, -9.974712e+01, -1.305067e+02
1.404215969766e+05, -1.001480e+02, -1.305028e+02
1.414388495808e+05, -9.990740e+01, -1.304325e+02
1.424561021850e+05, -9.850527e+01, -1.304571e+02
1.434733547891e+05, -9.816114e+01, -1.305964e+02
