% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10 Hz, stop freq 1.00 kHz, RBW 2.070 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 11:47:01 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
4.289591664909e+00, -9.481238e+01, -9.992073e+01
5.315047919109e+00, -9.424451e+01, -1.017804e+02
6.340504173310e+00, -9.324363e+01, -1.025207e+02
7.365960427510e+00, -9.335910e+01, -1.032830e+02
8.391416681710e+00, -9.220927e+01, -1.033058e+02
9.416872935910e+00, -9.299148e+01, -1.037292e+02
1.044232919011e+01, -9.288422e+01, -1.040379e+02
1.146778544431e+01, -9.256317e+01, -1.050868e+02
1.249324169851e+01, -9.391648e+01, -1.048828e+02
1.351869795271e+01, -9.375595e+01, -1.056829e+02
1.454415420691e+01, -9.221822e+01, -1.059755e+02
1.556961046111e+01, -8.980349e+01, -1.061710e+02
1.659506671531e+01, -8.771875e+01, -1.067806e+02
1.762052296951e+01, -8.431528e+01, -1.071830e+02
1.864597922371e+01, -8.182872e+01, -1.067587e+02
1.967143547791e+01, -8.179407e+01, -1.060059e+02
2.069689173211e+01, -8.493412e+01, -1.065546e+02
2.172234798631e+01, -8.836554e+01, -1.073300e+02
2.274780424051e+01, -8.935470e+01, -1.080730e+02
2.377326049471e+01, -8.878502e+01, -1.081565e+02
2.479871674891e+01, -8.735971e+01, -1.083791e+02
2.582417300311e+01, -8.529481e+01, -1.080895e+02
2.684962925731e+01, -8.386358e+01, -1.088767e+02
2.787508551152e+01, -8.405853e+01, -1.081605e+02
2.890054176572e+01, -8.608344e+01, -1.086858e+02
2.992599801992e+01, -8.668370e+01, -1.088429e+02
3.095145427412e+01, -8.651610e+01, -1.077829e+02
3.197691052832e+01, -8.648742e+01, -1.086800e+02
3.300236678252e+01, -8.357816e+01, -1.087079e+02
3.402782303672e+01, -8.186869e+01, -1.087841e+02
3.505327929092e+01, -8.217170e+01, -1.089729e+02
3.607873554512e+01, -8.437068e+01, -1.098033e+02
3.710419179932e+01, -8.700202e+01, -1.100806e+02
3.812964805352e+01, -8.629861e+01, -1.104877e+02
3.915510430772e+01, -8.525461e+01, -1.106258e+02
4.018056056192e+01, -8.532535e+01, -1.104813e+02
4.120601681612e+01, -8.392158e+01, -1.097596e+02
4.223147307032e+01, -8.005523e+01, -1.102129e+02
4.325692932452e+01, -7.231576e+01, -1.110688e+02
4.428238557872e+01, -6.869510e+01, -1.121272e+02
4.530784183292e+01, -7.066100e+01, -1.110033e+02
4.633329808712e+01, -7.755165e+01, -1.099299e+02
4.735875434132e+01, -8.127749e+01, -1.096478e+02
4.838421059552e+01, -8.046647e+01, -1.103981e+02
4.940966684972e+01, -8.067237e+01, -1.099254e+02
5.043512310392e+01, -7.600984e+01, -1.099955e+02
5.146057935812e+01, -7.189683e+01, -1.099338e+02
5.248603561232e+01, -7.302570e+01, -1.106669e+02
5.351149186652e+01, -7.570007e+01, -1.106694e+02
5.453694812072e+01, -7.833873e+01, -1.110467e+02
5.556240437492e+01, -7.931828e+01, -1.104832e+02
5.658786062912e+01, -7.481365e+01, -1.099192e+02
5.761331688332e+01, -7.324926e+01, -1.098978e+02
5.863877313752e+01, -7.255294e+01, -1.067871e+02
5.966422939172e+01, -7.298181e+01, -1.031138e+02
6.068968564592e+01, -7.436878e+01, -1.042272e+02
6.171514190012e+01, -7.584788e+01, -1.088199e+02
6.274059815432e+01, -7.810632e+01, -1.110859e+02
6.376605440852e+01, -7.929553e+01, -1.113756e+02
6.479151066272e+01, -7.886522e+01, -1.114871e+02
6.581696691693e+01, -7.730354e+01, -1.120355e+02
6.684242317113e+01, -7.106448e+01, -1.118547e+02
6.786787942533e+01, -6.862102e+01, -1.121291e+02
6.889333567953e+01, -7.166983e+01, -1.120019e+02
6.991879193373e+01, -7.781923e+01, -1.122618e+02
7.094424818793e+01, -7.885163e+01, -1.126001e+02
7.196970444213e+01, -7.972705e+01, -1.118161e+02
7.299516069633e+01, -7.983362e+01, -1.116226e+02
7.402061695053e+01, -7.979367e+01, -1.119418e+02
7.504607320473e+01, -8.022410e+01, -1.122311e+02
7.607152945893e+01, -6.915910e+01, -1.115297e+02
7.709698571313e+01, -5.161450e+01, -1.117063e+02
7.812244196733e+01, -4.221633e+01, -1.127257e+02
7.914789822153e+01, -3.930059e+01, -1.128193e+02
8.017335447573e+01, -4.230007e+01, -1.130794e+02
8.119881072993e+01, -5.178903e+01, -1.122734e+02
8.222426698413e+01, -6.906693e+01, -1.121797e+02
8.324972323833e+01, -7.712399e+01, -1.129589e+02
8.427517949253e+01, -7.549188e+01, -1.131586e+02
8.530063574673e+01, -7.622267e+01, -1.118420e+02
8.632609200093e+01, -7.699103e+01, -1.121705e+02
8.735154825513e+01, -7.610400e+01, -1.124638e+02
8.837700450933e+01, -7.445666e+01, -1.130009e+02
8.940246076353e+01, -7.302373e+01, -1.130664e+02
9.042791701773e+01, -7.232965e+01, -1.126061e+02
9.145337327193e+01, -7.262328e+01, -1.132313e+02
9.247882952613e+01, -7.312902e+01, -1.131070e+02
9.350428578033e+01, -7.302992e+01, -1.127278e+02
9.452974203453e+01, -7.232054e+01, -1.128586e+02
9.555519828873e+01, -7.154034e+01, -1.124313e+02
9.658065454293e+01, -7.128786e+01, -1.125908e+02
9.760611079713e+01, -7.057378e+01, -1.132868e+02
9.863156705133e+01, -6.764388e+01, -1.135047e+02
9.965702330553e+01, -6.604255e+01, -1.133741e+02
1.006824795597e+02, -6.739698e+01, -1.130532e+02
1.017079358139e+02, -7.134747e+01, -1.136447e+02
1.027333920681e+02, -7.247310e+01, -1.127598e+02
1.037588483223e+02, -7.201352e+01, -1.125572e+02
1.047843045765e+02, -7.041323e+01, -1.127952e+02
1.058097608307e+02, -6.921765e+01, -1.137856e+02
1.068352170849e+02, -6.897199e+01, -1.136801e+02
1.078606733391e+02, -7.133707e+01, -1.136805e+02
1.088861295933e+02, -7.475984e+01, -1.132425e+02
1.099115858475e+02, -7.480080e+01, -1.130106e+02
1.109370421017e+02, -7.492951e+01, -1.132597e+02
1.119624983559e+02, -7.419317e+01, -1.132181e+02
1.129879546101e+02, -7.060581e+01, -1.130871e+02
1.140134108643e+02, -6.848630e+01, -1.131911e+02
1.150388671185e+02, -7.114642e+01, -1.136000e+02
1.160643233727e+02, -7.438433e+01, -1.130015e+02
1.170897796269e+02, -7.395449e+01, -1.137291e+02
1.181152358811e+02, -6.096838e+01, -1.136031e+02
1.191406921353e+02, -5.291721e+01, -1.131152e+02
1.201661483895e+02, -5.114979e+01, -1.133342e+02
1.211916046437e+02, -5.533434e+01, -1.132419e+02
1.222170608979e+02, -6.644673e+01, -1.140940e+02
1.232425171521e+02, -7.297422e+01, -1.131239e+02
