% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:11:29 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -9.931672e+01, -1.201422e+02
1.021384571989e+03, -9.950517e+01, -1.211038e+02
1.123109832406e+03, -9.963456e+01, -1.210682e+02
1.224835092823e+03, -1.002873e+02, -1.210534e+02
1.326560353239e+03, -1.000849e+02, -1.210728e+02
1.428285613656e+03, -9.974199e+01, -1.208993e+02
1.530010874073e+03, -1.000518e+02, -1.213188e+02
1.631736134489e+03, -1.001159e+02, -1.212805e+02
1.733461394906e+03, -9.933606e+01, -1.218113e+02
1.835186655323e+03, -9.921515e+01, -1.223505e+02
1.936911915739e+03, -9.900940e+01, -1.232647e+02
2.038637176156e+03, -9.839527e+01, -1.228305e+02
2.140362436573e+03, -9.873225e+01, -1.218754e+02
2.242087696989e+03, -9.953505e+01, -1.218692e+02
2.343812957406e+03, -9.980046e+01, -1.222914e+02
2.445538217823e+03, -9.962868e+01, -1.226404e+02
2.547263478239e+03, -9.799725e+01, -1.221835e+02
2.648988738656e+03, -9.757306e+01, -1.224783e+02
2.750713999073e+03, -9.763299e+01, -1.217168e+02
2.852439259489e+03, -9.768909e+01, -1.218557e+02
2.954164519906e+03, -9.796280e+01, -1.222622e+02
3.055889780323e+03, -9.812377e+01, -1.232029e+02
3.157615040739e+03, -9.785358e+01, -1.232556e+02
3.259340301156e+03, -9.777778e+01, -1.231562e+02
3.361065561573e+03, -9.784860e+01, -1.236577e+02
3.462790821989e+03, -9.728752e+01, -1.241798e+02
3.564516082406e+03, -9.752540e+01, -1.238821e+02
3.666241342823e+03, -9.631611e+01, -1.235661e+02
3.767966603239e+03, -9.005111e+01, -1.232916e+02
3.869691863656e+03, -7.901804e+01, -1.216602e+02
3.971417124073e+03, -7.488725e+01, -1.189245e+02
4.073142384489e+03, -7.673009e+01, -1.200626e+02
4.174867644906e+03, -8.476149e+01, -1.234210e+02
4.276592905323e+03, -9.332390e+01, -1.238968e+02
4.378318165739e+03, -9.412978e+01, -1.240036e+02
4.480043426156e+03, -9.390860e+01, -1.232839e+02
4.581768686573e+03, -9.420043e+01, -1.239938e+02
4.683493946989e+03, -9.382405e+01, -1.240983e+02
4.785219207406e+03, -9.336978e+01, -1.234184e+02
4.886944467823e+03, -9.326010e+01, -1.235955e+02
4.988669728239e+03, -9.247012e+01, -1.241793e+02
5.090394988656e+03, -9.190323e+01, -1.247013e+02
5.192120249073e+03, -9.115480e+01, -1.246612e+02
5.293845509489e+03, -9.048453e+01, -1.252508e+02
5.395570769906e+03, -8.920498e+01, -1.248481e+02
5.497296030323e+03, -8.836110e+01, -1.249149e+02
5.599021290739e+03, -8.810233e+01, -1.256865e+02
5.700746551156e+03, -8.842455e+01, -1.249288e+02
5.802471811573e+03, -8.742591e+01, -1.243392e+02
5.904197071989e+03, -8.602828e+01, -1.242153e+02
6.005922332406e+03, -8.548652e+01, -1.250239e+02
6.107647592823e+03, -8.528059e+01, -1.253649e+02
6.209372853239e+03, -8.519966e+01, -1.257571e+02
6.311098113656e+03, -8.443743e+01, -1.253914e+02
6.412823374073e+03, -8.300987e+01, -1.250299e+02
6.514548634489e+03, -8.216563e+01, -1.252444e+02
6.616273894906e+03, -8.205200e+01, -1.251876e+02
6.717999155323e+03, -8.165845e+01, -1.247364e+02
6.819724415739e+03, -8.146098e+01, -1.245938e+02
6.921449676156e+03, -8.225457e+01, -1.256960e+02
7.023174936573e+03, -8.237035e+01, -1.263721e+02
7.124900196989e+03, -8.295125e+01, -1.259222e+02
7.226625457406e+03, -8.342640e+01, -1.252183e+02
