% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 0 Hz, stop freq 1.00 kHz, RBW 2.070 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:10:03 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
-8.376896060923e-01, -6.013527e+01, -5.623237e+01
1.877666481080e-01, -5.828995e+01, -5.436686e+01
1.213222902308e+00, -6.230689e+01, -5.843091e+01
2.238679156508e+00, -7.297984e+01, -6.924848e+01
3.264135410709e+00, -9.175371e+01, -9.013694e+01
4.289591664909e+00, -9.623118e+01, -1.003420e+02
5.315047919109e+00, -9.762466e+01, -1.014207e+02
6.340504173310e+00, -9.840456e+01, -1.021288e+02
7.365960427510e+00, -9.739371e+01, -1.023754e+02
8.391416681710e+00, -9.736194e+01, -1.034421e+02
9.416872935910e+00, -9.808856e+01, -1.047715e+02
1.044232919011e+01, -9.882035e+01, -1.056939e+02
1.146778544431e+01, -9.894309e+01, -1.053154e+02
1.249324169851e+01, -9.519996e+01, -1.048810e+02
1.351869795271e+01, -9.075905e+01, -1.054403e+02
1.454415420691e+01, -8.978692e+01, -1.061172e+02
1.556961046111e+01, -9.033525e+01, -1.064990e+02
1.659506671531e+01, -9.059548e+01, -1.056619e+02
1.762052296951e+01, -8.961522e+01, -1.070660e+02
1.864597922371e+01, -8.727102e+01, -1.075232e+02
1.967143547791e+01, -8.785659e+01, -1.076351e+02
2.069689173211e+01, -9.157385e+01, -1.077775e+02
2.172234798631e+01, -9.478784e+01, -1.072259e+02
2.274780424051e+01, -9.544089e+01, -1.074201e+02
2.377326049471e+01, -9.294087e+01, -1.081014e+02
2.479871674891e+01, -8.896569e+01, -1.085347e+02
2.582417300311e+01, -8.806693e+01, -1.085515e+02
2.684962925731e+01, -9.040483e+01, -1.078857e+02
2.787508551152e+01, -9.183109e+01, -1.084492e+02
2.890054176572e+01, -8.855583e+01, -1.090574e+02
2.992599801992e+01, -8.447457e+01, -1.098267e+02
3.095145427412e+01, -8.232547e+01, -1.099439e+02
3.197691052832e+01, -8.122010e+01, -1.096900e+02
3.300236678252e+01, -8.405030e+01, -1.103355e+02
3.402782303672e+01, -8.883088e+01, -1.103286e+02
3.505327929092e+01, -8.933225e+01, -1.099876e+02
3.607873554512e+01, -8.930273e+01, -1.095974e+02
3.710419179932e+01, -8.880495e+01, -1.097028e+02
3.812964805352e+01, -8.266801e+01, -1.096910e+02
3.915510430772e+01, -7.722365e+01, -1.104784e+02
4.018056056192e+01, -7.674133e+01, -1.105786e+02
4.120601681612e+01, -8.079832e+01, -1.110305e+02
4.223147307032e+01, -8.929755e+01, -1.111295e+02
4.325692932452e+01, -8.607460e+01, -1.111711e+02
4.428238557872e+01, -8.322718e+01, -1.111418e+02
4.530784183292e+01, -8.431379e+01, -1.104398e+02
4.633329808712e+01, -8.849677e+01, -1.101684e+02
4.735875434132e+01, -9.132378e+01, -1.106220e+02
4.838421059552e+01, -9.233124e+01, -1.104655e+02
4.940966684972e+01, -9.157892e+01, -1.107707e+02
5.043512310392e+01, -8.981402e+01, -1.114778e+02
5.146057935812e+01, -8.648265e+01, -1.113245e+02
5.248603561232e+01, -8.496839e+01, -1.109627e+02
5.351149186652e+01, -8.437912e+01, -1.106843e+02
5.453694812072e+01, -8.548491e+01, -1.110288e+02
5.556240437492e+01, -8.672732e+01, -1.109988e+02
5.658786062912e+01, -8.897502e+01, -1.102001e+02
5.761331688332e+01, -8.543178e+01, -1.105543e+02
5.863877313752e+01, -7.514628e+01, -1.063376e+02
5.966422939172e+01, -7.032124e+01, -1.019863e+02
6.068968564592e+01, -7.150096e+01, -1.033694e+02
