% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:12:24 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -1.281766e+02, -1.244849e+02
1.021326364328e+04, -1.281940e+02, -1.253800e+02
1.123051624745e+04, -1.282165e+02, -1.257503e+02
1.224776885162e+04, -1.283395e+02, -1.261139e+02
1.326502145578e+04, -1.285192e+02, -1.265225e+02
1.428227405995e+04, -1.289157e+02, -1.269358e+02
1.529952666412e+04, -1.293943e+02, -1.271196e+02
1.631677926828e+04, -1.295338e+02, -1.264192e+02
1.733403187245e+04, -1.297198e+02, -1.235275e+02
1.835128447662e+04, -1.296877e+02, -1.215710e+02
1.936853708078e+04, -1.294387e+02, -1.236770e+02
2.038578968495e+04, -1.294942e+02, -1.271427e+02
2.140304228912e+04, -1.297052e+02, -1.281968e+02
2.242029489328e+04, -1.298142e+02, -1.280097e+02
2.343754749745e+04, -1.298332e+02, -1.273816e+02
2.445480010162e+04, -1.299193e+02, -1.268505e+02
2.547205270578e+04, -1.298810e+02, -1.275386e+02
2.648930530995e+04, -1.295256e+02, -1.281775e+02
2.750655791412e+04, -1.297823e+02, -1.282178e+02
2.852381051828e+04, -1.300406e+02, -1.282662e+02
2.954106312245e+04, -1.300493e+02, -1.284409e+02
3.055831572662e+04, -1.301881e+02, -1.285241e+02
3.157556833078e+04, -1.300759e+02, -1.283221e+02
3.259282093495e+04, -1.299746e+02, -1.284315e+02
3.361007353912e+04, -1.300969e+02, -1.286739e+02
3.462732614328e+04, -1.302300e+02, -1.285556e+02
3.564457874745e+04, -1.300366e+02, -1.285462e+02
3.666183135162e+04, -1.299096e+02, -1.290009e+02
3.767908395578e+04, -1.300529e+02, -1.293899e+02
3.869633655995e+04, -1.303042e+02, -1.295122e+02
3.971358916412e+04, -1.303403e+02, -1.294999e+02
4.073084176828e+04, -1.302745e+02, -1.296221e+02
4.174809437245e+04, -1.303951e+02, -1.295858e+02
4.276534697662e+04, -1.304700e+02, -1.292454e+02
4.378259958078e+04, -1.303904e+02, -1.292514e+02
4.479985218495e+04, -1.303064e+02, -1.296095e+02
4.581710478912e+04, -1.305041e+02, -1.295711e+02
4.683435739328e+04, -1.305815e+02, -1.294185e+02
4.785160999745e+04, -1.307681e+02, -1.295329e+02
4.886886260162e+04, -1.306742e+02, -1.294835e+02
4.988611520578e+04, -1.306107e+02, -1.294460e+02
5.090336780995e+04, -1.305631e+02, -1.295934e+02
5.192062041412e+04, -1.305164e+02, -1.296073e+02
5.293787301828e+04, -1.306736e+02, -1.295288e+02
5.395512562245e+04, -1.307654e+02, -1.296078e+02
5.497237822662e+04, -1.307682e+02, -1.296514e+02
5.598963083078e+04, -1.308492e+02, -1.295786e+02
5.700688343495e+04, -1.306080e+02, -1.296515e+02
5.802413603912e+04, -1.305881e+02, -1.298359e+02
5.904138864328e+04, -1.309710e+02, -1.299814e+02
6.005864124745e+04, -1.310067e+02, -1.299571e+02
6.107589385162e+04, -1.307816e+02, -1.297332e+02
6.209314645578e+04, -1.306983e+02, -1.297442e+02
6.311039905995e+04, -1.310023e+02, -1.300363e+02
6.412765166412e+04, -1.309940e+02, -1.299784e+02
6.514490426828e+04, -1.308321e+02, -1.299019e+02
6.616215687245e+04, -1.310398e+02, -1.299317e+02
6.717940947662e+04, -1.311088e+02, -1.297789e+02
6.819666208078e+04, -1.311681e+02, -1.297528e+02
6.921391468495e+04, -1.309528e+02, -1.296457e+02
7.023116728912e+04, -1.306773e+02, -1.295654e+02
7.124841989328e+04, -1.306070e+02, -1.295595e+02
7.226567249745e+04, -1.307516e+02, -1.296228e+02
7.328292510162e+04, -1.309346e+02, -1.298536e+02
7.430017770578e+04, -1.309014e+02, -1.299725e+02
7.531743030995e+04, -1.308049e+02, -1.299619e+02
7.633468291412e+04, -1.308413e+02, -1.300402e+02
7.735193551828e+04, -1.309377e+02, -1.300345e+02
7.836918812245e+04, -1.307521e+02, -1.298356e+02
7.938644072662e+04, -1.310110e+02, -1.298421e+02
8.040369333078e+04, -1.311263e+02, -1.300828e+02
8.142094593495e+04, -1.310832e+02, -1.300872e+02
8.243819853912e+04, -1.311823e+02, -1.301480e+02
8.345545114328e+04, -1.312932e+02, -1.299499e+02
8.447270374745e+04, -1.313754e+02, -1.297164e+02
8.548995635162e+04, -1.315066e+02, -1.298061e+02
8.650720895578e+04, -1.313136e+02, -1.297856e+02
8.752446155995e+04, -1.312405e+02, -1.296078e+02
8.854171416412e+04, -1.312302e+02, -1.298302e+02
8.955896676828e+04, -1.312710e+02, -1.300538e+02
9.057621937245e+04, -1.312205e+02, -1.300055e+02
9.159347197662e+04, -1.312338e+02, -1.299649e+02
9.261072458078e+04, -1.311873e+02, -1.299857e+02
9.362797718495e+04, -1.312706e+02, -1.299481e+02
9.464522978912e+04, -1.312626e+02, -1.298745e+02
9.566248239328e+04, -1.311629e+02, -1.299581e+02
9.667973499745e+04, -1.311470e+02, -1.298937e+02
9.769698760162e+04, -1.311081e+02, -1.300782e+02
9.871424020578e+04, -1.309385e+02, -1.301493e+02
9.973149280995e+04, -1.308033e+02, -1.299935e+02
1.007487454141e+05, -1.308567e+02, -1.303468e+02
1.017659980183e+05, -1.310886e+02, -1.307101e+02
1.027832506225e+05, -1.312577e+02, -1.308109e+02
1.038005032266e+05, -1.313541e+02, -1.304323e+02
1.048177558308e+05, -1.314280e+02, -1.301729e+02
1.058350084350e+05, -1.315332e+02, -1.302888e+02
1.068522610391e+05, -1.314941e+02, -1.304550e+02
1.078695136433e+05, -1.314000e+02, -1.304152e+02
1.088867662475e+05, -1.312958e+02, -1.302373e+02
1.099040188516e+05, -1.313822e+02, -1.302575e+02
1.109212714558e+05, -1.315091e+02, -1.303827e+02
1.119385240600e+05, -1.313502e+02, -1.305796e+02
1.129557766641e+05, -1.312656e+02, -1.305384e+02
1.139730292683e+05, -1.311947e+02, -1.303319e+02
1.149902818725e+05, -1.313985e+02, -1.302142e+02
1.160075344766e+05, -1.314442e+02, -1.301771e+02
1.170247870808e+05, -1.313299e+02, -1.302762e+02
1.180420396850e+05, -1.313313e+02, -1.301914e+02
1.190592922891e+05, -1.316522e+02, -1.302499e+02
1.200765448933e+05, -1.318563e+02, -1.302967e+02
1.210937974975e+05, -1.314437e+02, -1.302274e+02
1.221110501016e+05, -1.312512e+02, -1.303422e+02
1.231283027058e+05, -1.315267e+02, -1.304121e+02
1.241455553100e+05, -1.314341e+02, -1.302253e+02
1.251628079141e+05, -1.312484e+02, -1.301539e+02
1.261800605183e+05, -1.313574e+02, -1.301668e+02
1.271973131225e+05, -1.313966e+02, -1.303678e+02
1.282145657266e+05, -1.314200e+02, -1.305062e+02
1.292318183308e+05, -1.315716e+02, -1.303394e+02
1.302490709350e+05, -1.315963e+02, -1.305261e+02
1.312663235391e+05, -1.314640e+02, -1.306145e+02
1.322835761433e+05, -1.315062e+02, -1.305602e+02
1.333008287475e+05, -1.316529e+02, -1.306950e+02
1.343180813516e+05, -1.316132e+02, -1.306232e+02
1.353353339558e+05, -1.313171e+02, -1.302624e+02
1.363525865600e+05, -1.314475e+02, -1.302666e+02
1.373698391641e+05, -1.316479e+02, -1.303139e+02
1.383870917683e+05, -1.315700e+02, -1.303108e+02
1.394043443725e+05, -1.312930e+02, -1.304071e+02
1.404215969766e+05, -1.312773e+02, -1.303744e+02
1.414388495808e+05, -1.310608e+02, -1.302118e+02
1.424561021850e+05, -1.311968e+02, -1.303520e+02
1.434733547891e+05, -1.313653e+02, -1.306443e+02
1.444906073933e+05, -1.315919e+02, -1.306907e+02
1.455078599975e+05, -1.314460e+02, -1.304261e+02
1.465251126016e+05, -1.315512e+02, -1.302353e+02
1.475423652058e+05, -1.316724e+02, -1.302268e+02
