% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:57:00 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -9.743099e+01, -1.208849e+02
1.021384571989e+03, -9.798319e+01, -1.204205e+02
1.123109832406e+03, -9.803899e+01, -1.206056e+02
1.224835092823e+03, -9.790513e+01, -1.213091e+02
1.326560353239e+03, -9.871317e+01, -1.214474e+02
1.428285613656e+03, -9.898411e+01, -1.216094e+02
1.530010874073e+03, -9.939748e+01, -1.219752e+02
1.631736134489e+03, -9.824491e+01, -1.224581e+02
1.733461394906e+03, -9.829942e+01, -1.216604e+02
1.835186655323e+03, -9.915578e+01, -1.221187e+02
1.936911915739e+03, -9.860597e+01, -1.225481e+02
2.038637176156e+03, -9.855435e+01, -1.223825e+02
2.140362436573e+03, -9.867095e+01, -1.224915e+02
2.242087696989e+03, -9.974330e+01, -1.217308e+02
2.343812957406e+03, -9.891500e+01, -1.216180e+02
2.445538217823e+03, -9.863730e+01, -1.215310e+02
2.547263478239e+03, -9.850321e+01, -1.218621e+02
2.648988738656e+03, -9.778284e+01, -1.230679e+02
2.750713999073e+03, -9.748994e+01, -1.236414e+02
2.852439259489e+03, -9.725854e+01, -1.239902e+02
2.954164519906e+03, -9.842728e+01, -1.234299e+02
3.055889780323e+03, -9.856432e+01, -1.231083e+02
3.157615040739e+03, -9.911569e+01, -1.230895e+02
3.259340301156e+03, -9.927928e+01, -1.221720e+02
3.361065561573e+03, -9.864391e+01, -1.232571e+02
3.462790821989e+03, -9.951788e+01, -1.243271e+02
3.564516082406e+03, -9.868373e+01, -1.238971e+02
3.666241342823e+03, -9.800803e+01, -1.235734e+02
3.767966603239e+03, -8.482236e+01, -1.232513e+02
3.869691863656e+03, -7.386415e+01, -1.217552e+02
3.971417124073e+03, -6.974072e+01, -1.197561e+02
4.073142384489e+03, -7.154959e+01, -1.207206e+02
4.174867644906e+03, -7.964257e+01, -1.221849e+02
4.276592905323e+03, -9.459144e+01, -1.230052e+02
4.378318165739e+03, -9.851045e+01, -1.235588e+02
4.480043426156e+03, -9.826035e+01, -1.234952e+02
4.581768686573e+03, -9.832605e+01, -1.237191e+02
4.683493946989e+03, -9.907707e+01, -1.242626e+02
4.785219207406e+03, -9.947346e+01, -1.242341e+02
4.886944467823e+03, -9.949414e+01, -1.235085e+02
4.988669728239e+03, -9.929018e+01, -1.240082e+02
5.090394988656e+03, -9.928226e+01, -1.236705e+02
5.192120249073e+03, -9.925008e+01, -1.237311e+02
5.293845509489e+03, -9.854511e+01, -1.247781e+02
5.395570769906e+03, -9.831280e+01, -1.252823e+02
5.497296030323e+03, -9.878901e+01, -1.254363e+02
5.599021290739e+03, -9.893531e+01, -1.257331e+02
5.700746551156e+03, -9.914318e+01, -1.251010e+02
5.802471811573e+03, -9.872621e+01, -1.246380e+02
5.904197071989e+03, -9.875829e+01, -1.242078e+02
6.005922332406e+03, -9.916020e+01, -1.246032e+02
6.107647592823e+03, -9.933611e+01, -1.245560e+02
6.209372853239e+03, -9.952844e+01, -1.243347e+02
6.311098113656e+03, -9.917213e+01, -1.246956e+02
6.412823374073e+03, -9.861271e+01, -1.249130e+02
6.514548634489e+03, -9.923072e+01, -1.253913e+02
6.616273894906e+03, -1.001086e+02, -1.256295e+02
