% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:56:29 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -7.123151e+01, -1.142463e+02
1.085055844178e+02, -7.797971e+01, -1.141207e+02
1.181937044575e+02, -7.574587e+01, -1.140603e+02
1.278818244972e+02, -7.714443e+01, -1.147082e+02
1.375699445369e+02, -8.045412e+01, -1.153288e+02
1.472580645766e+02, -8.144414e+01, -1.142529e+02
1.569461846162e+02, -8.024633e+01, -1.146782e+02
1.666343046559e+02, -7.865944e+01, -1.153203e+02
1.763224246956e+02, -7.908357e+01, -1.148346e+02
1.860105447353e+02, -8.102629e+01, -1.151704e+02
1.956986647750e+02, -8.195480e+01, -1.160341e+02
2.053867848147e+02, -8.071198e+01, -1.164509e+02
2.150749048543e+02, -7.879289e+01, -1.161741e+02
2.247630248940e+02, -7.995543e+01, -1.163228e+02
2.344511449337e+02, -8.009395e+01, -1.159228e+02
2.441392649734e+02, -7.905985e+01, -1.164591e+02
2.538273850131e+02, -7.893222e+01, -1.166360e+02
2.635155050527e+02, -8.246489e+01, -1.162461e+02
2.732036250924e+02, -8.661749e+01, -1.170361e+02
2.828917451321e+02, -9.031118e+01, -1.167554e+02
2.925798651718e+02, -9.037222e+01, -1.164151e+02
3.022679852115e+02, -9.015661e+01, -1.169574e+02
3.119561052512e+02, -9.216311e+01, -1.173188e+02
3.216442252908e+02, -9.348584e+01, -1.164938e+02
3.313323453305e+02, -9.464401e+01, -1.170933e+02
3.410204653702e+02, -9.412623e+01, -1.166394e+02
3.507085854099e+02, -9.186679e+01, -1.171978e+02
3.603967054496e+02, -9.030992e+01, -1.175765e+02
3.700848254893e+02, -9.255916e+01, -1.181214e+02
3.797729455289e+02, -9.538282e+01, -1.192008e+02
3.894610655686e+02, -9.592228e+01, -1.183358e+02
3.991491856083e+02, -9.600384e+01, -1.187208e+02
4.088373056480e+02, -9.623275e+01, -1.178731e+02
4.185254256877e+02, -9.598636e+01, -1.176260e+02
4.282135457274e+02, -9.685308e+01, -1.178369e+02
4.379016657670e+02, -9.577125e+01, -1.178436e+02
4.475897858067e+02, -9.450008e+01, -1.177032e+02
4.572779058464e+02, -9.536857e+01, -1.177032e+02
4.669660258861e+02, -9.735242e+01, -1.187159e+02
4.766541459258e+02, -9.688567e+01, -1.193926e+02
4.863422659654e+02, -9.781702e+01, -1.185365e+02
4.960303860051e+02, -9.848769e+01, -1.181483e+02
5.057185060448e+02, -9.800119e+01, -1.185837e+02
5.154066260845e+02, -9.820140e+01, -1.191405e+02
5.250947461242e+02, -9.810573e+01, -1.187823e+02
5.347828661639e+02, -9.806332e+01, -1.187867e+02
5.444709862035e+02, -9.821046e+01, -1.186251e+02
5.541591062432e+02, -9.731173e+01, -1.183268e+02
5.638472262829e+02, -9.766493e+01, -1.186491e+02
5.735353463226e+02, -9.713478e+01, -1.182076e+02
5.832234663623e+02, -9.603435e+01, -1.182718e+02
5.929115864020e+02, -9.577616e+01, -1.193549e+02
6.025997064416e+02, -9.630476e+01, -1.194208e+02
6.122878264813e+02, -9.592308e+01, -1.188243e+02
6.219759465210e+02, -9.564423e+01, -1.194278e+02
6.316640665607e+02, -9.507861e+01, -1.194469e+02
6.413521866004e+02, -9.394951e+01, -1.190319e+02
6.510403066400e+02, -9.400827e+01, -1.184777e+02
6.607284266797e+02, -9.470568e+01, -1.195467e+02
6.704165467194e+02, -9.546479e+01, -1.194544e+02
6.801046667591e+02, -9.558946e+01, -1.188750e+02
6.897927867988e+02, -9.520983e+01, -1.188221e+02
6.994809068385e+02, -9.624508e+01, -1.195246e+02
7.091690268781e+02, -9.573955e+01, -1.198173e+02
7.188571469178e+02, -9.342822e+01, -1.196226e+02
7.285452669575e+02, -9.261159e+01, -1.193501e+02
7.382333869972e+02, -9.411474e+01, -1.201670e+02
7.479215070369e+02, -9.666184e+01, -1.200826e+02
7.576096270766e+02, -9.842914e+01, -1.192846e+02
7.672977471162e+02, -9.840886e+01, -1.190390e+02
7.769858671559e+02, -9.735028e+01, -1.196234e+02
7.866739871956e+02, -9.769826e+01, -1.204434e+02
7.963621072353e+02, -9.804167e+01, -1.199475e+02
8.060502272750e+02, -9.782455e+01, -1.197495e+02
8.157383473147e+02, -9.834822e+01, -1.202435e+02
8.254264673543e+02, -9.899534e+01, -1.199906e+02
8.351145873940e+02, -9.713058e+01, -1.209699e+02
8.448027074337e+02, -9.627284e+01, -1.205669e+02
8.544908274734e+02, -9.731586e+01, -1.199157e+02
8.641789475131e+02, -9.862333e+01, -1.191627e+02
8.738670675527e+02, -9.962399e+01, -1.204206e+02
8.835551875924e+02, -9.885311e+01, -1.205796e+02
8.932433076321e+02, -9.775579e+01, -1.202634e+02
9.029314276718e+02, -9.718967e+01, -1.204330e+02
9.126195477115e+02, -9.602116e+01, -1.194728e+02
9.223076677512e+02, -9.628550e+01, -1.197521e+02
9.319957877908e+02, -9.606974e+01, -1.206891e+02
9.416839078305e+02, -9.599423e+01, -1.203494e+02
9.513720278702e+02, -9.503143e+01, -1.200662e+02
9.610601479099e+02, -9.465377e+01, -1.200574e+02
9.707482679496e+02, -9.500782e+01, -1.207531e+02
9.804363879893e+02, -9.551985e+01, -1.197270e+02
9.901245080289e+02, -9.673116e+01, -1.197620e+02
9.998126280686e+02, -9.792270e+01, -1.188040e+02
1.009500748108e+03, -9.698147e+01, -1.191731e+02
1.019188868148e+03, -9.680596e+01, -1.193593e+02
1.028876988188e+03, -9.795060e+01, -1.196026e+02
1.038565108227e+03, -9.876035e+01, -1.194383e+02
1.048253228267e+03, -9.785738e+01, -1.201101e+02
1.057941348307e+03, -9.777308e+01, -1.197762e+02
1.067629468346e+03, -9.847533e+01, -1.197542e+02
1.077317588386e+03, -9.847075e+01, -1.199860e+02
1.087005708426e+03, -9.810066e+01, -1.207100e+02
1.096693828465e+03, -9.791531e+01, -1.214325e+02
1.106381948505e+03, -9.873608e+01, -1.213816e+02
1.116070068545e+03, -9.824888e+01, -1.206729e+02
1.125758188584e+03, -9.910277e+01, -1.208316e+02
1.135446308624e+03, -9.809030e+01, -1.204178e+02
1.145134428664e+03, -9.818888e+01, -1.198587e+02
1.154822548704e+03, -9.862052e+01, -1.201412e+02
1.164510668743e+03, -9.839116e+01, -1.203689e+02
1.174198788783e+03, -9.860372e+01, -1.201446e+02
1.183886908823e+03, -9.875931e+01, -1.203721e+02
1.193575028862e+03, -9.997957e+01, -1.208418e+02
1.203263148902e+03, -9.978042e+01, -1.210986e+02
1.212951268942e+03, -9.870289e+01, -1.214375e+02
1.222639388981e+03, -9.850205e+01, -1.208381e+02
1.232327509021e+03, -9.868771e+01, -1.205904e+02
1.242015629061e+03, -9.889719e+01, -1.211754e+02
1.251703749100e+03, -9.923095e+01, -1.204207e+02
1.261391869140e+03, -9.989073e+01, -1.202914e+02
1.271079989180e+03, -9.991624e+01, -1.205047e+02
1.280768109219e+03, -9.937509e+01, -1.194336e+02
1.290456229259e+03, -9.945064e+01, -1.199362e+02
1.300144349299e+03, -9.939006e+01, -1.206810e+02
1.309832469338e+03, -9.869154e+01, -1.201666e+02
1.319520589378e+03, -9.839769e+01, -1.205213e+02
1.329208709418e+03, -9.880982e+01, -1.209927e+02
1.338896829458e+03, -9.872263e+01, -1.200621e+02
1.348584949497e+03, -9.836983e+01, -1.209826e+02
1.358273069537e+03, -9.852401e+01, -1.216386e+02
1.367961189577e+03, -9.898699e+01, -1.219798e+02
1.377649309616e+03, -9.782346e+01, -1.213759e+02
1.387337429656e+03, -9.778063e+01, -1.208893e+02
1.397025549696e+03, -9.892977e+01, -1.207639e+02
1.406713669735e+03, -9.899650e+01, -1.211520e+02
1.416401789775e+03, -9.829131e+01, -1.206619e+02
1.426089909815e+03, -9.845616e+01, -1.207372e+02
1.435778029854e+03, -9.911926e+01, -1.205973e+02
1.445466149894e+03, -9.982395e+01, -1.208805e+02
1.455154269934e+03, -9.941605e+01, -1.208932e+02
1.464842389973e+03, -9.971955e+01, -1.209540e+02
1.474530510013e+03, -9.943217e+01, -1.208220e+02
1.484218630053e+03, -9.894059e+01, -1.220147e+02
1.493906750092e+03, -9.803331e+01, -1.222884e+02
1.503594870132e+03, -9.813616e+01, -1.214723e+02
