% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:57:24 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -9.635480e+01, -1.252050e+02
1.021326364328e+04, -9.845536e+01, -1.259619e+02
1.123051624745e+04, -9.881514e+01, -1.265734e+02
1.224776885162e+04, -9.896732e+01, -1.267569e+02
1.326502145578e+04, -9.898713e+01, -1.269293e+02
1.428227405995e+04, -9.813404e+01, -1.271115e+02
1.529952666412e+04, -9.534213e+01, -1.273566e+02
1.631677926828e+04, -9.476435e+01, -1.267162e+02
1.733403187245e+04, -9.737245e+01, -1.234425e+02
1.835128447662e+04, -9.849031e+01, -1.217727e+02
1.936853708078e+04, -9.713093e+01, -1.242620e+02
2.038578968495e+04, -9.693629e+01, -1.274713e+02
2.140304228912e+04, -9.840064e+01, -1.279601e+02
2.242029489328e+04, -9.894029e+01, -1.280632e+02
2.343754749745e+04, -9.881103e+01, -1.275754e+02
2.445480010162e+04, -9.871669e+01, -1.268740e+02
2.547205270578e+04, -9.883716e+01, -1.274269e+02
2.648930530995e+04, -9.789239e+01, -1.280526e+02
2.750655791412e+04, -9.580094e+01, -1.282758e+02
2.852381051828e+04, -9.614355e+01, -1.282465e+02
2.954106312245e+04, -9.830354e+01, -1.282347e+02
3.055831572662e+04, -9.839745e+01, -1.284251e+02
3.157556833078e+04, -9.733434e+01, -1.284584e+02
3.259282093495e+04, -9.764254e+01, -1.285139e+02
3.361007353912e+04, -9.898105e+01, -1.288003e+02
3.462732614328e+04, -9.889779e+01, -1.288817e+02
3.564457874745e+04, -9.837586e+01, -1.288150e+02
3.666183135162e+04, -9.348705e+01, -1.290887e+02
3.767908395578e+04, -7.463060e+01, -1.292176e+02
3.869633655995e+04, -6.425563e+01, -1.292237e+02
3.971358916412e+04, -6.052238e+01, -1.291873e+02
4.073084176828e+04, -6.270664e+01, -1.292638e+02
4.174809437245e+04, -7.122025e+01, -1.291756e+02
4.276534697662e+04, -8.790699e+01, -1.291435e+02
4.378259958078e+04, -9.759433e+01, -1.293986e+02
4.479985218495e+04, -9.822846e+01, -1.295341e+02
4.581710478912e+04, -9.898023e+01, -1.292916e+02
4.683435739328e+04, -9.852674e+01, -1.293502e+02
4.785160999745e+04, -9.804004e+01, -1.295778e+02
4.886886260162e+04, -9.862285e+01, -1.297314e+02
4.988611520578e+04, -9.887546e+01, -1.300167e+02
5.090336780995e+04, -9.707965e+01, -1.300571e+02
5.192062041412e+04, -9.575127e+01, -1.298954e+02
5.293787301828e+04, -9.751346e+01, -1.298923e+02
5.395512562245e+04, -9.898024e+01, -1.299826e+02
5.497237822662e+04, -9.886074e+01, -1.299686e+02
5.598963083078e+04, -9.833973e+01, -1.297596e+02
5.700688343495e+04, -9.857628e+01, -1.297292e+02
5.802413603912e+04, -9.890865e+01, -1.297595e+02
5.904138864328e+04, -9.844922e+01, -1.297783e+02
6.005864124745e+04, -9.817512e+01, -1.297982e+02
6.107589385162e+04, -9.903572e+01, -1.297735e+02
6.209314645578e+04, -9.895336e+01, -1.298636e+02
6.311039905995e+04, -9.679453e+01, -1.299270e+02
6.412765166412e+04, -9.607000e+01, -1.300231e+02
6.514490426828e+04, -9.804394e+01, -1.299664e+02
6.616215687245e+04, -9.912493e+01, -1.301571e+02
6.717940947662e+04, -9.864163e+01, -1.301505e+02
6.819666208078e+04, -9.881497e+01, -1.297263e+02
6.921391468495e+04, -9.944563e+01, -1.296454e+02
7.023116728912e+04, -9.932083e+01, -1.299524e+02
7.124841989328e+04, -9.817448e+01, -1.300229e+02
7.226567249745e+04, -9.803726e+01, -1.299832e+02
7.328292510162e+04, -9.920456e+01, -1.302179e+02
7.430017770578e+04, -9.870098e+01, -1.301076e+02
7.531743030995e+04, -9.646470e+01, -1.300506e+02
7.633468291412e+04, -9.629448e+01, -1.302479e+02
7.735193551828e+04, -8.692547e+01, -1.302915e+02
7.836918812245e+04, -7.534640e+01, -1.302481e+02
7.938644072662e+04, -7.057037e+01, -1.300787e+02
8.040369333078e+04, -7.174811e+01, -1.300551e+02
8.142094593495e+04, -7.909145e+01, -1.302805e+02
8.243819853912e+04, -9.344863e+01, -1.305086e+02
