% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:13:09 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -1.224793e+02, -1.203596e+02
1.021384571989e+03, -1.223342e+02, -1.196906e+02
1.123109832406e+03, -1.235965e+02, -1.204557e+02
1.224835092823e+03, -1.241047e+02, -1.198049e+02
1.326560353239e+03, -1.240592e+02, -1.206507e+02
1.428285613656e+03, -1.241465e+02, -1.211310e+02
1.530010874073e+03, -1.244437e+02, -1.206981e+02
1.631736134489e+03, -1.244468e+02, -1.202996e+02
1.733461394906e+03, -1.243873e+02, -1.215756e+02
1.835186655323e+03, -1.245012e+02, -1.212051e+02
1.936911915739e+03, -1.258815e+02, -1.213009e+02
2.038637176156e+03, -1.257278e+02, -1.209008e+02
2.140362436573e+03, -1.254205e+02, -1.214377e+02
2.242087696989e+03, -1.264437e+02, -1.226522e+02
2.343812957406e+03, -1.267291e+02, -1.223074e+02
2.445538217823e+03, -1.272377e+02, -1.219841e+02
2.547263478239e+03, -1.267438e+02, -1.227449e+02
2.648988738656e+03, -1.265878e+02, -1.234254e+02
2.750713999073e+03, -1.265515e+02, -1.229869e+02
2.852439259489e+03, -1.265239e+02, -1.234732e+02
2.954164519906e+03, -1.264643e+02, -1.232810e+02
3.055889780323e+03, -1.258802e+02, -1.229035e+02
3.157615040739e+03, -1.258548e+02, -1.230231e+02
3.259340301156e+03, -1.259995e+02, -1.231736e+02
3.361065561573e+03, -1.271220e+02, -1.233052e+02
3.462790821989e+03, -1.273084e+02, -1.232431e+02
3.564516082406e+03, -1.265434e+02, -1.236583e+02
3.666241342823e+03, -1.266841e+02, -1.245899e+02
3.767966603239e+03, -1.278554e+02, -1.237214e+02
3.869691863656e+03, -1.272842e+02, -1.209084e+02
3.971417124073e+03, -1.274160e+02, -1.185130e+02
4.073142384489e+03, -1.274683e+02, -1.199290e+02
4.174867644906e+03, -1.268500e+02, -1.227003e+02
4.276592905323e+03, -1.271987e+02, -1.242102e+02
4.378318165739e+03, -1.275514e+02, -1.238523e+02
4.480043426156e+03, -1.271865e+02, -1.239554e+02
4.581768686573e+03, -1.270952e+02, -1.235487e+02
4.683493946989e+03, -1.270211e+02, -1.236717e+02
4.785219207406e+03, -1.274278e+02, -1.234005e+02
4.886944467823e+03, -1.274264e+02, -1.234196e+02
4.988669728239e+03, -1.271624e+02, -1.242973e+02
5.090394988656e+03, -1.271487e+02, -1.244999e+02
5.192120249073e+03, -1.275191e+02, -1.243605e+02
5.293845509489e+03, -1.282286e+02, -1.239718e+02
5.395570769906e+03, -1.284519e+02, -1.245185e+02
5.497296030323e+03, -1.276975e+02, -1.254112e+02
5.599021290739e+03, -1.275284e+02, -1.254594e+02
5.700746551156e+03, -1.281957e+02, -1.253310e+02
5.802471811573e+03, -1.288333e+02, -1.245941e+02
5.904197071989e+03, -1.284027e+02, -1.253062e+02
6.005922332406e+03, -1.284314e+02, -1.252363e+02
6.107647592823e+03, -1.289018e+02, -1.252773e+02
6.209372853239e+03, -1.283233e+02, -1.246551e+02
6.311098113656e+03, -1.277448e+02, -1.241650e+02
6.412823374073e+03, -1.288184e+02, -1.253861e+02
6.514548634489e+03, -1.292592e+02, -1.258359e+02
6.616273894906e+03, -1.289624e+02, -1.257924e+02
6.717999155323e+03, -1.282806e+02, -1.255238e+02
6.819724415739e+03, -1.286375e+02, -1.258497e+02
6.921449676156e+03, -1.286481e+02, -1.247834e+02
7.023174936573e+03, -1.283479e+02, -1.249102e+02
7.124900196989e+03, -1.282993e+02, -1.250495e+02
7.226625457406e+03, -1.279821e+02, -1.251223e+02
7.328350717823e+03, -1.274318e+02, -1.252443e+02
7.430075978239e+03, -1.278931e+02, -1.245966e+02
7.531801238656e+03, -1.288858e+02, -1.253091e+02
7.633526499073e+03, -1.286679e+02, -1.256148e+02
7.735251759489e+03, -1.291839e+02, -1.258131e+02
7.836977019906e+03, -1.288532e+02, -1.245622e+02
7.938702280323e+03, -1.281437e+02, -1.224352e+02
8.040427540739e+03, -1.287747e+02, -1.224145e+02
8.142152801156e+03, -1.294199e+02, -1.254009e+02
8.243878061573e+03, -1.292317e+02, -1.265259e+02
8.345603321989e+03, -1.290260e+02, -1.262349e+02
8.447328582406e+03, -1.288369e+02, -1.260876e+02
8.549053842823e+03, -1.286563e+02, -1.258945e+02
8.650779103239e+03, -1.295706e+02, -1.263370e+02
8.752504363656e+03, -1.301266e+02, -1.274463e+02
8.854229624073e+03, -1.292699e+02, -1.267740e+02
8.955954884489e+03, -1.284138e+02, -1.266436e+02
9.057680144906e+03, -1.287290e+02, -1.275683e+02
9.159405405323e+03, -1.288948e+02, -1.269734e+02
9.261130665739e+03, -1.297414e+02, -1.269362e+02
9.362855926156e+03, -1.303438e+02, -1.268653e+02
9.464581186573e+03, -1.299480e+02, -1.258383e+02
9.566306446989e+03, -1.299514e+02, -1.257330e+02
9.668031707406e+03, -1.292856e+02, -1.260643e+02
9.769756967823e+03, -1.294770e+02, -1.264798e+02
9.871482228239e+03, -1.294880e+02, -1.263658e+02
9.973207488656e+03, -1.294388e+02, -1.271262e+02
1.007493274907e+04, -1.303222e+02, -1.267385e+02
1.017665800949e+04, -1.294788e+02, -1.263697e+02
1.027838326991e+04, -1.290003e+02, -1.263305e+02
1.038010853032e+04, -1.291604e+02, -1.266524e+02
1.048183379074e+04, -1.295222e+02, -1.267408e+02
1.058355905116e+04, -1.302645e+02, -1.272516e+02
1.068528431157e+04, -1.296399e+02, -1.278719e+02
1.078700957199e+04, -1.297778e+02, -1.280128e+02
1.088873483241e+04, -1.301524e+02, -1.274495e+02
1.099046009282e+04, -1.296134e+02, -1.276137e+02
1.109218535324e+04, -1.290135e+02, -1.273258e+02
1.119391061366e+04, -1.285348e+02, -1.268933e+02
1.129563587407e+04, -1.291294e+02, -1.262163e+02
1.139736113449e+04, -1.298815e+02, -1.264143e+02
1.149908639491e+04, -1.299186e+02, -1.275407e+02
1.160081165532e+04, -1.286926e+02, -1.277976e+02
1.170253691574e+04, -1.292375e+02, -1.278947e+02
1.180426217616e+04, -1.300161e+02, -1.269531e+02
1.190598743657e+04, -1.304126e+02, -1.267605e+02
1.200771269699e+04, -1.300670e+02, -1.268927e+02
1.210943795741e+04, -1.302040e+02, -1.262855e+02
1.221116321782e+04, -1.298063e+02, -1.259495e+02
1.231288847824e+04, -1.297212e+02, -1.264785e+02
1.241461373866e+04, -1.302102e+02, -1.271940e+02
1.251633899907e+04, -1.296536e+02, -1.265955e+02
1.261806425949e+04, -1.286405e+02, -1.269850e+02
1.271978951991e+04, -1.294549e+02, -1.273188e+02
1.282151478032e+04, -1.297272e+02, -1.272347e+02
1.292324004074e+04, -1.295691e+02, -1.278996e+02
1.302496530116e+04, -1.302025e+02, -1.291092e+02
1.312669056157e+04, -1.303424e+02, -1.289558e+02
1.322841582199e+04, -1.293596e+02, -1.286174e+02
1.333014108241e+04, -1.295140e+02, -1.272516e+02
1.343186634282e+04, -1.293914e+02, -1.267215e+02
1.353359160324e+04, -1.302071e+02, -1.266191e+02
1.363531686366e+04, -1.299692e+02, -1.271593e+02
1.373704212407e+04, -1.295190e+02, -1.273408e+02
1.383876738449e+04, -1.298459e+02, -1.284212e+02
1.394049264491e+04, -1.294199e+02, -1.287758e+02
1.404221790532e+04, -1.291873e+02, -1.289563e+02
