% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:21:44 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -1.147768e+02, -1.206039e+02
1.021384571989e+03, -1.156191e+02, -1.215297e+02
1.123109832406e+03, -1.165677e+02, -1.222951e+02
1.224835092823e+03, -1.168083e+02, -1.213426e+02
1.326560353239e+03, -1.164390e+02, -1.205522e+02
1.428285613656e+03, -1.167212e+02, -1.210811e+02
1.530010874073e+03, -1.164866e+02, -1.216691e+02
1.631736134489e+03, -1.165801e+02, -1.220546e+02
1.733461394906e+03, -1.169886e+02, -1.222789e+02
1.835186655323e+03, -1.169654e+02, -1.221485e+02
1.936911915739e+03, -1.171595e+02, -1.213804e+02
2.038637176156e+03, -1.177140e+02, -1.213595e+02
2.140362436573e+03, -1.182616e+02, -1.218371e+02
2.242087696989e+03, -1.176853e+02, -1.218969e+02
2.343812957406e+03, -1.180642e+02, -1.225947e+02
2.445538217823e+03, -1.177218e+02, -1.219118e+02
2.547263478239e+03, -1.179953e+02, -1.219539e+02
2.648988738656e+03, -1.184656e+02, -1.226108e+02
2.750713999073e+03, -1.190686e+02, -1.232852e+02
2.852439259489e+03, -1.184600e+02, -1.238179e+02
2.954164519906e+03, -1.186822e+02, -1.236805e+02
3.055889780323e+03, -1.183722e+02, -1.239004e+02
3.157615040739e+03, -1.188778e+02, -1.229612e+02
3.259340301156e+03, -1.187749e+02, -1.230086e+02
3.361065561573e+03, -1.187921e+02, -1.236963e+02
3.462790821989e+03, -1.193912e+02, -1.241910e+02
3.564516082406e+03, -1.197743e+02, -1.236226e+02
3.666241342823e+03, -1.199368e+02, -1.238944e+02
3.767966603239e+03, -1.196209e+02, -1.234822e+02
3.869691863656e+03, -1.181530e+02, -1.212902e+02
3.971417124073e+03, -1.176980e+02, -1.203245e+02
4.073142384489e+03, -1.182267e+02, -1.208329e+02
4.174867644906e+03, -1.180352e+02, -1.220604e+02
4.276592905323e+03, -1.189056e+02, -1.229422e+02
4.378318165739e+03, -1.192401e+02, -1.233119e+02
4.480043426156e+03, -1.190165e+02, -1.228800e+02
4.581768686573e+03, -1.188714e+02, -1.233175e+02
4.683493946989e+03, -1.191153e+02, -1.228842e+02
4.785219207406e+03, -1.183025e+02, -1.224264e+02
4.886944467823e+03, -1.178394e+02, -1.227761e+02
4.988669728239e+03, -1.185717e+02, -1.240130e+02
5.090394988656e+03, -1.184802e+02, -1.244373e+02
5.192120249073e+03, -1.177564e+02, -1.240786e+02
5.293845509489e+03, -1.177300e+02, -1.231635e+02
5.395570769906e+03, -1.188959e+02, -1.235655e+02
5.497296030323e+03, -1.198220e+02, -1.247452e+02
5.599021290739e+03, -1.196142e+02, -1.257281e+02
5.700746551156e+03, -1.194716e+02, -1.252335e+02
5.802471811573e+03, -1.190557e+02, -1.246554e+02
5.904197071989e+03, -1.182991e+02, -1.250313e+02
6.005922332406e+03, -1.184949e+02, -1.255017e+02
6.107647592823e+03, -1.184746e+02, -1.248534e+02
6.209372853239e+03, -1.187462e+02, -1.257083e+02
6.311098113656e+03, -1.187918e+02, -1.257250e+02
6.412823374073e+03, -1.195516e+02, -1.248566e+02
6.514548634489e+03, -1.195140e+02, -1.239154e+02
6.616273894906e+03, -1.191597e+02, -1.244904e+02
6.717999155323e+03, -1.194376e+02, -1.247712e+02
6.819724415739e+03, -1.187225e+02, -1.243901e+02
6.921449676156e+03, -1.188220e+02, -1.242463e+02
7.023174936573e+03, -1.189478e+02, -1.245747e+02
7.124900196989e+03, -1.187129e+02, -1.256332e+02
7.226625457406e+03, -1.193415e+02, -1.255483e+02
7.328350717823e+03, -1.194198e+02, -1.255456e+02
7.430075978239e+03, -1.198082e+02, -1.247418e+02
7.531801238656e+03, -1.192284e+02, -1.250751e+02
7.633526499073e+03, -1.198590e+02, -1.249553e+02
7.735251759489e+03, -1.204631e+02, -1.253263e+02
7.836977019906e+03, -1.193150e+02, -1.253068e+02
7.938702280323e+03, -1.190068e+02, -1.241347e+02
8.040427540739e+03, -1.189422e+02, -1.235794e+02
8.142152801156e+03, -1.189786e+02, -1.250771e+02
8.243878061573e+03, -1.188984e+02, -1.255615e+02
8.345603321989e+03, -1.193506e+02, -1.256409e+02
8.447328582406e+03, -1.197259e+02, -1.253348e+02
8.549053842823e+03, -1.187486e+02, -1.252675e+02
8.650779103239e+03, -1.187961e+02, -1.252535e+02
8.752504363656e+03, -1.189125e+02, -1.260069e+02
8.854229624073e+03, -1.205979e+02, -1.260976e+02
8.955954884489e+03, -1.205181e+02, -1.264063e+02
9.057680144906e+03, -1.203548e+02, -1.257797e+02
9.159405405323e+03, -1.197179e+02, -1.255299e+02
9.261130665739e+03, -1.198489e+02, -1.258776e+02
9.362855926156e+03, -1.201173e+02, -1.256457e+02
9.464581186573e+03, -1.198164e+02, -1.254128e+02
9.566306446989e+03, -1.192248e+02, -1.251750e+02
9.668031707406e+03, -1.192089e+02, -1.260778e+02
9.769756967823e+03, -1.194440e+02, -1.267905e+02
9.871482228239e+03, -1.196363e+02, -1.269033e+02
9.973207488656e+03, -1.197851e+02, -1.264722e+02
1.007493274907e+04, -1.198274e+02, -1.267129e+02
1.017665800949e+04, -1.190820e+02, -1.280724e+02
1.027838326991e+04, -1.191767e+02, -1.269424e+02
1.038010853032e+04, -1.203166e+02, -1.269480e+02
1.048183379074e+04, -1.201893e+02, -1.274442e+02
1.058355905116e+04, -1.194454e+02, -1.271617e+02
1.068528431157e+04, -1.199408e+02, -1.271232e+02
1.078700957199e+04, -1.206412e+02, -1.267434e+02
1.088873483241e+04, -1.209106e+02, -1.271598e+02
1.099046009282e+04, -1.195531e+02, -1.269986e+02
1.109218535324e+04, -1.191564e+02, -1.265284e+02
1.119391061366e+04, -1.203822e+02, -1.266211e+02
1.129563587407e+04, -1.200481e+02, -1.267345e+02
1.139736113449e+04, -1.196966e+02, -1.271425e+02
1.149908639491e+04, -1.193464e+02, -1.270810e+02
1.160081165532e+04, -1.192229e+02, -1.274656e+02
1.170253691574e+04, -1.194413e+02, -1.273695e+02
1.180426217616e+04, -1.191259e+02, -1.278216e+02
1.190598743657e+04, -1.199754e+02, -1.276212e+02
1.200771269699e+04, -1.195021e+02, -1.273089e+02
1.210943795741e+04, -1.191563e+02, -1.273640e+02
1.221116321782e+04, -1.187340e+02, -1.267713e+02
1.231288847824e+04, -1.194599e+02, -1.269576e+02
1.241461373866e+04, -1.201085e+02, -1.271920e+02
