% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:22:20 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -1.125649e+02, -1.138573e+02
1.085055844178e+02, -1.080273e+02, -1.142271e+02
1.181937044575e+02, -1.042703e+02, -1.140219e+02
1.278818244972e+02, -1.060312e+02, -1.146358e+02
1.375699445369e+02, -1.122701e+02, -1.148830e+02
1.472580645766e+02, -1.141443e+02, -1.151794e+02
1.569461846162e+02, -1.134641e+02, -1.148811e+02
1.666343046559e+02, -1.065871e+02, -1.150875e+02
1.763224246956e+02, -1.012670e+02, -1.157543e+02
1.860105447353e+02, -1.019978e+02, -1.162383e+02
1.956986647750e+02, -1.076095e+02, -1.161581e+02
2.053867848147e+02, -1.141171e+02, -1.161299e+02
2.150749048543e+02, -1.144903e+02, -1.164449e+02
2.247630248940e+02, -1.108634e+02, -1.160072e+02
2.344511449337e+02, -1.050943e+02, -1.159416e+02
2.441392649734e+02, -1.045874e+02, -1.165134e+02
2.538273850131e+02, -1.095063e+02, -1.164840e+02
2.635155050527e+02, -1.153792e+02, -1.168086e+02
2.732036250924e+02, -1.158209e+02, -1.170865e+02
2.828917451321e+02, -1.105204e+02, -1.174130e+02
2.925798651718e+02, -1.026804e+02, -1.167143e+02
3.022679852115e+02, -1.011722e+02, -1.170692e+02
3.119561052512e+02, -1.056899e+02, -1.178278e+02
3.216442252908e+02, -1.143895e+02, -1.181662e+02
3.313323453305e+02, -1.164254e+02, -1.173424e+02
3.410204653702e+02, -1.123278e+02, -1.167894e+02
3.507085854099e+02, -1.040102e+02, -1.174284e+02
3.603967054496e+02, -1.014063e+02, -1.168778e+02
3.700848254893e+02, -1.046599e+02, -1.172202e+02
3.797729455289e+02, -1.129410e+02, -1.170724e+02
3.894610655686e+02, -1.166718e+02, -1.170487e+02
3.991491856083e+02, -1.126554e+02, -1.181112e+02
4.088373056480e+02, -1.019404e+02, -1.184010e+02
4.185254256877e+02, -9.797390e+01, -1.174927e+02
4.282135457274e+02, -9.989716e+01, -1.181291e+02
4.379016657670e+02, -1.079901e+02, -1.182441e+02
4.475897858067e+02, -1.165305e+02, -1.179624e+02
4.572779058464e+02, -1.164143e+02, -1.180862e+02
4.669660258861e+02, -1.105922e+02, -1.191550e+02
4.766541459258e+02, -1.063311e+02, -1.192299e+02
4.863422659654e+02, -1.072783e+02, -1.188238e+02
4.960303860051e+02, -1.139667e+02, -1.188467e+02
5.057185060448e+02, -1.172660e+02, -1.190166e+02
5.154066260845e+02, -1.176027e+02, -1.196159e+02
5.250947461242e+02, -1.129247e+02, -1.195592e+02
5.347828661639e+02, -1.078380e+02, -1.185341e+02
5.444709862035e+02, -1.075730e+02, -1.191876e+02
5.541591062432e+02, -1.124817e+02, -1.187879e+02
5.638472262829e+02, -1.169018e+02, -1.183543e+02
5.735353463226e+02, -1.173610e+02, -1.177414e+02
5.832234663623e+02, -1.155628e+02, -1.191051e+02
5.929115864020e+02, -1.106260e+02, -1.186221e+02
6.025997064416e+02, -1.090282e+02, -1.182227e+02
6.122878264813e+02, -1.133080e+02, -1.186048e+02
6.219759465210e+02, -1.171237e+02, -1.186102e+02
6.316640665607e+02, -1.175525e+02, -1.183352e+02
6.413521866004e+02, -1.127061e+02, -1.183780e+02
6.510403066400e+02, -1.046264e+02, -1.195007e+02
6.607284266797e+02, -1.021705e+02, -1.189949e+02
6.704165467194e+02, -1.054546e+02, -1.189700e+02
6.801046667591e+02, -1.142259e+02, -1.199730e+02
6.897927867988e+02, -1.184072e+02, -1.195762e+02
6.994809068385e+02, -1.189055e+02, -1.185378e+02
7.091690268781e+02, -1.177896e+02, -1.193856e+02
7.188571469178e+02, -1.161442e+02, -1.196633e+02
7.285452669575e+02, -1.163700e+02, -1.190079e+02
7.382333869972e+02, -1.173131e+02, -1.192645e+02
7.479215070369e+02, -1.166577e+02, -1.191888e+02
7.576096270766e+02, -1.157942e+02, -1.197397e+02
7.672977471162e+02, -1.095571e+02, -1.195549e+02
7.769858671559e+02, -1.050675e+02, -1.192488e+02
7.866739871956e+02, -1.059797e+02, -1.198295e+02
7.963621072353e+02, -1.127369e+02, -1.200256e+02
8.060502272750e+02, -1.185457e+02, -1.204178e+02
8.157383473147e+02, -1.188767e+02, -1.207896e+02
8.254264673543e+02, -1.182693e+02, -1.203380e+02
8.351145873940e+02, -1.188949e+02, -1.198319e+02
8.448027074337e+02, -1.182900e+02, -1.193963e+02
8.544908274734e+02, -1.179071e+02, -1.192330e+02
8.641789475131e+02, -1.177776e+02, -1.197399e+02
8.738670675527e+02, -1.193058e+02, -1.200137e+02
8.835551875924e+02, -1.170804e+02, -1.194402e+02
8.932433076321e+02, -1.119678e+02, -1.196348e+02
9.029314276718e+02, -1.102155e+02, -1.195444e+02
9.126195477115e+02, -1.131286e+02, -1.200448e+02
9.223076677512e+02, -1.171541e+02, -1.206263e+02
9.319957877908e+02, -1.180752e+02, -1.204484e+02
9.416839078305e+02, -1.170858e+02, -1.192207e+02
