% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:21:18 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -1.181884e+02, -1.246928e+02
1.021326364328e+04, -1.181926e+02, -1.255826e+02
1.123051624745e+04, -1.180798e+02, -1.262162e+02
1.224776885162e+04, -1.179436e+02, -1.261010e+02
1.326502145578e+04, -1.181424e+02, -1.263982e+02
1.428227405995e+04, -1.184058e+02, -1.269598e+02
1.529952666412e+04, -1.183255e+02, -1.272866e+02
1.631677926828e+04, -1.184079e+02, -1.263928e+02
1.733403187245e+04, -1.187591e+02, -1.235054e+02
1.835128447662e+04, -1.190311e+02, -1.216800e+02
1.936853708078e+04, -1.188261e+02, -1.239762e+02
2.038578968495e+04, -1.184242e+02, -1.273933e+02
2.140304228912e+04, -1.181871e+02, -1.282088e+02
2.242029489328e+04, -1.182893e+02, -1.279442e+02
2.343754749745e+04, -1.183881e+02, -1.272171e+02
2.445480010162e+04, -1.183989e+02, -1.265288e+02
2.547205270578e+04, -1.182502e+02, -1.272866e+02
2.648930530995e+04, -1.181865e+02, -1.280771e+02
2.750655791412e+04, -1.180873e+02, -1.282420e+02
2.852381051828e+04, -1.181424e+02, -1.280962e+02
2.954106312245e+04, -1.181919e+02, -1.281203e+02
3.055831572662e+04, -1.182245e+02, -1.282382e+02
3.157556833078e+04, -1.182818e+02, -1.282918e+02
3.259282093495e+04, -1.181310e+02, -1.285922e+02
3.361007353912e+04, -1.180429e+02, -1.286397e+02
3.462732614328e+04, -1.180170e+02, -1.285924e+02
3.564457874745e+04, -1.182787e+02, -1.286566e+02
3.666183135162e+04, -1.184836e+02, -1.287515e+02
3.767908395578e+04, -1.184014e+02, -1.290179e+02
3.869633655995e+04, -1.182535e+02, -1.291151e+02
3.971358916412e+04, -1.182120e+02, -1.292649e+02
4.073084176828e+04, -1.181553e+02, -1.292656e+02
4.174809437245e+04, -1.178444e+02, -1.291232e+02
4.276534697662e+04, -1.178163e+02, -1.290859e+02
4.378259958078e+04, -1.179645e+02, -1.292978e+02
4.479985218495e+04, -1.181770e+02, -1.295121e+02
4.581710478912e+04, -1.180546e+02, -1.294056e+02
4.683435739328e+04, -1.179761e+02, -1.293415e+02
4.785160999745e+04, -1.180841e+02, -1.297442e+02
4.886886260162e+04, -1.180845e+02, -1.298413e+02
4.988611520578e+04, -1.180840e+02, -1.295169e+02
5.090336780995e+04, -1.180294e+02, -1.292709e+02
5.192062041412e+04, -1.177043e+02, -1.292867e+02
5.293787301828e+04, -1.177601e+02, -1.294607e+02
5.395512562245e+04, -1.178535e+02, -1.294492e+02
5.497237822662e+04, -1.180044e+02, -1.296256e+02
5.598963083078e+04, -1.180755e+02, -1.298744e+02
5.700688343495e+04, -1.180307e+02, -1.298849e+02
5.802413603912e+04, -1.180173e+02, -1.296944e+02
5.904138864328e+04, -1.181379e+02, -1.294825e+02
6.005864124745e+04, -1.180000e+02, -1.295078e+02
6.107589385162e+04, -1.178333e+02, -1.297841e+02
6.209314645578e+04, -1.176466e+02, -1.301361e+02
6.311039905995e+04, -1.175293e+02, -1.301271e+02
6.412765166412e+04, -1.177651e+02, -1.299947e+02
6.514490426828e+04, -1.179721e+02, -1.299938e+02
6.616215687245e+04, -1.179836e+02, -1.300527e+02
6.717940947662e+04, -1.181146e+02, -1.299611e+02
6.819666208078e+04, -1.181218e+02, -1.299747e+02
6.921391468495e+04, -1.180347e+02, -1.300360e+02
7.023116728912e+04, -1.180363e+02, -1.299394e+02
