% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:19:11 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -9.528135e+01, -1.207384e+02
1.021384571989e+03, -9.797835e+01, -1.201877e+02
1.123109832406e+03, -9.886825e+01, -1.199615e+02
1.224835092823e+03, -9.913164e+01, -1.205851e+02
1.326560353239e+03, -1.004619e+02, -1.208491e+02
1.428285613656e+03, -9.979949e+01, -1.212312e+02
1.530010874073e+03, -9.912170e+01, -1.210311e+02
1.631736134489e+03, -9.868316e+01, -1.210545e+02
1.733461394906e+03, -9.867959e+01, -1.217694e+02
1.835186655323e+03, -9.994971e+01, -1.217576e+02
1.936911915739e+03, -1.010490e+02, -1.217432e+02
2.038637176156e+03, -1.007405e+02, -1.224625e+02
2.140362436573e+03, -1.007913e+02, -1.234890e+02
2.242087696989e+03, -1.005704e+02, -1.234762e+02
2.343812957406e+03, -1.003612e+02, -1.225858e+02
2.445538217823e+03, -1.004393e+02, -1.227635e+02
2.547263478239e+03, -1.003599e+02, -1.226766e+02
2.648988738656e+03, -1.005232e+02, -1.230427e+02
2.750713999073e+03, -1.003223e+02, -1.233363e+02
2.852439259489e+03, -1.000690e+02, -1.233630e+02
2.954164519906e+03, -1.000679e+02, -1.231196e+02
3.055889780323e+03, -9.949202e+01, -1.230191e+02
3.157615040739e+03, -9.931774e+01, -1.228442e+02
3.259340301156e+03, -9.923767e+01, -1.227666e+02
3.361065561573e+03, -9.937455e+01, -1.228311e+02
3.462790821989e+03, -9.950335e+01, -1.238595e+02
3.564516082406e+03, -1.006033e+02, -1.239595e+02
3.666241342823e+03, -1.004150e+02, -1.233702e+02
3.767966603239e+03, -8.574112e+01, -1.228206e+02
3.869691863656e+03, -7.503482e+01, -1.222776e+02
3.971417124073e+03, -7.101818e+01, -1.208519e+02
4.073142384489e+03, -7.292682e+01, -1.212798e+02
4.174867644906e+03, -8.117468e+01, -1.241206e+02
4.276592905323e+03, -9.703127e+01, -1.246873e+02
4.378318165739e+03, -1.011858e+02, -1.246472e+02
4.480043426156e+03, -1.003872e+02, -1.245338e+02
4.581768686573e+03, -1.002288e+02, -1.248966e+02
4.683493946989e+03, -9.992258e+01, -1.254022e+02
4.785219207406e+03, -9.963035e+01, -1.240890e+02
4.886944467823e+03, -1.006955e+02, -1.234364e+02
4.988669728239e+03, -1.012132e+02, -1.240467e+02
5.090394988656e+03, -1.000533e+02, -1.240702e+02
5.192120249073e+03, -1.000780e+02, -1.238818e+02
5.293845509489e+03, -1.003478e+02, -1.245705e+02
5.395570769906e+03, -1.008935e+02, -1.243296e+02
5.497296030323e+03, -1.004111e+02, -1.241184e+02
5.599021290739e+03, -1.008456e+02, -1.240736e+02
5.700746551156e+03, -1.013365e+02, -1.244501e+02
5.802471811573e+03, -1.007266e+02, -1.232244e+02
5.904197071989e+03, -1.009445e+02, -1.242310e+02
6.005922332406e+03, -1.009897e+02, -1.252394e+02
6.107647592823e+03, -1.009466e+02, -1.253438e+02
6.209372853239e+03, -1.005019e+02, -1.257495e+02
6.311098113656e+03, -1.009684e+02, -1.253443e+02
6.412823374073e+03, -1.008695e+02, -1.253303e+02
6.514548634489e+03, -1.007492e+02, -1.251945e+02
6.616273894906e+03, -1.013090e+02, -1.254234e+02
6.717999155323e+03, -1.013923e+02, -1.243398e+02
6.819724415739e+03, -1.011588e+02, -1.248240e+02
6.921449676156e+03, -1.007802e+02, -1.256877e+02
7.023174936573e+03, -1.007299e+02, -1.254316e+02
7.124900196989e+03, -1.010862e+02, -1.258321e+02
7.226625457406e+03, -1.008512e+02, -1.260304e+02
7.328350717823e+03, -1.001056e+02, -1.259653e+02
7.430075978239e+03, -9.958496e+01, -1.253511e+02
7.531801238656e+03, -1.000917e+02, -1.250612e+02
7.633526499073e+03, -1.002029e+02, -1.245788e+02
7.735251759489e+03, -9.856086e+01, -1.245813e+02
7.836977019906e+03, -9.116748e+01, -1.239013e+02
7.938702280323e+03, -8.595807e+01, -1.239283e+02
8.040427540739e+03, -8.665130e+01, -1.242580e+02
8.142152801156e+03, -9.331470e+01, -1.261260e+02
8.243878061573e+03, -1.004596e+02, -1.263832e+02
8.345603321989e+03, -1.007920e+02, -1.268265e+02
8.447328582406e+03, -1.013483e+02, -1.271848e+02
8.549053842823e+03, -1.010750e+02, -1.268522e+02
8.650779103239e+03, -9.990138e+01, -1.263517e+02
8.752504363656e+03, -9.983389e+01, -1.260701e+02
8.854229624073e+03, -1.004743e+02, -1.265227e+02
8.955954884489e+03, -1.000834e+02, -1.257790e+02
9.057680144906e+03, -1.001186e+02, -1.257459e+02
9.159405405323e+03, -1.009218e+02, -1.263133e+02
9.261130665739e+03, -1.003410e+02, -1.258119e+02
9.362855926156e+03, -1.011575e+02, -1.265838e+02
9.464581186573e+03, -1.016677e+02, -1.257263e+02
9.566306446989e+03, -1.018632e+02, -1.260597e+02
9.668031707406e+03, -1.005671e+02, -1.271124e+02
9.769756967823e+03, -1.000806e+02, -1.267071e+02
9.871482228239e+03, -9.947528e+01, -1.258100e+02
9.973207488656e+03, -9.980680e+01, -1.260552e+02
1.007493274907e+04, -1.007012e+02, -1.260362e+02
1.017665800949e+04, -1.010016e+02, -1.256902e+02
1.027838326991e+04, -1.002478e+02, -1.260033e+02
1.038010853032e+04, -1.001822e+02, -1.257949e+02
1.048183379074e+04, -1.008625e+02, -1.262701e+02
1.058355905116e+04, -9.967070e+01, -1.264946e+02
1.068528431157e+04, -9.989162e+01, -1.269909e+02
1.078700957199e+04, -1.006756e+02, -1.262267e+02
1.088873483241e+04, -1.010726e+02, -1.257893e+02
1.099046009282e+04, -1.012115e+02, -1.258214e+02
1.109218535324e+04, -9.957278e+01, -1.262043e+02
1.119391061366e+04, -9.988529e+01, -1.256934e+02
1.129563587407e+04, -1.007306e+02, -1.263105e+02
1.139736113449e+04, -1.013372e+02, -1.273278e+02
1.149908639491e+04, -1.014724e+02, -1.271986e+02
1.160081165532e+04, -1.003579e+02, -1.276850e+02
1.170253691574e+04, -1.006548e+02, -1.269926e+02
1.180426217616e+04, -1.002656e+02, -1.272173e+02
1.190598743657e+04, -9.986543e+01, -1.275658e+02
1.200771269699e+04, -9.985496e+01, -1.273378e+02
1.210943795741e+04, -1.005772e+02, -1.273393e+02
1.221116321782e+04, -1.001555e+02, -1.267541e+02
1.231288847824e+04, -1.002364e+02, -1.260165e+02
1.241461373866e+04, -1.010502e+02, -1.266466e+02
1.251633899907e+04, -1.004634e+02, -1.269169e+02
1.261806425949e+04, -1.002297e+02, -1.270652e+02
1.271978951991e+04, -1.008398e+02, -1.276595e+02
1.282151478032e+04, -1.014890e+02, -1.277637e+02
1.292324004074e+04, -1.005252e+02, -1.280258e+02
1.302496530116e+04, -1.000523e+02, -1.270449e+02
1.312669056157e+04, -1.002387e+02, -1.272639e+02
1.322841582199e+04, -1.001126e+02, -1.274022e+02
1.333014108241e+04, -1.005631e+02, -1.275671e+02
1.343186634282e+04, -1.007952e+02, -1.275273e+02
1.353359160324e+04, -9.980469e+01, -1.276845e+02
1.363531686366e+04, -1.001007e+02, -1.281752e+02
1.373704212407e+04, -9.996199e+01, -1.282597e+02
1.383876738449e+04, -1.000155e+02, -1.283626e+02
1.394049264491e+04, -9.998512e+01, -1.281195e+02
1.404221790532e+04, -9.986853e+01, -1.284717e+02
1.414394316574e+04, -1.005946e+02, -1.280021e+02
1.424566842616e+04, -1.008196e+02, -1.278708e+02
1.434739368657e+04, -1.003216e+02, -1.277543e+02
1.444911894699e+04, -1.002173e+02, -1.280133e+02
1.455084420741e+04, -1.015055e+02, -1.283520e+02
1.465256946782e+04, -1.007644e+02, -1.286602e+02
1.475429472824e+04, -1.013780e+02, -1.287203e+02
1.485601998866e+04, -1.013497e+02, -1.286167e+02
1.495774524907e+04, -1.007839e+02, -1.285358e+02
1.505947050949e+04, -1.002549e+02, -1.286660e+02
1.516119576991e+04, -1.004363e+02, -1.287287e+02
1.526292103032e+04, -1.003839e+02, -1.290213e+02
1.536464629074e+04, -1.004642e+02, -1.295338e+02
1.546637155116e+04, -1.002416e+02, -1.286551e+02
1.556809681157e+04, -9.995794e+01, -1.286882e+02
1.566982207199e+04, -9.977025e+01, -1.280873e+02
1.577154733241e+04, -9.546564e+01, -1.280480e+02
1.587327259282e+04, -8.795485e+01, -1.278348e+02
1.597499785324e+04, -8.611962e+01, -1.279903e+02
1.607672311366e+04, -9.008783e+01, -1.277713e+02
1.617844837407e+04, -9.843177e+01, -1.275860e+02
1.628017363449e+04, -1.009553e+02, -1.285182e+02
1.638189889491e+04, -1.019089e+02, -1.289388e+02
1.648362415532e+04, -1.020234e+02, -1.289341e+02
1.658534941574e+04, -1.006440e+02, -1.290359e+02
1.668707467616e+04, -1.011926e+02, -1.280250e+02
1.678879993657e+04, -1.003208e+02, -1.281294e+02
1.689052519699e+04, -1.001520e+02, -1.276058e+02
1.699225045741e+04, -1.002955e+02, -1.274765e+02
1.709397571782e+04, -1.009555e+02, -1.263417e+02
1.719570097824e+04, -9.995880e+01, -1.272392e+02
1.729742623866e+04, -9.980027e+01, -1.289763e+02
1.739915149907e+04, -1.001286e+02, -1.287776e+02
1.750087675949e+04, -9.920180e+01, -1.279219e+02
1.760260201991e+04, -9.915411e+01, -1.281154e+02
1.770432728032e+04, -9.999111e+01, -1.290409e+02
1.780605254074e+04, -1.007251e+02, -1.293174e+02
1.790777780116e+04, -1.005335e+02, -1.282457e+02
1.800950306157e+04, -1.001208e+02, -1.270292e+02
1.811122832199e+04, -1.001924e+02, -1.224723e+02
1.821295358241e+04, -1.008176e+02, -1.174873e+02
1.831467884282e+04, -1.006569e+02, -1.143633e+02
1.841640410324e+04, -1.017153e+02, -1.160482e+02
1.851812936366e+04, -1.010192e+02, -1.220133e+02
1.861985462407e+04, -9.994736e+01, -1.277229e+02
1.872157988449e+04, -1.000176e+02, -1.287648e+02
1.882330514491e+04, -9.980066e+01, -1.287241e+02
1.892503040532e+04, -9.977254e+01, -1.285130e+02
1.902675566574e+04, -9.992504e+01, -1.283267e+02
1.912848092616e+04, -9.980990e+01, -1.290123e+02
1.923020618657e+04, -1.000199e+02, -1.294715e+02
1.933193144699e+04, -1.009868e+02, -1.288032e+02
1.943365670741e+04, -1.012760e+02, -1.290473e+02
1.953538196782e+04, -1.008946e+02, -1.283349e+02
1.963710722824e+04, -1.008100e+02, -1.285806e+02
1.973883248866e+04, -9.938464e+01, -1.292978e+02
1.984055774907e+04, -9.157524e+01, -1.282995e+02
1.994228300949e+04, -8.846997e+01, -1.277886e+02
2.004400826991e+04, -9.119230e+01, -1.281006e+02
2.014573353032e+04, -9.837557e+01, -1.288763e+02
2.024745879074e+04, -1.001233e+02, -1.295219e+02
2.034918405116e+04, -1.006572e+02, -1.297181e+02
2.045090931157e+04, -1.000711e+02, -1.293236e+02
2.055263457199e+04, -1.004465e+02, -1.298516e+02
2.065435983241e+04, -1.002944e+02, -1.307174e+02
2.075608509282e+04, -9.977841e+01, -1.301920e+02
2.085781035324e+04, -1.002965e+02, -1.296515e+02
2.095953561366e+04, -1.005197e+02, -1.293831e+02
2.106126087407e+04, -1.010126e+02, -1.294118e+02
2.116298613449e+04, -1.008089e+02, -1.293444e+02
2.126471139491e+04, -9.999124e+01, -1.294656e+02
2.136643665532e+04, -9.983719e+01, -1.295475e+02
2.146816191574e+04, -1.001470e+02, -1.301513e+02
2.156988717616e+04, -1.001881e+02, -1.293199e+02
2.167161243657e+04, -1.005271e+02, -1.288055e+02
2.177333769699e+04, -1.007652e+02, -1.284904e+02
2.187506295741e+04, -1.016205e+02, -1.296094e+02
2.197678821782e+04, -1.005880e+02, -1.291410e+02
2.207851347824e+04, -1.000366e+02, -1.288337e+02
2.218023873866e+04, -1.007086e+02, -1.292871e+02
2.228196399907e+04, -9.984635e+01, -1.292772e+02
2.238368925949e+04, -9.975065e+01, -1.294701e+02
2.248541451991e+04, -9.987757e+01, -1.293888e+02
2.258713978032e+04, -1.003398e+02, -1.291571e+02
2.268886504074e+04, -1.007756e+02, -1.291621e+02
2.279059030116e+04, -1.012930e+02, -1.294198e+02
2.289231556157e+04, -1.011486e+02, -1.296273e+02
2.299404082199e+04, -1.012708e+02, -1.291945e+02
2.309576608241e+04, -1.004032e+02, -1.287501e+02
2.319749134282e+04, -1.002228e+02, -1.292040e+02
2.329921660324e+04, -1.001646e+02, -1.295929e+02
2.340094186366e+04, -1.001316e+02, -1.302997e+02
2.350266712407e+04, -9.999612e+01, -1.295618e+02
2.360439238449e+04, -1.010140e+02, -1.296091e+02
2.370611764491e+04, -1.008539e+02, -1.294243e+02
2.380784290532e+04, -1.005520e+02, -1.295443e+02
2.390956816574e+04, -9.923399e+01, -1.298924e+02
2.401129342616e+04, -1.001324e+02, -1.299997e+02
2.411301868657e+04, -1.005863e+02, -1.287648e+02
2.421474394699e+04, -1.002017e+02, -1.279273e+02
2.431646920741e+04, -1.013549e+02, -1.256359e+02
2.441819446782e+04, -1.010957e+02, -1.229526e+02
2.451991972824e+04, -1.018603e+02, -1.239130e+02
2.462164498866e+04, -1.013790e+02, -1.267785e+02
2.472337024907e+04, -1.004308e+02, -1.280351e+02
2.482509550949e+04, -1.008982e+02, -1.281717e+02
2.492682076991e+04, -1.003552e+02, -1.290839e+02
2.502854603032e+04, -1.002569e+02, -1.298894e+02
2.513027129074e+04, -1.007179e+02, -1.297567e+02
2.523199655116e+04, -1.006662e+02, -1.292150e+02
2.533372181157e+04, -1.000894e+02, -1.286445e+02
2.543544707199e+04, -9.990378e+01, -1.283483e+02
2.553717233241e+04, -1.000122e+02, -1.279789e+02
2.563889759282e+04, -1.000503e+02, -1.270680e+02
2.574062285324e+04, -1.003928e+02, -1.278067e+02
2.584234811366e+04, -1.003339e+02, -1.293567e+02
2.594407337407e+04, -1.006437e+02, -1.295852e+02
2.604579863449e+04, -1.003452e+02, -1.284008e+02
2.614752389491e+04, -1.004757e+02, -1.290788e+02
2.624924915532e+04, -9.965460e+01, -1.294825e+02
2.635097441574e+04, -9.993744e+01, -1.305207e+02
2.645269967616e+04, -9.941112e+01, -1.295585e+02
2.655442493657e+04, -1.002507e+02, -1.290824e+02
2.665615019699e+04, -1.004378e+02, -1.291452e+02
2.675787545741e+04, -1.008547e+02, -1.293616e+02
2.685960071782e+04, -1.004189e+02, -1.282927e+02
2.696132597824e+04, -1.004517e+02, -1.287280e+02
2.706305123866e+04, -1.007737e+02, -1.294892e+02
2.716477649907e+04, -1.005520e+02, -1.298900e+02
2.726650175949e+04, -1.004288e+02, -1.289978e+02
2.736822701991e+04, -1.010241e+02, -1.294002e+02
2.746995228032e+04, -1.012989e+02, -1.296846e+02
2.757167754074e+04, -1.005368e+02, -1.295200e+02
2.767340280116e+04, -1.004202e+02, -1.293531e+02
2.777512806157e+04, -9.435621e+01, -1.292219e+02
2.787685332199e+04, -8.854460e+01, -1.298937e+02
2.797857858241e+04, -8.839907e+01, -1.284181e+02
2.808030384282e+04, -9.411247e+01, -1.269486e+02
2.818202910324e+04, -9.980844e+01, -1.274946e+02
2.828375436366e+04, -1.008496e+02, -1.293681e+02
2.838547962407e+04, -1.012157e+02, -1.302663e+02
2.848720488449e+04, -1.020275e+02, -1.301789e+02
2.858893014491e+04, -1.010560e+02, -1.297768e+02
2.869065540532e+04, -1.007081e+02, -1.308950e+02
2.879238066574e+04, -1.003893e+02, -1.300994e+02
2.889410592616e+04, -1.004272e+02, -1.289660e+02
2.899583118657e+04, -1.005112e+02, -1.290695e+02
2.909755644699e+04, -1.007182e+02, -1.305354e+02
2.919928170741e+04, -1.002227e+02, -1.301287e+02
2.930100696782e+04, -1.001662e+02, -1.289989e+02
2.940273222824e+04, -1.006293e+02, -1.285562e+02
2.950445748866e+04, -1.011849e+02, -1.279567e+02
2.960618274907e+04, -1.015463e+02, -1.282156e+02
