% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-05 T 14:18:41 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -6.467135e+01, -1.134230e+02
1.085055844178e+02, -6.267852e+01, -1.137357e+02
1.181937044575e+02, -5.818339e+01, -1.145572e+02
1.278818244972e+02, -5.988231e+01, -1.146107e+02
1.375699445369e+02, -6.635630e+01, -1.139722e+02
1.472580645766e+02, -6.669917e+01, -1.143309e+02
1.569461846162e+02, -6.558819e+01, -1.154261e+02
1.666343046559e+02, -6.631949e+01, -1.151745e+02
1.763224246956e+02, -6.511091e+01, -1.160345e+02
1.860105447353e+02, -6.221920e+01, -1.161100e+02
1.956986647750e+02, -6.262090e+01, -1.160551e+02
2.053867848147e+02, -6.620665e+01, -1.165254e+02
2.150749048543e+02, -6.578372e+01, -1.164372e+02
2.247630248940e+02, -6.402068e+01, -1.153390e+02
2.344511449337e+02, -6.252739e+01, -1.151836e+02
2.441392649734e+02, -6.372711e+01, -1.159501e+02
2.538273850131e+02, -6.542565e+01, -1.159772e+02
2.635155050527e+02, -6.407314e+01, -1.166301e+02
2.732036250924e+02, -6.101012e+01, -1.168469e+02
2.828917451321e+02, -6.112415e+01, -1.170893e+02
2.925798651718e+02, -6.148535e+01, -1.171005e+02
3.022679852115e+02, -5.544819e+01, -1.167033e+02
3.119561052512e+02, -5.340088e+01, -1.159298e+02
3.216442252908e+02, -5.631403e+01, -1.162109e+02
3.313323453305e+02, -6.318572e+01, -1.171269e+02
3.410204653702e+02, -6.349370e+01, -1.177665e+02
3.507085854099e+02, -6.374999e+01, -1.179324e+02
3.603967054496e+02, -6.577087e+01, -1.184324e+02
3.700848254893e+02, -6.831528e+01, -1.187637e+02
3.797729455289e+02, -6.686762e+01, -1.181441e+02
3.894610655686e+02, -6.560565e+01, -1.177863e+02
3.991491856083e+02, -6.720924e+01, -1.175628e+02
4.088373056480e+02, -6.934143e+01, -1.178510e+02
4.185254256877e+02, -6.930452e+01, -1.178886e+02
4.282135457274e+02, -6.604083e+01, -1.179618e+02
4.379016657670e+02, -6.623159e+01, -1.182448e+02
4.475897858067e+02, -6.995379e+01, -1.186327e+02
4.572779058464e+02, -6.639979e+01, -1.182185e+02
4.669660258861e+02, -6.444029e+01, -1.183317e+02
4.766541459258e+02, -6.709252e+01, -1.177314e+02
4.863422659654e+02, -7.333655e+01, -1.182126e+02
4.960303860051e+02, -7.603199e+01, -1.192170e+02
5.057185060448e+02, -7.786532e+01, -1.202992e+02
5.154066260845e+02, -7.944195e+01, -1.200073e+02
5.250947461242e+02, -8.144345e+01, -1.195259e+02
5.347828661639e+02, -8.284813e+01, -1.186663e+02
5.444709862035e+02, -8.217044e+01, -1.184463e+02
5.541591062432e+02, -8.341330e+01, -1.182077e+02
5.638472262829e+02, -8.379923e+01, -1.181623e+02
5.735353463226e+02, -8.463244e+01, -1.188741e+02
5.832234663623e+02, -8.306922e+01, -1.180439e+02
5.929115864020e+02, -8.328003e+01, -1.182955e+02
6.025997064416e+02, -8.577244e+01, -1.184916e+02
6.122878264813e+02, -8.651152e+01, -1.182832e+02
6.219759465210e+02, -8.735923e+01, -1.190063e+02
6.316640665607e+02, -8.808944e+01, -1.191451e+02
6.413521866004e+02, -8.874874e+01, -1.195059e+02
6.510403066400e+02, -8.924297e+01, -1.193725e+02
6.607284266797e+02, -8.878536e+01, -1.190557e+02
6.704165467194e+02, -8.904847e+01, -1.185127e+02
6.801046667591e+02, -8.969064e+01, -1.194162e+02
6.897927867988e+02, -8.678121e+01, -1.192261e+02
6.994809068385e+02, -8.427729e+01, -1.185891e+02
7.091690268781e+02, -8.578022e+01, -1.194738e+02
7.188571469178e+02, -8.845360e+01, -1.187325e+02
7.285452669575e+02, -8.895814e+01, -1.190398e+02
7.382333869972e+02, -9.022292e+01, -1.190218e+02
7.479215070369e+02, -9.131291e+01, -1.192878e+02
7.576096270766e+02, -9.186540e+01, -1.198303e+02
7.672977471162e+02, -8.978400e+01, -1.194107e+02
7.769858671559e+02, -8.838072e+01, -1.198214e+02
7.866739871956e+02, -9.013092e+01, -1.194474e+02
7.963621072353e+02, -9.346952e+01, -1.200106e+02
8.060502272750e+02, -9.382712e+01, -1.197275e+02
8.157383473147e+02, -9.394495e+01, -1.195363e+02
8.254264673543e+02, -9.366144e+01, -1.200260e+02
8.351145873940e+02, -9.421565e+01, -1.202535e+02
8.448027074337e+02, -9.433205e+01, -1.194166e+02
8.544908274734e+02, -9.322814e+01, -1.196624e+02
8.641789475131e+02, -9.380901e+01, -1.190099e+02
8.738670675527e+02, -9.551409e+01, -1.189840e+02
8.835551875924e+02, -9.578655e+01, -1.191259e+02
8.932433076321e+02, -9.589897e+01, -1.197830e+02
9.029314276718e+02, -9.592792e+01, -1.194120e+02
9.126195477115e+02, -9.709945e+01, -1.199621e+02
9.223076677512e+02, -9.587509e+01, -1.200085e+02
9.319957877908e+02, -9.528241e+01, -1.194401e+02
9.416839078305e+02, -9.484930e+01, -1.193638e+02
9.513720278702e+02, -9.498736e+01, -1.187497e+02
9.610601479099e+02, -9.431552e+01, -1.193949e+02
9.707482679496e+02, -9.525952e+01, -1.200271e+02
9.804363879893e+02, -9.612575e+01, -1.199924e+02
9.901245080289e+02, -9.662213e+01, -1.193152e+02
9.998126280686e+02, -9.780032e+01, -1.188789e+02
1.009500748108e+03, -9.723627e+01, -1.187885e+02
1.019188868148e+03, -9.833186e+01, -1.193188e+02
1.028876988188e+03, -9.825865e+01, -1.191405e+02
1.038565108227e+03, -9.905780e+01, -1.197152e+02
1.048253228267e+03, -9.827402e+01, -1.201134e+02
1.057941348307e+03, -9.796684e+01, -1.200797e+02
1.067629468346e+03, -9.858350e+01, -1.198224e+02
1.077317588386e+03, -9.837433e+01, -1.194055e+02
1.087005708426e+03, -9.893474e+01, -1.192729e+02
1.096693828465e+03, -9.861754e+01, -1.200349e+02
1.106381948505e+03, -9.827170e+01, -1.202341e+02
1.116070068545e+03, -9.811234e+01, -1.200821e+02
1.125758188584e+03, -9.885085e+01, -1.200040e+02
1.135446308624e+03, -9.970181e+01, -1.197439e+02
1.145134428664e+03, -9.859890e+01, -1.198271e+02
1.154822548704e+03, -9.909208e+01, -1.209562e+02
1.164510668743e+03, -9.986448e+01, -1.206824e+02
1.174198788783e+03, -1.005636e+02, -1.203672e+02
1.183886908823e+03, -9.990948e+01, -1.198314e+02
1.193575028862e+03, -1.005471e+02, -1.201912e+02
1.203263148902e+03, -9.996981e+01, -1.202126e+02
1.212951268942e+03, -9.974734e+01, -1.199857e+02
1.222639388981e+03, -9.938303e+01, -1.206571e+02
1.232327509021e+03, -9.959685e+01, -1.206938e+02
1.242015629061e+03, -1.004933e+02, -1.205060e+02
1.251703749100e+03, -9.970423e+01, -1.201296e+02
1.261391869140e+03, -9.970839e+01, -1.198490e+02
1.271079989180e+03, -9.999658e+01, -1.201529e+02
1.280768109219e+03, -1.002934e+02, -1.208442e+02
1.290456229259e+03, -1.009914e+02, -1.207484e+02
1.300144349299e+03, -1.012244e+02, -1.216080e+02
1.309832469338e+03, -1.002411e+02, -1.204764e+02
1.319520589378e+03, -9.993786e+01, -1.199461e+02
1.329208709418e+03, -9.976475e+01, -1.207990e+02
1.338896829458e+03, -1.002352e+02, -1.206146e+02
1.348584949497e+03, -1.006132e+02, -1.208285e+02
1.358273069537e+03, -1.000679e+02, -1.206241e+02
1.367961189577e+03, -9.939866e+01, -1.200559e+02
1.377649309616e+03, -1.001286e+02, -1.195081e+02
1.387337429656e+03, -9.993383e+01, -1.200691e+02
1.397025549696e+03, -1.006084e+02, -1.203797e+02
1.406713669735e+03, -1.004070e+02, -1.207039e+02
1.416401789775e+03, -9.974656e+01, -1.198405e+02
1.426089909815e+03, -1.000562e+02, -1.199715e+02
1.435778029854e+03, -1.007879e+02, -1.203303e+02
1.445466149894e+03, -1.001939e+02, -1.207831e+02
1.455154269934e+03, -9.972190e+01, -1.209042e+02
1.464842389973e+03, -9.967665e+01, -1.209934e+02
1.474530510013e+03, -9.891960e+01, -1.209589e+02
1.484218630053e+03, -9.907085e+01, -1.211799e+02
1.493906750092e+03, -1.004305e+02, -1.204405e+02
1.503594870132e+03, -1.006733e+02, -1.199168e+02
1.513282990172e+03, -1.004718e+02, -1.203575e+02
1.522971110211e+03, -1.000852e+02, -1.212382e+02
1.532659230251e+03, -1.010252e+02, -1.212089e+02
1.542347350291e+03, -1.009066e+02, -1.215003e+02
1.552035470331e+03, -1.007058e+02, -1.215322e+02
1.561723590370e+03, -1.003907e+02, -1.209237e+02
1.571411710410e+03, -9.998844e+01, -1.212461e+02
1.581099830450e+03, -9.994104e+01, -1.212380e+02
1.590787950489e+03, -1.008538e+02, -1.213130e+02
1.600476070529e+03, -1.005803e+02, -1.200896e+02
1.610164190569e+03, -9.998035e+01, -1.206382e+02
1.619852310608e+03, -9.953141e+01, -1.199775e+02
1.629540430648e+03, -1.004110e+02, -1.196856e+02
1.639228550688e+03, -1.001008e+02, -1.203393e+02
1.648916670727e+03, -1.000188e+02, -1.213011e+02
