% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:46:13 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -7.763366e+01, -1.208386e+02
1.021384571989e+03, -7.870128e+01, -1.212943e+02
1.123109832406e+03, -7.941827e+01, -1.215256e+02
1.224835092823e+03, -7.914199e+01, -1.205772e+02
1.326560353239e+03, -7.960258e+01, -1.209133e+02
1.428285613656e+03, -7.939045e+01, -1.210628e+02
1.530010874073e+03, -8.031349e+01, -1.215731e+02
1.631736134489e+03, -8.121131e+01, -1.217640e+02
1.733461394906e+03, -8.121075e+01, -1.216255e+02
1.835186655323e+03, -8.127279e+01, -1.220685e+02
1.936911915739e+03, -8.132514e+01, -1.213153e+02
2.038637176156e+03, -8.210131e+01, -1.220442e+02
2.140362436573e+03, -8.296693e+01, -1.216902e+02
2.242087696989e+03, -8.282773e+01, -1.213122e+02
2.343812957406e+03, -8.245757e+01, -1.212914e+02
2.445538217823e+03, -8.172913e+01, -1.216564e+02
2.547263478239e+03, -8.286986e+01, -1.221486e+02
2.648988738656e+03, -8.354877e+01, -1.228426e+02
2.750713999073e+03, -8.400852e+01, -1.224174e+02
2.852439259489e+03, -8.410017e+01, -1.225320e+02
2.954164519906e+03, -8.437478e+01, -1.223856e+02
3.055889780323e+03, -8.435251e+01, -1.221015e+02
3.157615040739e+03, -8.416247e+01, -1.220259e+02
3.259340301156e+03, -8.437084e+01, -1.215838e+02
3.361065561573e+03, -8.454867e+01, -1.223989e+02
3.462790821989e+03, -8.487810e+01, -1.223830e+02
3.564516082406e+03, -8.475162e+01, -1.226713e+02
3.666241342823e+03, -8.592441e+01, -1.225302e+02
3.767966603239e+03, -8.539230e+01, -1.230136e+02
3.869691863656e+03, -8.530834e+01, -1.228318e+02
3.971417124073e+03, -8.588766e+01, -1.235356e+02
4.073142384489e+03, -8.705214e+01, -1.233283e+02
4.174867644906e+03, -8.775356e+01, -1.230171e+02
