% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:45:53 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -6.346780e+01, -1.137981e+02
1.085055844178e+02, -6.645655e+01, -1.140940e+02
1.181937044575e+02, -6.541516e+01, -1.138573e+02
1.278818244972e+02, -6.443471e+01, -1.132565e+02
1.375699445369e+02, -6.556899e+01, -1.131918e+02
1.472580645766e+02, -6.223556e+01, -1.140221e+02
1.569461846162e+02, -5.679711e+01, -1.153646e+02
1.666343046559e+02, -5.643556e+01, -1.153488e+02
1.763224246956e+02, -6.165059e+01, -1.157878e+02
1.860105447353e+02, -6.701238e+01, -1.151577e+02
1.956986647750e+02, -6.820134e+01, -1.155056e+02
2.053867848147e+02, -6.973357e+01, -1.149302e+02
2.150749048543e+02, -7.070201e+01, -1.151740e+02
2.247630248940e+02, -7.129197e+01, -1.153446e+02
2.344511449337e+02, -6.871823e+01, -1.155099e+02
2.441392649734e+02, -6.699396e+01, -1.153080e+02
2.538273850131e+02, -6.970850e+01, -1.153503e+02
2.635155050527e+02, -7.364740e+01, -1.155591e+02
2.732036250924e+02, -7.310119e+01, -1.165024e+02
2.828917451321e+02, -7.292957e+01, -1.157525e+02
2.925798651718e+02, -7.402217e+01, -1.154899e+02
3.022679852115e+02, -7.445825e+01, -1.159494e+02
3.119561052512e+02, -7.480198e+01, -1.163365e+02
3.216442252908e+02, -7.376163e+01, -1.162799e+02
3.313323453305e+02, -7.380572e+01, -1.175995e+02
3.410204653702e+02, -7.416582e+01, -1.174554e+02
3.507085854099e+02, -7.510922e+01, -1.174783e+02
3.603967054496e+02, -7.568137e+01, -1.175125e+02
3.700848254893e+02, -7.636965e+01, -1.165899e+02
3.797729455289e+02, -7.586708e+01, -1.164084e+02
3.894610655686e+02, -7.518056e+01, -1.161330e+02
3.991491856083e+02, -7.670530e+01, -1.168424e+02
4.088373056480e+02, -7.614445e+01, -1.175653e+02
4.185254256877e+02, -7.549923e+01, -1.175861e+02
4.282135457274e+02, -7.420322e+01, -1.168921e+02
4.379016657670e+02, -7.465562e+01, -1.173542e+02
4.475897858067e+02, -7.566941e+01, -1.172855e+02
4.572779058464e+02, -7.615374e+01, -1.177357e+02
4.669660258861e+02, -7.587450e+01, -1.181300e+02
4.766541459258e+02, -7.485126e+01, -1.179188e+02
