% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:47:04 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -8.962386e+01, -1.248714e+02
1.021326364328e+04, -9.009395e+01, -1.255028e+02
1.123051624745e+04, -9.074810e+01, -1.258580e+02
1.224776885162e+04, -9.151062e+01, -1.260045e+02
1.326502145578e+04, -9.168338e+01, -1.262835e+02
1.428227405995e+04, -9.190791e+01, -1.267456e+02
1.529952666412e+04, -9.217487e+01, -1.272223e+02
1.631677926828e+04, -9.253394e+01, -1.271104e+02
1.733403187245e+04, -9.278199e+01, -1.254996e+02
1.835128447662e+04, -9.300884e+01, -1.223993e+02
1.936853708078e+04, -9.323133e+01, -1.227570e+02
2.038578968495e+04, -9.337792e+01, -1.261871e+02
2.140304228912e+04, -9.357068e+01, -1.277457e+02
2.242029489328e+04, -9.390177e+01, -1.277619e+02
2.343754749745e+04, -9.400091e+01, -1.270825e+02
2.445480010162e+04, -9.426023e+01, -1.267817e+02
2.547205270578e+04, -9.429424e+01, -1.274305e+02
2.648930530995e+04, -9.455169e+01, -1.278446e+02
2.750655791412e+04, -9.468082e+01, -1.280713e+02
2.852381051828e+04, -9.468749e+01, -1.282768e+02
2.954106312245e+04, -9.479080e+01, -1.285650e+02
3.055831572662e+04, -9.500317e+01, -1.284777e+02
3.157556833078e+04, -9.515920e+01, -1.283530e+02
3.259282093495e+04, -9.553115e+01, -1.283893e+02
3.361007353912e+04, -9.572187e+01, -1.283076e+02
3.462732614328e+04, -9.553287e+01, -1.283751e+02
3.564457874745e+04, -9.543289e+01, -1.284866e+02
3.666183135162e+04, -9.539731e+01, -1.287836e+02
3.767908395578e+04, -9.540994e+01, -1.288043e+02
3.869633655995e+04, -9.558021e+01, -1.291225e+02
3.971358916412e+04, -9.571965e+01, -1.292929e+02
4.073084176828e+04, -9.565548e+01, -1.289917e+02
4.174809437245e+04, -9.566067e+01, -1.285691e+02
4.276534697662e+04, -9.575522e+01, -1.286517e+02
4.378259958078e+04, -9.582661e+01, -1.290321e+02
4.479985218495e+04, -9.576989e+01, -1.292675e+02
4.581710478912e+04, -9.584633e+01, -1.291042e+02
4.683435739328e+04, -9.597946e+01, -1.289094e+02
4.785160999745e+04, -9.590259e+01, -1.290549e+02
4.886886260162e+04, -9.597722e+01, -1.292827e+02
4.988611520578e+04, -9.599827e+01, -1.294616e+02
5.090336780995e+04, -9.600553e+01, -1.294941e+02
5.192062041412e+04, -9.624724e+01, -1.296556e+02
5.293787301828e+04, -9.633484e+01, -1.296941e+02
