% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:53:19 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -1.221386e+02, -1.202856e+02
1.021384571989e+03, -1.228992e+02, -1.204970e+02
1.123109832406e+03, -1.239280e+02, -1.203059e+02
1.224835092823e+03, -1.242815e+02, -1.205305e+02
1.326560353239e+03, -1.239797e+02, -1.217602e+02
1.428285613656e+03, -1.239767e+02, -1.219914e+02
1.530010874073e+03, -1.246332e+02, -1.210703e+02
1.631736134489e+03, -1.253714e+02, -1.213961e+02
1.733461394906e+03, -1.249686e+02, -1.216001e+02
1.835186655323e+03, -1.252560e+02, -1.214999e+02
1.936911915739e+03, -1.252549e+02, -1.214009e+02
2.038637176156e+03, -1.248829e+02, -1.215052e+02
2.140362436573e+03, -1.254946e+02, -1.226540e+02
2.242087696989e+03, -1.249790e+02, -1.230188e+02
2.343812957406e+03, -1.255607e+02, -1.227815e+02
2.445538217823e+03, -1.264417e+02, -1.218153e+02
2.547263478239e+03, -1.259250e+02, -1.215881e+02
2.648988738656e+03, -1.254571e+02, -1.224559e+02
2.750713999073e+03, -1.259175e+02, -1.228389e+02
2.852439259489e+03, -1.267704e+02, -1.220276e+02
2.954164519906e+03, -1.266522e+02, -1.216611e+02
3.055889780323e+03, -1.264159e+02, -1.218863e+02
3.157615040739e+03, -1.263895e+02, -1.215016e+02
3.259340301156e+03, -1.261734e+02, -1.222740e+02
3.361065561573e+03, -1.261431e+02, -1.230624e+02
3.462790821989e+03, -1.264713e+02, -1.229883e+02
3.564516082406e+03, -1.266073e+02, -1.232469e+02
3.666241342823e+03, -1.274552e+02, -1.230086e+02
3.767966603239e+03, -1.273073e+02, -1.222484e+02
3.869691863656e+03, -1.271993e+02, -1.226724e+02
3.971417124073e+03, -1.276670e+02, -1.227367e+02
4.073142384489e+03, -1.265539e+02, -1.231304e+02
4.174867644906e+03, -1.266084e+02, -1.235168e+02
4.276592905323e+03, -1.272636e+02, -1.235255e+02
4.378318165739e+03, -1.279895e+02, -1.232153e+02
4.480043426156e+03, -1.275250e+02, -1.228193e+02
4.581768686573e+03, -1.269206e+02, -1.234755e+02
4.683493946989e+03, -1.276429e+02, -1.239284e+02
4.785219207406e+03, -1.273020e+02, -1.248808e+02
4.886944467823e+03, -1.276876e+02, -1.237357e+02
4.988669728239e+03, -1.279864e+02, -1.233565e+02
5.090394988656e+03, -1.277892e+02, -1.236740e+02
5.192120249073e+03, -1.273258e+02, -1.232902e+02
5.293845509489e+03, -1.282677e+02, -1.239352e+02
5.395570769906e+03, -1.282718e+02, -1.242751e+02
5.497296030323e+03, -1.276250e+02, -1.236400e+02
5.599021290739e+03, -1.280510e+02, -1.235789e+02
5.700746551156e+03, -1.286491e+02, -1.232550e+02
5.802471811573e+03, -1.281020e+02, -1.239618e+02
5.904197071989e+03, -1.276807e+02, -1.238872e+02
6.005922332406e+03, -1.276135e+02, -1.247219e+02
6.107647592823e+03, -1.278544e+02, -1.251870e+02
6.209372853239e+03, -1.273179e+02, -1.252208e+02
6.311098113656e+03, -1.274260e+02, -1.251555e+02
6.412823374073e+03, -1.273808e+02, -1.246049e+02
6.514548634489e+03, -1.279026e+02, -1.242971e+02
6.616273894906e+03, -1.283158e+02, -1.243775e+02
6.717999155323e+03, -1.283699e+02, -1.252294e+02
6.819724415739e+03, -1.286646e+02, -1.246610e+02
6.921449676156e+03, -1.282029e+02, -1.250098e+02
7.023174936573e+03, -1.280827e+02, -1.247782e+02
7.124900196989e+03, -1.281997e+02, -1.249613e+02
7.226625457406e+03, -1.282556e+02, -1.246333e+02
7.328350717823e+03, -1.288815e+02, -1.251872e+02
7.430075978239e+03, -1.288972e+02, -1.251863e+02
7.531801238656e+03, -1.289625e+02, -1.256480e+02
7.633526499073e+03, -1.286748e+02, -1.251557e+02
7.735251759489e+03, -1.278995e+02, -1.253188e+02
7.836977019906e+03, -1.281101e+02, -1.252161e+02
7.938702280323e+03, -1.287820e+02, -1.242937e+02
8.040427540739e+03, -1.290438e+02, -1.247876e+02
8.142152801156e+03, -1.298205e+02, -1.250656e+02
8.243878061573e+03, -1.294095e+02, -1.255504e+02
8.345603321989e+03, -1.291193e+02, -1.253697e+02
8.447328582406e+03, -1.290845e+02, -1.246284e+02
8.549053842823e+03, -1.294058e+02, -1.248966e+02
8.650779103239e+03, -1.280157e+02, -1.250827e+02
8.752504363656e+03, -1.283957e+02, -1.260512e+02
8.854229624073e+03, -1.290490e+02, -1.256859e+02
8.955954884489e+03, -1.293927e+02, -1.260251e+02
9.057680144906e+03, -1.294393e+02, -1.256761e+02
9.159405405323e+03, -1.286858e+02, -1.255736e+02
9.261130665739e+03, -1.278505e+02, -1.251066e+02
9.362855926156e+03, -1.294316e+02, -1.255427e+02
9.464581186573e+03, -1.295466e+02, -1.259134e+02
9.566306446989e+03, -1.301438e+02, -1.253935e+02
9.668031707406e+03, -1.299832e+02, -1.263359e+02
9.769756967823e+03, -1.298560e+02, -1.265209e+02
9.871482228239e+03, -1.297901e+02, -1.264037e+02
9.973207488656e+03, -1.286152e+02, -1.267711e+02
1.007493274907e+04, -1.283502e+02, -1.266186e+02
1.017665800949e+04, -1.293680e+02, -1.265764e+02
1.027838326991e+04, -1.298413e+02, -1.271932e+02
1.038010853032e+04, -1.295744e+02, -1.274890e+02
1.048183379074e+04, -1.284711e+02, -1.265120e+02
1.058355905116e+04, -1.285269e+02, -1.262365e+02
1.068528431157e+04, -1.300163e+02, -1.257124e+02
1.078700957199e+04, -1.296102e+02, -1.266217e+02
1.088873483241e+04, -1.285230e+02, -1.266476e+02
1.099046009282e+04, -1.294076e+02, -1.270579e+02
1.109218535324e+04, -1.308956e+02, -1.265115e+02
1.119391061366e+04, -1.303978e+02, -1.269414e+02
1.129563587407e+04, -1.298519e+02, -1.268406e+02
1.139736113449e+04, -1.300010e+02, -1.268694e+02
1.149908639491e+04, -1.292532e+02, -1.270908e+02
1.160081165532e+04, -1.297423e+02, -1.278407e+02
1.170253691574e+04, -1.304359e+02, -1.275025e+02
1.180426217616e+04, -1.298883e+02, -1.277237e+02
1.190598743657e+04, -1.299640e+02, -1.277419e+02
1.200771269699e+04, -1.304254e+02, -1.267418e+02
1.210943795741e+04, -1.301294e+02, -1.265692e+02
1.221116321782e+04, -1.298905e+02, -1.262478e+02
1.231288847824e+04, -1.297240e+02, -1.268884e+02
1.241461373866e+04, -1.297949e+02, -1.267705e+02
1.251633899907e+04, -1.292396e+02, -1.269821e+02
1.261806425949e+04, -1.288638e+02, -1.268069e+02
1.271978951991e+04, -1.300995e+02, -1.274934e+02
1.282151478032e+04, -1.305162e+02, -1.281991e+02
1.292324004074e+04, -1.300756e+02, -1.272861e+02
1.302496530116e+04, -1.298870e+02, -1.274259e+02
1.312669056157e+04, -1.302200e+02, -1.276560e+02
1.322841582199e+04, -1.295477e+02, -1.266937e+02
1.333014108241e+04, -1.299489e+02, -1.263946e+02
1.343186634282e+04, -1.295070e+02, -1.258600e+02
1.353359160324e+04, -1.284821e+02, -1.268530e+02
1.363531686366e+04, -1.290791e+02, -1.271024e+02
1.373704212407e+04, -1.302359e+02, -1.277040e+02
1.383876738449e+04, -1.297734e+02, -1.283176e+02
1.394049264491e+04, -1.299190e+02, -1.281521e+02
1.404221790532e+04, -1.297302e+02, -1.285865e+02
1.414394316574e+04, -1.295611e+02, -1.276691e+02
1.424566842616e+04, -1.298708e+02, -1.274459e+02
1.434739368657e+04, -1.297718e+02, -1.271298e+02
1.444911894699e+04, -1.296046e+02, -1.273492e+02
1.455084420741e+04, -1.299051e+02, -1.272584e+02
1.465256946782e+04, -1.303339e+02, -1.278606e+02
1.475429472824e+04, -1.300646e+02, -1.282093e+02
1.485601998866e+04, -1.293598e+02, -1.278304e+02
1.495774524907e+04, -1.294090e+02, -1.278156e+02
1.505947050949e+04, -1.297778e+02, -1.278296e+02
1.516119576991e+04, -1.311063e+02, -1.278722e+02
1.526292103032e+04, -1.309764e+02, -1.285967e+02
1.536464629074e+04, -1.303115e+02, -1.301216e+02
1.546637155116e+04, -1.302521e+02, -1.290988e+02
1.556809681157e+04, -1.301514e+02, -1.284977e+02
1.566982207199e+04, -1.302640e+02, -1.282282e+02
1.577154733241e+04, -1.294879e+02, -1.288185e+02
1.587327259282e+04, -1.294111e+02, -1.284364e+02
1.597499785324e+04, -1.290653e+02, -1.288517e+02
1.607672311366e+04, -1.297815e+02, -1.287914e+02
1.617844837407e+04, -1.305608e+02, -1.283733e+02
1.628017363449e+04, -1.313853e+02, -1.283544e+02
1.638189889491e+04, -1.308653e+02, -1.291731e+02
1.648362415532e+04, -1.305566e+02, -1.298475e+02
1.658534941574e+04, -1.305602e+02, -1.293202e+02
1.668707467616e+04, -1.309227e+02, -1.280593e+02
1.678879993657e+04, -1.302463e+02, -1.279957e+02
1.689052519699e+04, -1.303508e+02, -1.269666e+02
1.699225045741e+04, -1.304398e+02, -1.255980e+02
1.709397571782e+04, -1.299913e+02, -1.255223e+02
1.719570097824e+04, -1.297179e+02, -1.268174e+02
1.729742623866e+04, -1.301440e+02, -1.275236e+02
1.739915149907e+04, -1.298637e+02, -1.282876e+02
1.750087675949e+04, -1.294361e+02, -1.280664e+02
1.760260201991e+04, -1.292447e+02, -1.288223e+02
1.770432728032e+04, -1.290727e+02, -1.296300e+02
1.780605254074e+04, -1.286405e+02, -1.288639e+02
1.790777780116e+04, -1.299049e+02, -1.290089e+02
1.800950306157e+04, -1.305544e+02, -1.285902e+02
1.811122832199e+04, -1.303999e+02, -1.281837e+02
1.821295358241e+04, -1.312125e+02, -1.269737e+02
1.831467884282e+04, -1.306479e+02, -1.269269e+02
1.841640410324e+04, -1.307811e+02, -1.262418e+02
1.851812936366e+04, -1.305405e+02, -1.230743e+02
1.861985462407e+04, -1.302525e+02, -1.180926e+02
1.872157988449e+04, -1.297681e+02, -1.148498e+02
1.882330514491e+04, -1.304164e+02, -1.168156e+02
1.892503040532e+04, -1.307020e+02, -1.215825e+02
1.902675566574e+04, -1.304311e+02, -1.256507e+02
1.912848092616e+04, -1.307885e+02, -1.279584e+02
1.923020618657e+04, -1.307235e+02, -1.288160e+02
1.933193144699e+04, -1.307305e+02, -1.282392e+02
1.943365670741e+04, -1.306477e+02, -1.283403e+02
1.953538196782e+04, -1.298192e+02, -1.280744e+02
1.963710722824e+04, -1.294358e+02, -1.282581e+02
1.973883248866e+04, -1.302313e+02, -1.286896e+02
1.984055774907e+04, -1.300875e+02, -1.286101e+02
1.994228300949e+04, -1.305063e+02, -1.294521e+02
2.004400826991e+04, -1.307270e+02, -1.292015e+02
2.014573353032e+04, -1.310467e+02, -1.291984e+02
2.024745879074e+04, -1.306144e+02, -1.294223e+02
2.034918405116e+04, -1.318408e+02, -1.293094e+02
2.045090931157e+04, -1.319251e+02, -1.295232e+02
2.055263457199e+04, -1.315384e+02, -1.296847e+02
2.065435983241e+04, -1.304467e+02, -1.289515e+02
2.075608509282e+04, -1.297520e+02, -1.279943e+02
2.085781035324e+04, -1.300166e+02, -1.292328e+02
2.095953561366e+04, -1.306881e+02, -1.291708e+02
2.106126087407e+04, -1.301727e+02, -1.282764e+02
2.116298613449e+04, -1.309598e+02, -1.290482e+02
2.126471139491e+04, -1.310334e+02, -1.288599e+02
2.136643665532e+04, -1.310984e+02, -1.290692e+02
2.146816191574e+04, -1.311322e+02, -1.294764e+02
2.156988717616e+04, -1.308980e+02, -1.296128e+02
2.167161243657e+04, -1.303605e+02, -1.301482e+02
2.177333769699e+04, -1.300152e+02, -1.292023e+02
2.187506295741e+04, -1.299232e+02, -1.287527e+02
2.197678821782e+04, -1.306608e+02, -1.291000e+02
2.207851347824e+04, -1.307873e+02, -1.286407e+02
2.218023873866e+04, -1.297284e+02, -1.285412e+02
2.228196399907e+04, -1.301924e+02, -1.287401e+02
2.238368925949e+04, -1.312547e+02, -1.286518e+02
2.248541451991e+04, -1.307438e+02, -1.287793e+02
2.258713978032e+04, -1.308767e+02, -1.292149e+02
2.268886504074e+04, -1.315802e+02, -1.297306e+02
2.279059030116e+04, -1.320799e+02, -1.295356e+02
2.289231556157e+04, -1.317122e+02, -1.301279e+02
2.299404082199e+04, -1.317117e+02, -1.308946e+02
2.309576608241e+04, -1.313112e+02, -1.299895e+02
2.319749134282e+04, -1.312582e+02, -1.293002e+02
2.329921660324e+04, -1.315841e+02, -1.289596e+02
2.340094186366e+04, -1.311220e+02, -1.288792e+02
2.350266712407e+04, -1.311321e+02, -1.297983e+02
2.360439238449e+04, -1.311080e+02, -1.293563e+02
2.370611764491e+04, -1.312535e+02, -1.291299e+02
2.380784290532e+04, -1.319002e+02, -1.293444e+02
2.390956816574e+04, -1.313883e+02, -1.286666e+02
2.401129342616e+04, -1.311753e+02, -1.289275e+02
2.411301868657e+04, -1.304290e+02, -1.286448e+02
2.421474394699e+04, -1.308319e+02, -1.271843e+02
2.431646920741e+04, -1.302284e+02, -1.246161e+02
2.441819446782e+04, -1.298673e+02, -1.230841e+02
2.451991972824e+04, -1.304810e+02, -1.244073e+02
2.462164498866e+04, -1.307600e+02, -1.269747e+02
2.472337024907e+04, -1.309435e+02, -1.298583e+02
2.482509550949e+04, -1.313589e+02, -1.299645e+02
2.492682076991e+04, -1.315298e+02, -1.289351e+02
2.502854603032e+04, -1.309879e+02, -1.291893e+02
2.513027129074e+04, -1.307430e+02, -1.296536e+02
2.523199655116e+04, -1.305756e+02, -1.299821e+02
2.533372181157e+04, -1.307487e+02, -1.295905e+02
2.543544707199e+04, -1.312416e+02, -1.286124e+02
2.553717233241e+04, -1.306264e+02, -1.280823e+02
2.563889759282e+04, -1.305597e+02, -1.276931e+02
2.574062285324e+04, -1.317367e+02, -1.277213e+02
2.584234811366e+04, -1.320761e+02, -1.290380e+02
2.594407337407e+04, -1.317933e+02, -1.297294e+02
2.604579863449e+04, -1.309404e+02, -1.289138e+02
2.614752389491e+04, -1.309663e+02, -1.292298e+02
2.624924915532e+04, -1.320845e+02, -1.293790e+02
2.635097441574e+04, -1.315176e+02, -1.295249e+02
2.645269967616e+04, -1.310601e+02, -1.301131e+02
2.655442493657e+04, -1.309782e+02, -1.302978e+02
2.665615019699e+04, -1.314183e+02, -1.295469e+02
2.675787545741e+04, -1.313102e+02, -1.294587e+02
2.685960071782e+04, -1.314186e+02, -1.285476e+02
2.696132597824e+04, -1.307613e+02, -1.278349e+02
2.706305123866e+04, -1.308461e+02, -1.283209e+02
2.716477649907e+04, -1.302940e+02, -1.293538e+02
2.726650175949e+04, -1.309195e+02, -1.299415e+02
2.736822701991e+04, -1.313924e+02, -1.291706e+02
2.746995228032e+04, -1.313068e+02, -1.293038e+02
2.757167754074e+04, -1.310129e+02, -1.297107e+02
2.767340280116e+04, -1.314622e+02, -1.292747e+02
2.777512806157e+04, -1.325333e+02, -1.288409e+02
2.787685332199e+04, -1.308208e+02, -1.296547e+02
2.797857858241e+04, -1.295805e+02, -1.294481e+02
2.808030384282e+04, -1.304602e+02, -1.278562e+02
2.818202910324e+04, -1.314199e+02, -1.277156e+02
2.828375436366e+04, -1.312104e+02, -1.289067e+02
2.838547962407e+04, -1.304840e+02, -1.294517e+02
2.848720488449e+04, -1.303579e+02, -1.287931e+02
2.858893014491e+04, -1.306717e+02, -1.293598e+02
2.869065540532e+04, -1.311820e+02, -1.296625e+02
2.879238066574e+04, -1.317981e+02, -1.290652e+02
2.889410592616e+04, -1.315000e+02, -1.293160e+02
2.899583118657e+04, -1.313053e+02, -1.287023e+02
2.909755644699e+04, -1.313902e+02, -1.285606e+02
2.919928170741e+04, -1.308203e+02, -1.296342e+02
2.930100696782e+04, -1.311355e+02, -1.280845e+02
2.940273222824e+04, -1.319335e+02, -1.276129e+02
2.950445748866e+04, -1.316561e+02, -1.282889e+02
2.960618274907e+04, -1.311251e+02, -1.296429e+02
2.970790800949e+04, -1.315286e+02, -1.299452e+02
2.980963326991e+04, -1.318966e+02, -1.296277e+02
2.991135853032e+04, -1.318280e+02, -1.293291e+02
3.001308379074e+04, -1.316473e+02, -1.292864e+02
3.011480905116e+04, -1.307042e+02, -1.293944e+02
3.021653431157e+04, -1.305748e+02, -1.298475e+02
3.031825957199e+04, -1.313857e+02, -1.294115e+02
3.041998483241e+04, -1.307133e+02, -1.287467e+02
3.052171009282e+04, -1.309215e+02, -1.275744e+02
3.062343535324e+04, -1.309202e+02, -1.285290e+02
3.072516061366e+04, -1.300174e+02, -1.298054e+02
3.082688587407e+04, -1.310287e+02, -1.295201e+02
3.092861113449e+04, -1.320886e+02, -1.294954e+02
3.103033639491e+04, -1.320188e+02, -1.295416e+02
3.113206165532e+04, -1.312697e+02, -1.299755e+02
3.123378691574e+04, -1.313911e+02, -1.301636e+02
3.133551217616e+04, -1.317129e+02, -1.297401e+02
3.143723743657e+04, -1.318042e+02, -1.294100e+02
3.153896269699e+04, -1.324968e+02, -1.291949e+02
3.164068795741e+04, -1.318159e+02, -1.294049e+02
3.174241321782e+04, -1.309325e+02, -1.285008e+02
3.184413847824e+04, -1.308949e+02, -1.283155e+02
3.194586373866e+04, -1.312817e+02, -1.293893e+02
3.204758899907e+04, -1.308316e+02, -1.300712e+02
3.214931425949e+04, -1.309334e+02, -1.301177e+02
3.225103951991e+04, -1.312912e+02, -1.293001e+02
3.235276478032e+04, -1.314055e+02, -1.294880e+02
3.245449004074e+04, -1.315831e+02, -1.295021e+02
3.255621530116e+04, -1.315284e+02, -1.299707e+02
3.265794056157e+04, -1.309880e+02, -1.293167e+02
3.275966582199e+04, -1.308750e+02, -1.289110e+02
3.286139108241e+04, -1.320628e+02, -1.286279e+02
3.296311634282e+04, -1.313367e+02, -1.286989e+02
3.306484160324e+04, -1.315813e+02, -1.288161e+02
3.316656686366e+04, -1.307684e+02, -1.283347e+02
3.326829212407e+04, -1.309820e+02, -1.284280e+02
3.337001738449e+04, -1.315762e+02, -1.284023e+02
3.347174264491e+04, -1.315482e+02, -1.298834e+02
3.357346790532e+04, -1.311939e+02, -1.308434e+02
3.367519316574e+04, -1.315166e+02, -1.303088e+02
3.377691842616e+04, -1.306880e+02, -1.295253e+02
3.387864368657e+04, -1.303242e+02, -1.284741e+02
3.398036894699e+04, -1.308402e+02, -1.289655e+02
3.408209420741e+04, -1.311818e+02, -1.287755e+02
3.418381946782e+04, -1.320503e+02, -1.279954e+02
3.428554472824e+04, -1.322133e+02, -1.278103e+02
3.438726998866e+04, -1.318890e+02, -1.281450e+02
3.448899524907e+04, -1.314195e+02, -1.288241e+02
3.459072050949e+04, -1.311708e+02, -1.296584e+02
3.469244576991e+04, -1.312089e+02, -1.292634e+02
3.479417103032e+04, -1.308700e+02, -1.288742e+02
3.489589629074e+04, -1.313555e+02, -1.294062e+02
3.499762155116e+04, -1.310547e+02, -1.304442e+02
3.509934681157e+04, -1.311687e+02, -1.300630e+02
3.520107207199e+04, -1.312571e+02, -1.288100e+02
3.530279733241e+04, -1.315656e+02, -1.289965e+02
3.540452259282e+04, -1.310011e+02, -1.273401e+02
3.550624785324e+04, -1.310927e+02, -1.276614e+02
3.560797311366e+04, -1.314902e+02, -1.291971e+02
3.570969837407e+04, -1.310682e+02, -1.293355e+02
3.581142363449e+04, -1.316660e+02, -1.290254e+02
3.591314889491e+04, -1.313500e+02, -1.292204e+02
3.601487415532e+04, -1.309888e+02, -1.300083e+02
3.611659941574e+04, -1.308540e+02, -1.302268e+02
3.621832467616e+04, -1.311018e+02, -1.300296e+02
3.632004993657e+04, -1.315343e+02, -1.289109e+02
3.642177519699e+04, -1.313332e+02, -1.289381e+02
3.652350045741e+04, -1.313632e+02, -1.298199e+02
3.662522571782e+04, -1.323702e+02, -1.301558e+02
3.672695097824e+04, -1.326109e+02, -1.299269e+02
3.682867623866e+04, -1.316052e+02, -1.297824e+02
3.693040149907e+04, -1.308849e+02, -1.291541e+02
3.703212675949e+04, -1.304369e+02, -1.294719e+02
3.713385201991e+04, -1.312825e+02, -1.292706e+02
3.723557728032e+04, -1.315420e+02, -1.297322e+02
3.733730254074e+04, -1.314479e+02, -1.297860e+02
3.743902780116e+04, -1.316303e+02, -1.308481e+02
3.754075306157e+04, -1.312628e+02, -1.308121e+02
3.764247832199e+04, -1.313411e+02, -1.307619e+02
3.774420358241e+04, -1.314678e+02, -1.308781e+02
3.784592884282e+04, -1.322303e+02, -1.289828e+02
3.794765410324e+04, -1.321043e+02, -1.285704e+02
3.804937936366e+04, -1.320474e+02, -1.295497e+02
3.815110462407e+04, -1.318397e+02, -1.299560e+02
3.825282988449e+04, -1.317098e+02, -1.301179e+02
3.835455514491e+04, -1.315823e+02, -1.298111e+02
3.845628040532e+04, -1.320346e+02, -1.299236e+02
3.855800566574e+04, -1.320030e+02, -1.301655e+02
3.865973092616e+04, -1.315438e+02, -1.306651e+02
3.876145618657e+04, -1.319672e+02, -1.300273e+02
3.886318144699e+04, -1.322722e+02, -1.293843e+02
3.896490670741e+04, -1.318380e+02, -1.299278e+02
