% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:53:51 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -1.281165e+02, -1.244596e+02
1.021326364328e+04, -1.283752e+02, -1.249871e+02
1.123051624745e+04, -1.285690e+02, -1.255420e+02
1.224776885162e+04, -1.287884e+02, -1.257008e+02
1.326502145578e+04, -1.288370e+02, -1.261391e+02
1.428227405995e+04, -1.289147e+02, -1.267696e+02
1.529952666412e+04, -1.290526e+02, -1.270637e+02
1.631677926828e+04, -1.292461e+02, -1.266419e+02
1.733403187245e+04, -1.292608e+02, -1.249801e+02
1.835128447662e+04, -1.292947e+02, -1.221777e+02
1.936853708078e+04, -1.291844e+02, -1.225661e+02
2.038578968495e+04, -1.292467e+02, -1.261913e+02
2.140304228912e+04, -1.294238e+02, -1.279683e+02
2.242029489328e+04, -1.295897e+02, -1.277894e+02
2.343754749745e+04, -1.294837e+02, -1.269380e+02
2.445480010162e+04, -1.294910e+02, -1.265451e+02
2.547205270578e+04, -1.296562e+02, -1.272484e+02
2.648930530995e+04, -1.296420e+02, -1.279659e+02
2.750655791412e+04, -1.296162e+02, -1.281976e+02
2.852381051828e+04, -1.296457e+02, -1.282124e+02
2.954106312245e+04, -1.296553e+02, -1.282612e+02
3.055831572662e+04, -1.299687e+02, -1.283951e+02
3.157556833078e+04, -1.302543e+02, -1.282557e+02
3.259282093495e+04, -1.303490e+02, -1.282976e+02
3.361007353912e+04, -1.303950e+02, -1.283909e+02
3.462732614328e+04, -1.302195e+02, -1.284533e+02
3.564457874745e+04, -1.302843e+02, -1.284561e+02
3.666183135162e+04, -1.304826e+02, -1.288809e+02
3.767908395578e+04, -1.304078e+02, -1.292683e+02
