% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10 Hz, stop freq 1.00 kHz, RBW 2.070 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:52:32 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.416872935910e+00, -1.042186e+02, -1.041763e+02
1.044232919011e+01, -1.049638e+02, -1.050083e+02
1.146778544431e+01, -1.049283e+02, -1.057306e+02
1.249324169851e+01, -1.048198e+02, -1.045287e+02
1.351869795271e+01, -1.058857e+02, -1.058362e+02
1.454415420691e+01, -1.071437e+02, -1.059325e+02
1.556961046111e+01, -1.064196e+02, -1.058507e+02
1.659506671531e+01, -1.073311e+02, -1.054316e+02
1.762052296951e+01, -1.064391e+02, -1.063401e+02
1.864597922371e+01, -1.068193e+02, -1.064753e+02
1.967143547791e+01, -1.070935e+02, -1.067546e+02
2.069689173211e+01, -1.072810e+02, -1.078328e+02
2.172234798631e+01, -1.079419e+02, -1.074479e+02
2.274780424051e+01, -1.087861e+02, -1.070177e+02
2.377326049471e+01, -1.081271e+02, -1.068366e+02
2.479871674891e+01, -1.081542e+02, -1.079073e+02
2.582417300311e+01, -1.090507e+02, -1.076051e+02
2.684962925731e+01, -1.095103e+02, -1.082231e+02
2.787508551152e+01, -1.094066e+02, -1.088131e+02
2.890054176572e+01, -1.087690e+02, -1.088989e+02
2.992599801992e+01, -1.094742e+02, -1.080700e+02
3.095145427412e+01, -1.091117e+02, -1.086590e+02
3.197691052832e+01, -1.098157e+02, -1.096702e+02
3.300236678252e+01, -1.094653e+02, -1.094251e+02
3.402782303672e+01, -1.091104e+02, -1.092270e+02
3.505327929092e+01, -1.093839e+02, -1.095767e+02
3.607873554512e+01, -1.093293e+02, -1.100766e+02
3.710419179932e+01, -1.095343e+02, -1.099353e+02
3.812964805352e+01, -1.091864e+02, -1.091751e+02
3.915510430772e+01, -1.101871e+02, -1.085998e+02
4.018056056192e+01, -1.101922e+02, -1.097944e+02
4.120601681612e+01, -1.104500e+02, -1.104341e+02
4.223147307032e+01, -1.107076e+02, -1.104507e+02
4.325692932452e+01, -1.107410e+02, -1.103526e+02
4.428238557872e+01, -1.104042e+02, -1.102715e+02
4.530784183292e+01, -1.109093e+02, -1.100583e+02
4.633329808712e+01, -1.117555e+02, -1.103804e+02
4.735875434132e+01, -1.112083e+02, -1.100726e+02
4.838421059552e+01, -1.108519e+02, -1.096969e+02
4.940966684972e+01, -1.107461e+02, -1.098331e+02
5.043512310392e+01, -1.108960e+02, -1.094665e+02
5.146057935812e+01, -1.110215e+02, -1.097425e+02
5.248603561232e+01, -1.107733e+02, -1.104034e+02
5.351149186652e+01, -1.104739e+02, -1.101884e+02
5.453694812072e+01, -1.105802e+02, -1.112590e+02
5.556240437492e+01, -1.111818e+02, -1.110544e+02
5.658786062912e+01, -1.121871e+02, -1.103832e+02
5.761331688332e+01, -1.123253e+02, -1.103431e+02
5.863877313752e+01, -1.111938e+02, -1.053620e+02
5.966422939172e+01, -1.111217e+02, -1.005612e+02
6.068968564592e+01, -1.118530e+02, -1.015419e+02
6.171514190012e+01, -1.120128e+02, -1.077139e+02
6.274059815432e+01, -1.117906e+02, -1.111315e+02
6.376605440852e+01, -1.107508e+02, -1.104924e+02
6.479151066272e+01, -1.107629e+02, -1.109375e+02
6.581696691693e+01, -1.112495e+02, -1.103410e+02
6.684242317113e+01, -1.111977e+02, -1.103588e+02
6.786787942533e+01, -1.114336e+02, -1.109171e+02
6.889333567953e+01, -1.116709e+02, -1.113256e+02
