% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:48:11 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -1.142532e+02, -1.215676e+02
1.021384571989e+03, -1.156077e+02, -1.198261e+02
1.123109832406e+03, -1.152171e+02, -1.203370e+02
1.224835092823e+03, -1.161394e+02, -1.210471e+02
1.326560353239e+03, -1.167543e+02, -1.216176e+02
1.428285613656e+03, -1.169544e+02, -1.217367e+02
1.530010874073e+03, -1.168147e+02, -1.209564e+02
1.631736134489e+03, -1.172794e+02, -1.220311e+02
1.733461394906e+03, -1.172483e+02, -1.218359e+02
1.835186655323e+03, -1.165096e+02, -1.216658e+02
1.936911915739e+03, -1.172735e+02, -1.213887e+02
2.038637176156e+03, -1.176461e+02, -1.215916e+02
2.140362436573e+03, -1.178878e+02, -1.216216e+02
2.242087696989e+03, -1.174942e+02, -1.213385e+02
2.343812957406e+03, -1.176225e+02, -1.217803e+02
2.445538217823e+03, -1.182602e+02, -1.225629e+02
2.547263478239e+03, -1.179944e+02, -1.223552e+02
2.648988738656e+03, -1.179196e+02, -1.221925e+02
2.750713999073e+03, -1.179747e+02, -1.221470e+02
2.852439259489e+03, -1.182296e+02, -1.217570e+02
2.954164519906e+03, -1.187616e+02, -1.216347e+02
3.055889780323e+03, -1.184311e+02, -1.224905e+02
3.157615040739e+03, -1.184630e+02, -1.232862e+02
3.259340301156e+03, -1.188167e+02, -1.235150e+02
3.361065561573e+03, -1.187003e+02, -1.225538e+02
3.462790821989e+03, -1.184039e+02, -1.228374e+02
3.564516082406e+03, -1.196255e+02, -1.233369e+02
3.666241342823e+03, -1.193372e+02, -1.232958e+02
3.767966603239e+03, -1.184300e+02, -1.230600e+02
3.869691863656e+03, -1.183236e+02, -1.223961e+02
3.971417124073e+03, -1.193734e+02, -1.230662e+02
4.073142384489e+03, -1.195934e+02, -1.240427e+02
4.174867644906e+03, -1.191189e+02, -1.240831e+02
4.276592905323e+03, -1.188108e+02, -1.245499e+02
4.378318165739e+03, -1.190448e+02, -1.241274e+02
4.480043426156e+03, -1.193949e+02, -1.233514e+02
4.581768686573e+03, -1.189236e+02, -1.247367e+02
4.683493946989e+03, -1.183766e+02, -1.258968e+02
4.785219207406e+03, -1.185370e+02, -1.241594e+02
4.886944467823e+03, -1.189390e+02, -1.228972e+02
4.988669728239e+03, -1.194284e+02, -1.230106e+02
5.090394988656e+03, -1.194479e+02, -1.227115e+02
5.192120249073e+03, -1.198853e+02, -1.231422e+02
5.293845509489e+03, -1.200809e+02, -1.243315e+02
5.395570769906e+03, -1.193411e+02, -1.244336e+02
5.497296030323e+03, -1.194380e+02, -1.238488e+02
5.599021290739e+03, -1.190103e+02, -1.236049e+02
5.700746551156e+03, -1.196913e+02, -1.236011e+02
5.802471811573e+03, -1.204856e+02, -1.235334e+02
5.904197071989e+03, -1.194306e+02, -1.240851e+02
6.005922332406e+03, -1.192249e+02, -1.243657e+02
6.107647592823e+03, -1.195114e+02, -1.233852e+02
6.209372853239e+03, -1.202442e+02, -1.234110e+02
6.311098113656e+03, -1.199779e+02, -1.234887e+02
6.412823374073e+03, -1.201493e+02, -1.236871e+02
6.514548634489e+03, -1.205740e+02, -1.244899e+02
6.616273894906e+03, -1.196374e+02, -1.249276e+02
6.717999155323e+03, -1.195392e+02, -1.251079e+02
6.819724415739e+03, -1.190838e+02, -1.258288e+02
6.921449676156e+03, -1.196084e+02, -1.250414e+02
7.023174936573e+03, -1.187852e+02, -1.248550e+02
7.124900196989e+03, -1.194717e+02, -1.254024e+02
7.226625457406e+03, -1.194146e+02, -1.261316e+02
7.328350717823e+03, -1.198315e+02, -1.253908e+02
7.430075978239e+03, -1.193303e+02, -1.243708e+02
7.531801238656e+03, -1.191751e+02, -1.242405e+02
7.633526499073e+03, -1.196266e+02, -1.247802e+02
7.735251759489e+03, -1.198790e+02, -1.247945e+02
7.836977019906e+03, -1.195339e+02, -1.252876e+02
7.938702280323e+03, -1.195610e+02, -1.241267e+02
8.040427540739e+03, -1.203544e+02, -1.236816e+02
8.142152801156e+03, -1.194732e+02, -1.247302e+02
8.243878061573e+03, -1.187078e+02, -1.254639e+02
8.345603321989e+03, -1.186543e+02, -1.253982e+02
8.447328582406e+03, -1.192896e+02, -1.259105e+02
8.549053842823e+03, -1.197740e+02, -1.254021e+02
8.650779103239e+03, -1.199080e+02, -1.257643e+02
8.752504363656e+03, -1.203612e+02, -1.256006e+02
8.854229624073e+03, -1.198551e+02, -1.251534e+02
8.955954884489e+03, -1.195633e+02, -1.254456e+02
9.057680144906e+03, -1.200191e+02, -1.262149e+02
9.159405405323e+03, -1.195196e+02, -1.262865e+02
9.261130665739e+03, -1.192182e+02, -1.259264e+02
9.362855926156e+03, -1.187363e+02, -1.259820e+02
9.464581186573e+03, -1.187759e+02, -1.262925e+02
9.566306446989e+03, -1.185065e+02, -1.261850e+02
9.668031707406e+03, -1.185754e+02, -1.269185e+02
9.769756967823e+03, -1.178028e+02, -1.261511e+02
9.871482228239e+03, -1.194140e+02, -1.258151e+02
9.973207488656e+03, -1.194735e+02, -1.253967e+02
1.007493274907e+04, -1.192589e+02, -1.258225e+02
1.017665800949e+04, -1.190708e+02, -1.263124e+02
1.027838326991e+04, -1.191776e+02, -1.267524e+02
1.038010853032e+04, -1.199335e+02, -1.272315e+02
1.048183379074e+04, -1.200850e+02, -1.267329e+02
1.058355905116e+04, -1.204377e+02, -1.264981e+02
1.068528431157e+04, -1.208034e+02, -1.266166e+02
1.078700957199e+04, -1.202086e+02, -1.270011e+02
1.088873483241e+04, -1.190696e+02, -1.277816e+02
1.099046009282e+04, -1.193884e+02, -1.267618e+02
1.109218535324e+04, -1.191793e+02, -1.260141e+02
1.119391061366e+04, -1.189377e+02, -1.273529e+02
1.129563587407e+04, -1.194561e+02, -1.272508e+02
1.139736113449e+04, -1.201459e+02, -1.271563e+02
1.149908639491e+04, -1.208755e+02, -1.268043e+02
1.160081165532e+04, -1.222793e+02, -1.273902e+02
1.170253691574e+04, -1.209480e+02, -1.274133e+02
1.180426217616e+04, -1.194705e+02, -1.276985e+02
1.190598743657e+04, -1.192069e+02, -1.265344e+02
1.200771269699e+04, -1.185973e+02, -1.262863e+02
1.210943795741e+04, -1.192774e+02, -1.264591e+02
1.221116321782e+04, -1.199150e+02, -1.272265e+02
1.231288847824e+04, -1.195281e+02, -1.286531e+02
1.241461373866e+04, -1.198352e+02, -1.277494e+02
1.251633899907e+04, -1.189483e+02, -1.269458e+02
1.261806425949e+04, -1.190605e+02, -1.267374e+02
1.271978951991e+04, -1.200128e+02, -1.268451e+02
1.282151478032e+04, -1.194680e+02, -1.269835e+02
1.292324004074e+04, -1.193913e+02, -1.269257e+02
1.302496530116e+04, -1.190611e+02, -1.274102e+02
1.312669056157e+04, -1.197094e+02, -1.264900e+02
1.322841582199e+04, -1.196109e+02, -1.263597e+02
1.333014108241e+04, -1.194410e+02, -1.264382e+02
1.343186634282e+04, -1.194068e+02, -1.260139e+02
1.353359160324e+04, -1.190232e+02, -1.264143e+02
1.363531686366e+04, -1.195350e+02, -1.273941e+02
1.373704212407e+04, -1.196024e+02, -1.272567e+02
1.383876738449e+04, -1.191644e+02, -1.269963e+02
1.394049264491e+04, -1.197592e+02, -1.278763e+02
1.404221790532e+04, -1.190758e+02, -1.279367e+02
1.414394316574e+04, -1.185605e+02, -1.278332e+02
1.424566842616e+04, -1.188094e+02, -1.270723e+02
1.434739368657e+04, -1.189401e+02, -1.269771e+02
1.444911894699e+04, -1.196952e+02, -1.281019e+02
1.455084420741e+04, -1.194394e+02, -1.285361e+02
1.465256946782e+04, -1.192360e+02, -1.283686e+02
1.475429472824e+04, -1.193951e+02, -1.275485e+02
1.485601998866e+04, -1.191471e+02, -1.274658e+02
1.495774524907e+04, -1.189890e+02, -1.283586e+02
