% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:48:50 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -1.128561e+02, -1.133511e+02
1.085055844178e+02, -1.086641e+02, -1.139634e+02
1.181937044575e+02, -1.044558e+02, -1.131517e+02
1.278818244972e+02, -1.063817e+02, -1.141661e+02
1.375699445369e+02, -1.123025e+02, -1.145725e+02
1.472580645766e+02, -1.143142e+02, -1.149530e+02
1.569461846162e+02, -1.140845e+02, -1.144897e+02
1.666343046559e+02, -1.072945e+02, -1.148304e+02
1.763224246956e+02, -1.021361e+02, -1.151153e+02
1.860105447353e+02, -1.028230e+02, -1.154775e+02
1.956986647750e+02, -1.097203e+02, -1.152094e+02
2.053867848147e+02, -1.158015e+02, -1.161762e+02
2.150749048543e+02, -1.154257e+02, -1.154954e+02
2.247630248940e+02, -1.104430e+02, -1.155744e+02
2.344511449337e+02, -1.043202e+02, -1.156100e+02
2.441392649734e+02, -1.040073e+02, -1.155750e+02
2.538273850131e+02, -1.098993e+02, -1.161600e+02
2.635155050527e+02, -1.157045e+02, -1.169453e+02
2.732036250924e+02, -1.158024e+02, -1.168291e+02
2.828917451321e+02, -1.114536e+02, -1.169973e+02
2.925798651718e+02, -1.036248e+02, -1.161790e+02
3.022679852115e+02, -1.019337e+02, -1.161579e+02
3.119561052512e+02, -1.062628e+02, -1.174870e+02
3.216442252908e+02, -1.142969e+02, -1.179914e+02
3.313323453305e+02, -1.160498e+02, -1.173178e+02
3.410204653702e+02, -1.118469e+02, -1.165286e+02
3.507085854099e+02, -1.031946e+02, -1.166301e+02
3.603967054496e+02, -1.003437e+02, -1.169678e+02
3.700848254893e+02, -1.034452e+02, -1.177015e+02
3.797729455289e+02, -1.120967e+02, -1.181248e+02
3.894610655686e+02, -1.166271e+02, -1.172620e+02
3.991491856083e+02, -1.111571e+02, -1.175360e+02
4.088373056480e+02, -1.010114e+02, -1.181414e+02
4.185254256877e+02, -9.714005e+01, -1.177138e+02
4.282135457274e+02, -9.921722e+01, -1.178179e+02
4.379016657670e+02, -1.079184e+02, -1.178888e+02
4.475897858067e+02, -1.170804e+02, -1.175021e+02
4.572779058464e+02, -1.163935e+02, -1.172777e+02
4.669660258861e+02, -1.093555e+02, -1.174520e+02
4.766541459258e+02, -1.041744e+02, -1.184250e+02
4.863422659654e+02, -1.049680e+02, -1.190470e+02
4.960303860051e+02, -1.117869e+02, -1.185489e+02
5.057185060448e+02, -1.164402e+02, -1.183698e+02
5.154066260845e+02, -1.173743e+02, -1.184410e+02
5.250947461242e+02, -1.154260e+02, -1.184370e+02
5.347828661639e+02, -1.100386e+02, -1.175965e+02
5.444709862035e+02, -1.097930e+02, -1.175000e+02
5.541591062432e+02, -1.135748e+02, -1.177609e+02
5.638472262829e+02, -1.173780e+02, -1.184045e+02
5.735353463226e+02, -1.179754e+02, -1.179556e+02
5.832234663623e+02, -1.146055e+02, -1.175004e+02
5.929115864020e+02, -1.080488e+02, -1.171837e+02
6.025997064416e+02, -1.066876e+02, -1.182108e+02
6.122878264813e+02, -1.112847e+02, -1.190230e+02
6.219759465210e+02, -1.166096e+02, -1.183194e+02
6.316640665607e+02, -1.165494e+02, -1.187602e+02
6.413521866004e+02, -1.109530e+02, -1.181328e+02
6.510403066400e+02, -1.029121e+02, -1.189788e+02
6.607284266797e+02, -1.005014e+02, -1.190361e+02
6.704165467194e+02, -1.040099e+02, -1.187018e+02
6.801046667591e+02, -1.139139e+02, -1.189919e+02
6.897927867988e+02, -1.177415e+02, -1.195844e+02
6.994809068385e+02, -1.172035e+02, -1.187191e+02
7.091690268781e+02, -1.154327e+02, -1.185900e+02
7.188571469178e+02, -1.134253e+02, -1.179997e+02
7.285452669575e+02, -1.146975e+02, -1.188158e+02
7.382333869972e+02, -1.177248e+02, -1.189320e+02
7.479215070369e+02, -1.173089e+02, -1.192431e+02
7.576096270766e+02, -1.172960e+02, -1.196040e+02
7.672977471162e+02, -1.127569e+02, -1.200898e+02
7.769858671559e+02, -1.083919e+02, -1.195138e+02
7.866739871956e+02, -1.092068e+02, -1.193764e+02
7.963621072353e+02, -1.146103e+02, -1.194513e+02
8.060502272750e+02, -1.172490e+02, -1.191002e+02
8.157383473147e+02, -1.176678e+02, -1.192069e+02
8.254264673543e+02, -1.177495e+02, -1.190826e+02
8.351145873940e+02, -1.167700e+02, -1.193742e+02
8.448027074337e+02, -1.169955e+02, -1.191358e+02
8.544908274734e+02, -1.174052e+02, -1.192261e+02
8.641789475131e+02, -1.170346e+02, -1.196622e+02
8.738670675527e+02, -1.173783e+02, -1.194390e+02
8.835551875924e+02, -1.149021e+02, -1.201890e+02
8.932433076321e+02, -1.090388e+02, -1.203640e+02
9.029314276718e+02, -1.081366e+02, -1.205565e+02
9.126195477115e+02, -1.128730e+02, -1.208898e+02
9.223076677512e+02, -1.170349e+02, -1.212013e+02
9.319957877908e+02, -1.185688e+02, -1.199420e+02
9.416839078305e+02, -1.179306e+02, -1.191932e+02
9.513720278702e+02, -1.180534e+02, -1.194249e+02
9.610601479099e+02, -1.169429e+02, -1.197566e+02
9.707482679496e+02, -1.170533e+02, -1.202135e+02
9.804363879893e+02, -1.169534e+02, -1.202526e+02
9.901245080289e+02, -1.173149e+02, -1.204204e+02
9.998126280686e+02, -1.164058e+02, -1.201259e+02
1.009500748108e+03, -1.112331e+02, -1.206718e+02
1.019188868148e+03, -1.079306e+02, -1.200684e+02
1.028876988188e+03, -1.100759e+02, -1.193247e+02
1.038565108227e+03, -1.163989e+02, -1.190243e+02
1.048253228267e+03, -1.181534e+02, -1.192601e+02
1.057941348307e+03, -1.190239e+02, -1.192265e+02
1.067629468346e+03, -1.176510e+02, -1.203509e+02
1.077317588386e+03, -1.165171e+02, -1.206433e+02
1.087005708426e+03, -1.160377e+02, -1.195725e+02
1.096693828465e+03, -1.173872e+02, -1.200314e+02
1.106381948505e+03, -1.182496e+02, -1.198518e+02
1.116070068545e+03, -1.179853e+02, -1.199790e+02
1.125758188584e+03, -1.154287e+02, -1.201143e+02
1.135446308624e+03, -1.105384e+02, -1.205298e+02
1.145134428664e+03, -1.106947e+02, -1.196420e+02
1.154822548704e+03, -1.153898e+02, -1.203412e+02
1.164510668743e+03, -1.164215e+02, -1.212366e+02
1.174198788783e+03, -1.172382e+02, -1.200622e+02
1.183886908823e+03, -1.174768e+02, -1.202763e+02
1.193575028862e+03, -1.168575e+02, -1.208833e+02
1.203263148902e+03, -1.168578e+02, -1.207829e+02
1.212951268942e+03, -1.175927e+02, -1.206634e+02
1.222639388981e+03, -1.176490e+02, -1.192191e+02
1.232327509021e+03, -1.170670e+02, -1.196602e+02
1.242015629061e+03, -1.178017e+02, -1.198334e+02
1.251703749100e+03, -1.156807e+02, -1.208916e+02
1.261391869140e+03, -1.139394e+02, -1.209423e+02
1.271079989180e+03, -1.160740e+02, -1.206289e+02
1.280768109219e+03, -1.178969e+02, -1.193915e+02
1.290456229259e+03, -1.177214e+02, -1.197444e+02
1.300144349299e+03, -1.177833e+02, -1.198796e+02
1.309832469338e+03, -1.181279e+02, -1.210240e+02
1.319520589378e+03, -1.183350e+02, -1.207489e+02
1.329208709418e+03, -1.186329e+02, -1.215662e+02
1.338896829458e+03, -1.179181e+02, -1.216678e+02
1.348584949497e+03, -1.178394e+02, -1.212711e+02
1.358273069537e+03, -1.175332e+02, -1.206310e+02
1.367961189577e+03, -1.141859e+02, -1.199391e+02
1.377649309616e+03, -1.107785e+02, -1.204952e+02
1.387337429656e+03, -1.121118e+02, -1.215454e+02
1.397025549696e+03, -1.160256e+02, -1.207031e+02
1.406713669735e+03, -1.173546e+02, -1.202781e+02
1.416401789775e+03, -1.184301e+02, -1.207270e+02
1.426089909815e+03, -1.183769e+02, -1.209549e+02
1.435778029854e+03, -1.177519e+02, -1.208879e+02
1.445466149894e+03, -1.186482e+02, -1.203476e+02
1.455154269934e+03, -1.185020e+02, -1.196176e+02
1.464842389973e+03, -1.181083e+02, -1.198745e+02
1.474530510013e+03, -1.177774e+02, -1.198451e+02
1.484218630053e+03, -1.165998e+02, -1.193239e+02
1.493906750092e+03, -1.131942e+02, -1.203425e+02
1.503594870132e+03, -1.129623e+02, -1.204272e+02
1.513282990172e+03, -1.161642e+02, -1.201468e+02
1.522971110211e+03, -1.185607e+02, -1.201892e+02
1.532659230251e+03, -1.184381e+02, -1.209074e+02
1.542347350291e+03, -1.184272e+02, -1.212531e+02
1.552035470331e+03, -1.172131e+02, -1.207290e+02
1.561723590370e+03, -1.163301e+02, -1.206611e+02
1.571411710410e+03, -1.180097e+02, -1.202145e+02
1.581099830450e+03, -1.187046e+02, -1.201632e+02
1.590787950489e+03, -1.180190e+02, -1.200686e+02
1.600476070529e+03, -1.178794e+02, -1.206104e+02
1.610164190569e+03, -1.153333e+02, -1.201982e+02
1.619852310608e+03, -1.129181e+02, -1.200810e+02
1.629540430648e+03, -1.149943e+02, -1.202955e+02
1.639228550688e+03, -1.179461e+02, -1.204576e+02
1.648916670727e+03, -1.189976e+02, -1.207646e+02
1.658604790767e+03, -1.187180e+02, -1.206788e+02
1.668292910807e+03, -1.188294e+02, -1.216818e+02
1.677981030846e+03, -1.177764e+02, -1.214489e+02
1.687669150886e+03, -1.178822e+02, -1.219600e+02
1.697357270926e+03, -1.191615e+02, -1.219019e+02
1.707045390965e+03, -1.195672e+02, -1.212818e+02
1.716733511005e+03, -1.193674e+02, -1.211080e+02
1.726421631045e+03, -1.185145e+02, -1.206238e+02
1.736109751084e+03, -1.167222e+02, -1.201378e+02
1.745797871124e+03, -1.164628e+02, -1.205698e+02
1.755485991164e+03, -1.184575e+02, -1.202490e+02
1.765174111204e+03, -1.182857e+02, -1.202455e+02
1.774862231243e+03, -1.183104e+02, -1.203438e+02
1.784550351283e+03, -1.187469e+02, -1.203633e+02
1.794238471323e+03, -1.181816e+02, -1.210150e+02
1.803926591362e+03, -1.172155e+02, -1.211743e+02
1.813614711402e+03, -1.184197e+02, -1.211922e+02
1.823302831442e+03, -1.188941e+02, -1.209012e+02
1.832990951481e+03, -1.186504e+02, -1.209811e+02
1.842679071521e+03, -1.180945e+02, -1.210956e+02
1.852367191561e+03, -1.161895e+02, -1.208449e+02
1.862055311600e+03, -1.151237e+02, -1.206281e+02
1.871743431640e+03, -1.173549e+02, -1.206816e+02
1.881431551680e+03, -1.187459e+02, -1.205260e+02
1.891119671719e+03, -1.190087e+02, -1.210927e+02
1.900807791759e+03, -1.188912e+02, -1.212061e+02
1.910495911799e+03, -1.186737e+02, -1.210320e+02
1.920184031838e+03, -1.187458e+02, -1.198179e+02
1.929872151878e+03, -1.192588e+02, -1.202946e+02
1.939560271918e+03, -1.184671e+02, -1.209352e+02
1.949248391958e+03, -1.181875e+02, -1.216613e+02
1.958936511997e+03, -1.189354e+02, -1.209247e+02
1.968624632037e+03, -1.178251e+02, -1.208306e+02
1.978312752077e+03, -1.164802e+02, -1.215871e+02
1.988000872116e+03, -1.175642e+02, -1.212793e+02
1.997688992156e+03, -1.188717e+02, -1.213381e+02
2.007377112196e+03, -1.177114e+02, -1.212119e+02
2.017065232235e+03, -1.182042e+02, -1.207515e+02
2.026753352275e+03, -1.173580e+02, -1.211878e+02
2.036441472315e+03, -1.160917e+02, -1.215386e+02
2.046129592354e+03, -1.171770e+02, -1.213504e+02
2.055817712394e+03, -1.179014e+02, -1.221695e+02
2.065505832434e+03, -1.178011e+02, -1.225251e+02
2.075193952473e+03, -1.180208e+02, -1.216383e+02
2.084882072513e+03, -1.176884e+02, -1.223619e+02
2.094570192553e+03, -1.139686e+02, -1.214370e+02
2.104258312592e+03, -1.132760e+02, -1.201872e+02
2.113946432632e+03, -1.168732e+02, -1.199464e+02
2.123634552672e+03, -1.177985e+02, -1.207039e+02
2.133322672711e+03, -1.185710e+02, -1.214374e+02
2.143010792751e+03, -1.185557e+02, -1.214691e+02
2.152698912791e+03, -1.188877e+02, -1.214325e+02
2.162387032831e+03, -1.179157e+02, -1.211943e+02
2.172075152870e+03, -1.176671e+02, -1.211550e+02
2.181763272910e+03, -1.185233e+02, -1.220230e+02
2.191451392950e+03, -1.184427e+02, -1.215185e+02
2.201139512989e+03, -1.182537e+02, -1.209544e+02
2.210827633029e+03, -1.158190e+02, -1.214321e+02
2.220515753069e+03, -1.135599e+02, -1.205261e+02
2.230203873108e+03, -1.158648e+02, -1.206453e+02
2.239891993148e+03, -1.175611e+02, -1.211579e+02
2.249580113188e+03, -1.175737e+02, -1.209319e+02
2.259268233227e+03, -1.184766e+02, -1.214167e+02
2.268956353267e+03, -1.184055e+02, -1.216596e+02
2.278644473307e+03, -1.173408e+02, -1.212329e+02
2.288332593346e+03, -1.176259e+02, -1.205076e+02
2.298020713386e+03, -1.181762e+02, -1.180901e+02
2.307708833426e+03, -1.185816e+02, -1.185059e+02
2.317396953465e+03, -1.188897e+02, -1.200785e+02
2.327085073505e+03, -1.172167e+02, -1.203742e+02
2.336773193545e+03, -1.147603e+02, -1.213805e+02
2.346461313584e+03, -1.154344e+02, -1.221763e+02
2.356149433624e+03, -1.169150e+02, -1.215694e+02
2.365837553664e+03, -1.179982e+02, -1.213186e+02
2.375525673704e+03, -1.190073e+02, -1.214438e+02
2.385213793743e+03, -1.186648e+02, -1.209292e+02
2.394901913783e+03, -1.184314e+02, -1.215577e+02
2.404590033823e+03, -1.182439e+02, -1.216351e+02
2.414278153862e+03, -1.183711e+02, -1.210889e+02
2.423966273902e+03, -1.179539e+02, -1.214406e+02
2.433654393942e+03, -1.184027e+02, -1.224504e+02
2.443342513981e+03, -1.184195e+02, -1.218716e+02
2.453030634021e+03, -1.165690e+02, -1.219129e+02
2.462718754061e+03, -1.164197e+02, -1.215807e+02
2.472406874100e+03, -1.174634e+02, -1.213454e+02
2.482094994140e+03, -1.180811e+02, -1.211254e+02
2.491783114180e+03, -1.184078e+02, -1.219774e+02
2.501471234219e+03, -1.182583e+02, -1.216468e+02
2.511159354259e+03, -1.184127e+02, -1.206002e+02
2.520847474299e+03, -1.175788e+02, -1.205335e+02
2.530535594338e+03, -1.178933e+02, -1.213675e+02
2.540223714378e+03, -1.187867e+02, -1.218348e+02
2.549911834418e+03, -1.195563e+02, -1.204617e+02
2.559599954458e+03, -1.188541e+02, -1.182586e+02
2.569288074497e+03, -1.180086e+02, -1.182173e+02
2.578976194537e+03, -1.169136e+02, -1.207903e+02
2.588664314577e+03, -1.170744e+02, -1.210276e+02
2.598352434616e+03, -1.182616e+02, -1.208121e+02
2.608040554656e+03, -1.185813e+02, -1.202620e+02
2.617728674696e+03, -1.189043e+02, -1.202050e+02
2.627416794735e+03, -1.177108e+02, -1.210503e+02
2.637104914775e+03, -1.163668e+02, -1.224550e+02
2.646793034815e+03, -1.169908e+02, -1.221434e+02
2.656481154854e+03, -1.186794e+02, -1.218980e+02
2.666169274894e+03, -1.181104e+02, -1.218210e+02
2.675857394934e+03, -1.181666e+02, -1.217280e+02
2.685545514973e+03, -1.178765e+02, -1.214902e+02
2.695233635013e+03, -1.160311e+02, -1.216014e+02
2.704921755053e+03, -1.156531e+02, -1.220591e+02
2.714609875092e+03, -1.175441e+02, -1.220449e+02
2.724297995132e+03, -1.187402e+02, -1.218164e+02
2.733986115172e+03, -1.194442e+02, -1.216953e+02
2.743674235211e+03, -1.191708e+02, -1.215715e+02
2.753362355251e+03, -1.193686e+02, -1.207476e+02
2.763050475291e+03, -1.196054e+02, -1.205250e+02
2.772738595331e+03, -1.187657e+02, -1.212164e+02
2.782426715370e+03, -1.174601e+02, -1.213519e+02
2.792114835410e+03, -1.177763e+02, -1.212712e+02
2.801802955450e+03, -1.182946e+02, -1.222786e+02
2.811491075489e+03, -1.177907e+02, -1.223079e+02
2.821179195529e+03, -1.172999e+02, -1.218221e+02
2.830867315569e+03, -1.180824e+02, -1.216874e+02
2.840555435608e+03, -1.184014e+02, -1.215970e+02
2.850243555648e+03, -1.184056e+02, -1.217652e+02
2.859931675688e+03, -1.182732e+02, -1.224419e+02
2.869619795727e+03, -1.173788e+02, -1.222763e+02
2.879307915767e+03, -1.179589e+02, -1.226800e+02
2.888996035807e+03, -1.186932e+02, -1.223944e+02
2.898684155846e+03, -1.193311e+02, -1.211060e+02
2.908372275886e+03, -1.192234e+02, -1.221554e+02
2.918060395926e+03, -1.188460e+02, -1.224037e+02
2.927748515965e+03, -1.175600e+02, -1.218422e+02
2.937436636005e+03, -1.159139e+02, -1.209029e+02
2.947124756045e+03, -1.173355e+02, -1.216616e+02
2.956812876084e+03, -1.186475e+02, -1.219993e+02
2.966500996124e+03, -1.190900e+02, -1.232264e+02
2.976189116164e+03, -1.185459e+02, -1.221303e+02
2.985877236204e+03, -1.190749e+02, -1.222354e+02
2.995565356243e+03, -1.191244e+02, -1.224552e+02
3.005253476283e+03, -1.184976e+02, -1.216274e+02
3.014941596323e+03, -1.189993e+02, -1.218518e+02
3.024629716362e+03, -1.194134e+02, -1.225986e+02
3.034317836402e+03, -1.189252e+02, -1.220206e+02
3.044005956442e+03, -1.188903e+02, -1.217760e+02
3.053694076481e+03, -1.180166e+02, -1.220824e+02
3.063382196521e+03, -1.174769e+02, -1.218410e+02
3.073070316561e+03, -1.182633e+02, -1.224353e+02
3.082758436600e+03, -1.190654e+02, -1.224796e+02
3.092446556640e+03, -1.190085e+02, -1.225695e+02
3.102134676680e+03, -1.194922e+02, -1.229149e+02
3.111822796719e+03, -1.186985e+02, -1.225555e+02
3.121510916759e+03, -1.185395e+02, -1.219267e+02
3.131199036799e+03, -1.183680e+02, -1.213498e+02
