% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:31:15 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -7.756342e+01, -1.199133e+02
1.021384571989e+03, -8.001889e+01, -1.207589e+02
1.123109832406e+03, -8.056665e+01, -1.210036e+02
1.224835092823e+03, -8.018227e+01, -1.199617e+02
1.326560353239e+03, -7.944294e+01, -1.210078e+02
1.428285613656e+03, -8.039354e+01, -1.220355e+02
1.530010874073e+03, -8.158399e+01, -1.213698e+02
1.631736134489e+03, -8.136227e+01, -1.214827e+02
1.733461394906e+03, -8.163276e+01, -1.214171e+02
1.835186655323e+03, -8.196009e+01, -1.213691e+02
1.936911915739e+03, -8.316580e+01, -1.217318e+02
2.038637176156e+03, -8.332005e+01, -1.224522e+02
2.140362436573e+03, -8.475838e+01, -1.214398e+02
2.242087696989e+03, -8.434472e+01, -1.207314e+02
2.343812957406e+03, -8.405317e+01, -1.206790e+02
2.445538217823e+03, -8.503027e+01, -1.216695e+02
2.547263478239e+03, -8.324475e+01, -1.214931e+02
2.648988738656e+03, -8.300526e+01, -1.217661e+02
2.750713999073e+03, -8.360974e+01, -1.222077e+02
2.852439259489e+03, -8.356352e+01, -1.225056e+02
2.954164519906e+03, -8.368412e+01, -1.223025e+02
3.055889780323e+03, -8.437784e+01, -1.228327e+02
3.157615040739e+03, -8.472970e+01, -1.223219e+02
3.259340301156e+03, -8.450183e+01, -1.235992e+02
3.361065561573e+03, -8.450436e+01, -1.234782e+02
3.462790821989e+03, -8.535355e+01, -1.227291e+02
3.564516082406e+03, -8.584459e+01, -1.222500e+02
3.666241342823e+03, -8.648264e+01, -1.221868e+02
3.767966603239e+03, -8.506278e+01, -1.222099e+02
3.869691863656e+03, -8.492142e+01, -1.220788e+02
3.971417124073e+03, -8.524890e+01, -1.229650e+02
