% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:31:43 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -9.069748e+01, -1.244563e+02
1.021326364328e+04, -9.100087e+01, -1.250432e+02
1.123051624745e+04, -9.111139e+01, -1.252831e+02
1.224776885162e+04, -9.135836e+01, -1.252403e+02
1.326502145578e+04, -9.201172e+01, -1.256612e+02
1.428227405995e+04, -9.268708e+01, -1.263614e+02
1.529952666412e+04, -9.313978e+01, -1.265971e+02
1.631677926828e+04, -9.349768e+01, -1.262364e+02
1.733403187245e+04, -9.379546e+01, -1.243699e+02
1.835128447662e+04, -9.372014e+01, -1.217327e+02
1.936853708078e+04, -9.405010e+01, -1.226189e+02
2.038578968495e+04, -9.437957e+01, -1.261077e+02
2.140304228912e+04, -9.468239e+01, -1.274331e+02
2.242029489328e+04, -9.503594e+01, -1.276013e+02
2.343754749745e+04, -9.514858e+01, -1.271424e+02
2.445480010162e+04, -9.522920e+01, -1.266410e+02
2.547205270578e+04, -9.546034e+01, -1.271251e+02
2.648930530995e+04, -9.546927e+01, -1.277762e+02
2.750655791412e+04, -9.536578e+01, -1.278353e+02
2.852381051828e+04, -9.548392e+01, -1.277817e+02
2.954106312245e+04, -9.569358e+01, -1.279225e+02
3.055831572662e+04, -9.603700e+01, -1.279734e+02
3.157556833078e+04, -9.630946e+01, -1.282251e+02
3.259282093495e+04, -9.625783e+01, -1.282626e+02
3.361007353912e+04, -9.633341e+01, -1.281303e+02
3.462732614328e+04, -9.648586e+01, -1.281388e+02
3.564457874745e+04, -9.645516e+01, -1.282809e+02
3.666183135162e+04, -9.663371e+01, -1.283802e+02
3.767908395578e+04, -9.682484e+01, -1.286468e+02
3.869633655995e+04, -9.672530e+01, -1.287399e+02
3.971358916412e+04, -9.668415e+01, -1.285435e+02
4.073084176828e+04, -9.683624e+01, -1.288373e+02
4.174809437245e+04, -9.698575e+01, -1.293156e+02
4.276534697662e+04, -9.724957e+01, -1.293590e+02
4.378259958078e+04, -9.731768e+01, -1.292746e+02
4.479985218495e+04, -9.720406e+01, -1.290050e+02
4.581710478912e+04, -9.718673e+01, -1.290912e+02
4.683435739328e+04, -9.717559e+01, -1.293326e+02
4.785160999745e+04, -9.751788e+01, -1.294278e+02
4.886886260162e+04, -9.739889e+01, -1.295314e+02
4.988611520578e+04, -9.735715e+01, -1.296749e+02
5.090336780995e+04, -9.739022e+01, -1.295148e+02
5.192062041412e+04, -9.763828e+01, -1.295143e+02
5.293787301828e+04, -9.777281e+01, -1.297548e+02
5.395512562245e+04, -9.753937e+01, -1.295630e+02
5.497237822662e+04, -9.735974e+01, -1.293540e+02
5.598963083078e+04, -9.747378e+01, -1.294244e+02
5.700688343495e+04, -9.759110e+01, -1.295756e+02
5.802413603912e+04, -9.771864e+01, -1.298099e+02
5.904138864328e+04, -9.778174e+01, -1.299488e+02
6.005864124745e+04, -9.798688e+01, -1.297577e+02
6.107589385162e+04, -9.803522e+01, -1.295497e+02
6.209314645578e+04, -9.783148e+01, -1.295577e+02
6.311039905995e+04, -9.780678e+01, -1.296495e+02
6.412765166412e+04, -9.807914e+01, -1.297875e+02
6.514490426828e+04, -9.842746e+01, -1.297083e+02
6.616215687245e+04, -9.836264e+01, -1.296393e+02
6.717940947662e+04, -9.832157e+01, -1.295727e+02
6.819666208078e+04, -9.841211e+01, -1.294682e+02
6.921391468495e+04, -9.831605e+01, -1.295552e+02
7.023116728912e+04, -9.821591e+01, -1.297351e+02
7.124841989328e+04, -9.840449e+01, -1.298080e+02
7.226567249745e+04, -9.856061e+01, -1.297739e+02
7.328292510162e+04, -9.822635e+01, -1.298068e+02
7.430017770578e+04, -9.804821e+01, -1.297937e+02
7.531743030995e+04, -9.825480e+01, -1.297145e+02
7.633468291412e+04, -9.817357e+01, -1.298605e+02
7.735193551828e+04, -9.794542e+01, -1.302110e+02
7.836918812245e+04, -9.784118e+01, -1.302518e+02
7.938644072662e+04, -9.818753e+01, -1.299724e+02
8.040369333078e+04, -9.845611e+01, -1.299476e+02
8.142094593495e+04, -9.838305e+01, -1.302893e+02
8.243819853912e+04, -9.810439e+01, -1.302530e+02
8.345545114328e+04, -9.732150e+01, -1.299298e+02
8.447270374745e+04, -9.397129e+01, -1.296913e+02
8.548995635162e+04, -8.876721e+01, -1.296478e+02
8.650720895578e+04, -8.381784e+01, -1.292220e+02
8.752446155995e+04, -8.090610e+01, -1.287054e+02
8.854171416412e+04, -7.940824e+01, -1.281449e+02
8.955896676828e+04, -7.738320e+01, -1.270556e+02
9.057621937245e+04, -7.538758e+01, -1.262572e+02
9.159347197662e+04, -7.409688e+01, -1.259834e+02
9.261072458078e+04, -7.475334e+01, -1.261762e+02
9.362797718495e+04, -7.593224e+01, -1.267909e+02
9.464522978912e+04, -7.749807e+01, -1.277948e+02
9.566248239328e+04, -8.065022e+01, -1.286635e+02
9.667973499745e+04, -8.334853e+01, -1.290585e+02
9.769698760162e+04, -8.425322e+01, -1.293288e+02
9.871424020578e+04, -8.500007e+01, -1.292834e+02
9.973149280995e+04, -8.613164e+01, -1.293262e+02
1.007487454141e+05, -8.901792e+01, -1.295184e+02
1.017659980183e+05, -9.261121e+01, -1.296467e+02
1.027832506225e+05, -9.608428e+01, -1.297394e+02
1.038005032266e+05, -9.829987e+01, -1.298911e+02
1.048177558308e+05, -9.848070e+01, -1.300848e+02
1.058350084350e+05, -9.759598e+01, -1.302582e+02
1.068522610391e+05, -9.421961e+01, -1.302290e+02
1.078695136433e+05, -8.948778e+01, -1.303081e+02
1.088867662475e+05, -8.552485e+01, -1.302417e+02
1.099040188516e+05, -8.288820e+01, -1.301716e+02
1.109212714558e+05, -8.181736e+01, -1.302811e+02
1.119385240600e+05, -8.275052e+01, -1.305074e+02
1.129557766641e+05, -8.649578e+01, -1.305297e+02
1.139730292683e+05, -9.301503e+01, -1.302457e+02
1.149902818725e+05, -9.779437e+01, -1.300860e+02
1.160075344766e+05, -9.896586e+01, -1.302231e+02
1.170247870808e+05, -9.910861e+01, -1.300457e+02
1.180420396850e+05, -9.902129e+01, -1.300047e+02
1.190592922891e+05, -9.902095e+01, -1.302302e+02
1.200765448933e+05, -9.896404e+01, -1.301755e+02
1.210937974975e+05, -9.892453e+01, -1.301219e+02
1.221110501016e+05, -9.916767e+01, -1.302531e+02
1.231283027058e+05, -9.931463e+01, -1.301135e+02
1.241455553100e+05, -9.913312e+01, -1.302963e+02
1.251628079141e+05, -9.921932e+01, -1.305441e+02
1.261800605183e+05, -9.934924e+01, -1.305519e+02
1.271973131225e+05, -9.905763e+01, -1.304862e+02
1.282145657266e+05, -9.911201e+01, -1.304179e+02
1.292318183308e+05, -9.901158e+01, -1.304315e+02
1.302490709350e+05, -9.879157e+01, -1.305250e+02
1.312663235391e+05, -9.903512e+01, -1.303753e+02
1.322835761433e+05, -9.899108e+01, -1.303896e+02
1.333008287475e+05, -9.926746e+01, -1.303134e+02
1.343180813516e+05, -9.945501e+01, -1.300220e+02
1.353353339558e+05, -9.941240e+01, -1.301292e+02
1.363525865600e+05, -9.955366e+01, -1.304891e+02
1.373698391641e+05, -9.958045e+01, -1.306348e+02
1.383870917683e+05, -9.938067e+01, -1.303723e+02
1.394043443725e+05, -9.928426e+01, -1.302050e+02
1.404215969766e+05, -9.919727e+01, -1.300871e+02
1.414388495808e+05, -9.894931e+01, -1.301733e+02
1.424561021850e+05, -9.918959e+01, -1.304054e+02
1.434733547891e+05, -9.934241e+01, -1.303921e+02
1.444906073933e+05, -9.935740e+01, -1.302870e+02
1.455078599975e+05, -9.913878e+01, -1.301859e+02
1.465251126016e+05, -9.898798e+01, -1.303586e+02
1.475423652058e+05, -9.900909e+01, -1.304546e+02
1.485596178100e+05, -9.908816e+01, -1.303843e+02
1.495768704141e+05, -9.913118e+01, -1.301980e+02
1.505941230183e+05, -9.919591e+01, -1.300708e+02
1.516113756225e+05, -9.940262e+01, -1.304067e+02
1.526286282266e+05, -9.945939e+01, -1.305480e+02
1.536458808308e+05, -9.961590e+01, -1.303294e+02
1.546631334350e+05, -9.943495e+01, -1.302697e+02
1.556803860391e+05, -9.914290e+01, -1.303864e+02
1.566976386433e+05, -9.912430e+01, -1.304593e+02
1.577148912475e+05, -9.918797e+01, -1.304612e+02
1.587321438516e+05, -9.924408e+01, -1.301988e+02
1.597493964558e+05, -9.927624e+01, -1.304176e+02
1.607666490600e+05, -9.927741e+01, -1.305725e+02
1.617839016641e+05, -9.922267e+01, -1.305872e+02
1.628011542683e+05, -9.930263e+01, -1.304157e+02
1.638184068725e+05, -9.936322e+01, -1.304870e+02
1.648356594766e+05, -9.945833e+01, -1.306464e+02
1.658529120808e+05, -9.944004e+01, -1.303608e+02
1.668701646850e+05, -9.924239e+01, -1.300779e+02
