% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 1.00 kHz, stop freq 100.00 kHz, RBW 205.4 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 11:05:43 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196593115727e+02, -9.371896e+01, -1.197512e+02
1.021384571989e+03, -9.453331e+01, -1.198830e+02
1.123109832406e+03, -9.404576e+01, -1.196187e+02
1.224835092823e+03, -9.315832e+01, -1.205015e+02
1.326560353239e+03, -9.254573e+01, -1.209451e+02
1.428285613656e+03, -9.260407e+01, -1.214066e+02
1.530010874073e+03, -9.306035e+01, -1.211904e+02
1.631736134489e+03, -9.201018e+01, -1.206824e+02
1.733461394906e+03, -9.260963e+01, -1.218401e+02
1.835186655323e+03, -9.220419e+01, -1.214757e+02
1.936911915739e+03, -9.139547e+01, -1.216163e+02
2.038637176156e+03, -9.112302e+01, -1.214591e+02
2.140362436573e+03, -9.211587e+01, -1.211612e+02
2.242087696989e+03, -9.142395e+01, -1.221108e+02
2.343812957406e+03, -9.046297e+01, -1.221810e+02
2.445538217823e+03, -9.082969e+01, -1.228924e+02
2.547263478239e+03, -9.082466e+01, -1.232099e+02
2.648988738656e+03, -9.035485e+01, -1.234053e+02
2.750713999073e+03, -9.076967e+01, -1.226169e+02
2.852439259489e+03, -8.947887e+01, -1.224203e+02
2.954164519906e+03, -8.928042e+01, -1.232033e+02
3.055889780323e+03, -8.965151e+01, -1.224610e+02
3.157615040739e+03, -8.842839e+01, -1.220061e+02
3.259340301156e+03, -8.830818e+01, -1.219385e+02
3.361065561573e+03, -8.767695e+01, -1.228341e+02
3.462790821989e+03, -8.819055e+01, -1.229499e+02
3.564516082406e+03, -8.769887e+01, -1.232627e+02
3.666241342823e+03, -8.682519e+01, -1.228124e+02
3.767966603239e+03, -8.676512e+01, -1.222654e+02
3.869691863656e+03, -8.648791e+01, -1.223576e+02
3.971417124073e+03, -8.508040e+01, -1.224896e+02
4.073142384489e+03, -8.479242e+01, -1.217640e+02
4.174867644906e+03, -8.439930e+01, -1.220829e+02
4.276592905323e+03, -8.430517e+01, -1.233291e+02
4.378318165739e+03, -8.530659e+01, -1.233477e+02
4.480043426156e+03, -8.371439e+01, -1.229617e+02
