% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 11:06:12 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -8.133290e+01, -1.250046e+02
1.021326364328e+04, -8.420849e+01, -1.257866e+02
1.123051624745e+04, -8.605182e+01, -1.261781e+02
1.224776885162e+04, -8.729595e+01, -1.263800e+02
1.326502145578e+04, -8.810831e+01, -1.268383e+02
1.428227405995e+04, -8.853052e+01, -1.272070e+02
1.529952666412e+04, -8.905262e+01, -1.273131e+02
1.631677926828e+04, -8.978120e+01, -1.269375e+02
1.733403187245e+04, -9.007168e+01, -1.246619e+02
1.835128447662e+04, -9.024252e+01, -1.220835e+02
1.936853708078e+04, -9.070662e+01, -1.231502e+02
2.038578968495e+04, -9.095022e+01, -1.267566e+02
2.140304228912e+04, -9.101201e+01, -1.281503e+02
2.242029489328e+04, -9.126786e+01, -1.283572e+02
2.343754749745e+04, -9.120427e+01, -1.277361e+02
2.445480010162e+04, -9.128277e+01, -1.270373e+02
2.547205270578e+04, -9.144811e+01, -1.275233e+02
2.648930530995e+04, -9.124065e+01, -1.280405e+02
2.750655791412e+04, -9.128296e+01, -1.282199e+02
2.852381051828e+04, -9.157170e+01, -1.281955e+02
2.954106312245e+04, -9.195255e+01, -1.281774e+02
3.055831572662e+04, -9.198140e+01, -1.283083e+02
3.157556833078e+04, -9.184348e+01, -1.286178e+02
3.259282093495e+04, -9.168151e+01, -1.286799e+02
3.361007353912e+04, -9.175959e+01, -1.284691e+02
3.462732614328e+04, -9.215477e+01, -1.285876e+02
3.564457874745e+04, -9.226624e+01, -1.287369e+02
3.666183135162e+04, -9.247727e+01, -1.290722e+02
3.767908395578e+04, -9.266974e+01, -1.292120e+02
3.869633655995e+04, -9.262536e+01, -1.292490e+02
3.971358916412e+04, -9.243377e+01, -1.290902e+02
4.073084176828e+04, -9.253086e+01, -1.290836e+02
4.174809437245e+04, -9.253342e+01, -1.291500e+02
4.276534697662e+04, -9.253105e+01, -1.291297e+02
4.378259958078e+04, -9.244742e+01, -1.292327e+02
4.479985218495e+04, -9.236786e+01, -1.294330e+02
4.581710478912e+04, -9.280792e+01, -1.294944e+02
4.683435739328e+04, -9.321431e+01, -1.295421e+02
4.785160999745e+04, -9.307251e+01, -1.295420e+02
4.886886260162e+04, -9.306086e+01, -1.293580e+02
4.988611520578e+04, -9.307198e+01, -1.294662e+02
5.090336780995e+04, -9.284054e+01, -1.296660e+02
5.192062041412e+04, -9.276401e+01, -1.296724e+02
5.293787301828e+04, -9.332903e+01, -1.295688e+02
5.395512562245e+04, -9.356413e+01, -1.297249e+02
5.497237822662e+04, -9.362943e+01, -1.297213e+02
5.598963083078e+04, -9.387741e+01, -1.295782e+02
5.700688343495e+04, -9.376988e+01, -1.295318e+02
5.802413603912e+04, -9.346706e+01, -1.297449e+02
5.904138864328e+04, -9.357676e+01, -1.297656e+02
6.005864124745e+04, -9.370802e+01, -1.298431e+02
6.107589385162e+04, -9.403714e+01, -1.300360e+02
6.209314645578e+04, -9.396912e+01, -1.299708e+02
