% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10 Hz, stop freq 1.00 kHz, RBW 2.070 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 11:04:44 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.416872935910e+00, -1.003695e+02, -1.043101e+02
1.044232919011e+01, -1.001843e+02, -1.055830e+02
1.146778544431e+01, -9.966840e+01, -1.060084e+02
1.249324169851e+01, -9.989535e+01, -1.057407e+02
1.351869795271e+01, -9.997584e+01, -1.067724e+02
1.454415420691e+01, -9.950015e+01, -1.065162e+02
1.556961046111e+01, -9.788719e+01, -1.055116e+02
1.659506671531e+01, -9.589173e+01, -1.055070e+02
1.762052296951e+01, -8.999468e+01, -1.060127e+02
1.864597922371e+01, -8.491331e+01, -1.065903e+02
1.967143547791e+01, -8.470256e+01, -1.073229e+02
2.069689173211e+01, -8.936989e+01, -1.071687e+02
2.172234798631e+01, -9.241190e+01, -1.070238e+02
2.274780424051e+01, -9.405605e+01, -1.068802e+02
2.377326049471e+01, -9.379172e+01, -1.082799e+02
2.479871674891e+01, -9.194905e+01, -1.090927e+02
2.582417300311e+01, -9.087763e+01, -1.097010e+02
2.684962925731e+01, -9.286634e+01, -1.097223e+02
2.787508551152e+01, -9.293207e+01, -1.089723e+02
2.890054176572e+01, -9.078720e+01, -1.091898e+02
2.992599801992e+01, -9.035353e+01, -1.094100e+02
3.095145427412e+01, -9.123966e+01, -1.083842e+02
3.197691052832e+01, -8.655014e+01, -1.087261e+02
3.300236678252e+01, -8.169988e+01, -1.098594e+02
3.402782303672e+01, -8.231232e+01, -1.099158e+02
3.505327929092e+01, -8.901521e+01, -1.094186e+02
3.607873554512e+01, -9.399813e+01, -1.093620e+02
3.710419179932e+01, -9.436105e+01, -1.091041e+02
3.812964805352e+01, -9.486184e+01, -1.090735e+02
3.915510430772e+01, -9.485157e+01, -1.091418e+02
4.018056056192e+01, -9.461911e+01, -1.097216e+02
4.120601681612e+01, -9.379097e+01, -1.094229e+02
4.223147307032e+01, -8.724377e+01, -1.090028e+02
4.325692932452e+01, -7.727362e+01, -1.095817e+02
4.428238557872e+01, -7.329319e+01, -1.104366e+02
4.530784183292e+01, -7.501787e+01, -1.103431e+02
4.633329808712e+01, -8.231144e+01, -1.116353e+02
4.735875434132e+01, -8.604236e+01, -1.112245e+02
4.838421059552e+01, -8.648791e+01, -1.103628e+02
4.940966684972e+01, -8.574910e+01, -1.102903e+02
5.043512310392e+01, -8.562014e+01, -1.102097e+02
5.146057935812e+01, -8.264941e+01, -1.107667e+02
5.248603561232e+01, -8.177130e+01, -1.107992e+02
5.351149186652e+01, -8.220907e+01, -1.107350e+02
5.453694812072e+01, -8.593024e+01, -1.107202e+02
5.556240437492e+01, -8.974290e+01, -1.111366e+02
5.658786062912e+01, -8.787707e+01, -1.112869e+02
5.761331688332e+01, -8.257802e+01, -1.117652e+02
5.863877313752e+01, -7.693088e+01, -1.080180e+02
5.966422939172e+01, -7.231685e+01, -1.039859e+02
6.068968564592e+01, -7.315650e+01, -1.047799e+02
6.171514190012e+01, -8.011140e+01, -1.100202e+02
6.274059815432e+01, -8.888587e+01, -1.117021e+02
6.376605440852e+01, -8.928119e+01, -1.109578e+02
6.479151066272e+01, -8.664826e+01, -1.106759e+02
6.581696691693e+01, -8.537186e+01, -1.111806e+02
6.684242317113e+01, -8.877624e+01, -1.117813e+02
6.786787942533e+01, -9.290820e+01, -1.122530e+02
6.889333567953e+01, -9.259950e+01, -1.125173e+02
6.991879193373e+01, -9.221559e+01, -1.119247e+02
7.094424818793e+01, -9.249255e+01, -1.116368e+02
7.196970444213e+01, -9.147245e+01, -1.117814e+02
7.299516069633e+01, -8.969671e+01, -1.121086e+02
7.402061695053e+01, -8.791037e+01, -1.124329e+02
7.504607320473e+01, -7.882211e+01, -1.131461e+02
7.607152945893e+01, -6.566961e+01, -1.119564e+02
7.709698571313e+01, -5.772091e+01, -1.115356e+02
7.812244196733e+01, -5.609590e+01, -1.117863e+02
7.914789822153e+01, -6.011889e+01, -1.124402e+02
8.017335447573e+01, -7.084648e+01, -1.125800e+02
8.119881072993e+01, -8.440334e+01, -1.121702e+02
8.222426698413e+01, -8.887117e+01, -1.123714e+02
8.324972323833e+01, -8.906321e+01, -1.121133e+02
8.427517949253e+01, -8.917255e+01, -1.119675e+02
8.530063574673e+01, -9.017921e+01, -1.120568e+02
8.632609200093e+01, -9.167920e+01, -1.122394e+02
8.735154825513e+01, -9.131165e+01, -1.125835e+02
8.837700450933e+01, -8.961451e+01, -1.126543e+02
8.940246076353e+01, -8.878396e+01, -1.123432e+02
9.042791701773e+01, -8.961558e+01, -1.127261e+02
9.145337327193e+01, -9.078068e+01, -1.125052e+02
9.247882952613e+01, -8.993606e+01, -1.119770e+02
9.350428578033e+01, -8.951642e+01, -1.129464e+02
9.452974203453e+01, -8.797889e+01, -1.126463e+02
9.555519828873e+01, -8.312770e+01, -1.131448e+02
9.658065454293e+01, -7.931425e+01, -1.125804e+02
9.760611079713e+01, -7.895130e+01, -1.126279e+02
9.863156705133e+01, -8.028994e+01, -1.123432e+02
9.965702330553e+01, -7.928019e+01, -1.124906e+02
1.006824795597e+02, -8.079227e+01, -1.122161e+02
1.017079358139e+02, -8.460528e+01, -1.130405e+02
1.027333920681e+02, -8.385963e+01, -1.129358e+02
1.037588483223e+02, -8.371512e+01, -1.133024e+02
1.047843045765e+02, -8.491982e+01, -1.131347e+02
1.058097608307e+02, -8.545676e+01, -1.120230e+02
1.068352170849e+02, -8.519007e+01, -1.122204e+02
1.078606733391e+02, -8.406330e+01, -1.131801e+02
1.088861295933e+02, -8.361310e+01, -1.126580e+02
1.099115858475e+02, -8.186293e+01, -1.128771e+02
1.109370421017e+02, -7.923539e+01, -1.130022e+02
1.119624983559e+02, -8.027942e+01, -1.135433e+02
1.129879546101e+02, -8.501077e+01, -1.136319e+02
1.140134108643e+02, -8.774561e+01, -1.138761e+02
1.150388671185e+02, -8.791405e+01, -1.137813e+02
1.160643233727e+02, -8.945814e+01, -1.129907e+02
1.170897796269e+02, -9.045707e+01, -1.131722e+02
1.181152358811e+02, -9.124246e+01, -1.134363e+02
1.191406921353e+02, -8.733623e+01, -1.139613e+02
1.201661483895e+02, -8.490632e+01, -1.142192e+02
1.211916046437e+02, -7.681399e+01, -1.137320e+02
1.222170608979e+02, -7.297129e+01, -1.133682e+02
1.232425171521e+02, -7.476132e+01, -1.131632e+02
1.242679734063e+02, -8.207942e+01, -1.138435e+02
1.252934296605e+02, -8.601206e+01, -1.129024e+02
1.263188859147e+02, -8.684655e+01, -1.130011e+02
1.273443421689e+02, -8.706361e+01, -1.130034e+02
1.283697984231e+02, -8.733430e+01, -1.139158e+02
1.293952546773e+02, -8.506136e+01, -1.132701e+02
1.304207109315e+02, -8.329773e+01, -1.124815e+02
1.314461671857e+02, -8.335811e+01, -1.131066e+02
1.324716234399e+02, -8.679364e+01, -1.137508e+02
1.334970796941e+02, -9.043938e+01, -1.138729e+02
1.345225359483e+02, -8.817191e+01, -1.134246e+02
1.355479922025e+02, -8.442646e+01, -1.135543e+02
1.365734484567e+02, -8.171618e+01, -1.131464e+02
1.375989047109e+02, -8.345632e+01, -1.134471e+02
1.386243609651e+02, -8.850098e+01, -1.134308e+02
1.396498172193e+02, -9.065642e+01, -1.141459e+02
1.406752734735e+02, -8.930814e+01, -1.139436e+02
1.417007297277e+02, -8.827876e+01, -1.143911e+02
1.427261859819e+02, -8.729581e+01, -1.145505e+02
1.437516422361e+02, -8.651639e+01, -1.136310e+02
1.447770984903e+02, -8.869182e+01, -1.130539e+02
1.458025547445e+02, -9.219127e+01, -1.126780e+02
1.468280109987e+02, -9.239548e+01, -1.138282e+02
1.478534672529e+02, -9.169098e+01, -1.141324e+02
1.488789235071e+02, -9.116832e+01, -1.150543e+02
