% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 100 Hz, stop freq 10.00 kHz, RBW 19.56 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:52:57 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.881746437814e+01, -1.134021e+02, -1.122428e+02
1.085055844178e+02, -1.145845e+02, -1.130630e+02
1.181937044575e+02, -1.157361e+02, -1.139342e+02
1.278818244972e+02, -1.156239e+02, -1.145375e+02
1.375699445369e+02, -1.156163e+02, -1.137133e+02
1.472580645766e+02, -1.151900e+02, -1.139207e+02
1.569461846162e+02, -1.156356e+02, -1.147187e+02
1.666343046559e+02, -1.157724e+02, -1.151001e+02
1.763224246956e+02, -1.163783e+02, -1.151524e+02
1.860105447353e+02, -1.159528e+02, -1.155522e+02
1.956986647750e+02, -1.168046e+02, -1.158135e+02
2.053867848147e+02, -1.166105e+02, -1.159639e+02
2.150749048543e+02, -1.174968e+02, -1.164281e+02
2.247630248940e+02, -1.175859e+02, -1.159300e+02
2.344511449337e+02, -1.177066e+02, -1.157180e+02
2.441392649734e+02, -1.173767e+02, -1.159038e+02
2.538273850131e+02, -1.162431e+02, -1.170890e+02
2.635155050527e+02, -1.166744e+02, -1.172013e+02
2.732036250924e+02, -1.179985e+02, -1.173074e+02
2.828917451321e+02, -1.182197e+02, -1.160384e+02
2.925798651718e+02, -1.181644e+02, -1.160900e+02
3.022679852115e+02, -1.188146e+02, -1.160760e+02
3.119561052512e+02, -1.181793e+02, -1.164932e+02
3.216442252908e+02, -1.172492e+02, -1.162609e+02
3.313323453305e+02, -1.170019e+02, -1.160688e+02
3.410204653702e+02, -1.173536e+02, -1.171387e+02
3.507085854099e+02, -1.176423e+02, -1.169321e+02
3.603967054496e+02, -1.179156e+02, -1.167519e+02
3.700848254893e+02, -1.185933e+02, -1.178360e+02
3.797729455289e+02, -1.187664e+02, -1.178994e+02
3.894610655686e+02, -1.196950e+02, -1.180016e+02
3.991491856083e+02, -1.197197e+02, -1.174841e+02
4.088373056480e+02, -1.192313e+02, -1.166036e+02
4.185254256877e+02, -1.191700e+02, -1.168108e+02
4.282135457274e+02, -1.192114e+02, -1.169034e+02
4.379016657670e+02, -1.197464e+02, -1.173800e+02
4.475897858067e+02, -1.194893e+02, -1.184443e+02
4.572779058464e+02, -1.195140e+02, -1.193995e+02
4.669660258861e+02, -1.194670e+02, -1.195259e+02
4.766541459258e+02, -1.189419e+02, -1.187722e+02
4.863422659654e+02, -1.186137e+02, -1.176507e+02
4.960303860051e+02, -1.201345e+02, -1.180312e+02
5.057185060448e+02, -1.205384e+02, -1.184867e+02
5.154066260845e+02, -1.201084e+02, -1.180290e+02
5.250947461242e+02, -1.204731e+02, -1.181933e+02
5.347828661639e+02, -1.191393e+02, -1.185865e+02
5.444709862035e+02, -1.203105e+02, -1.187704e+02
5.541591062432e+02, -1.208468e+02, -1.186418e+02
5.638472262829e+02, -1.196980e+02, -1.187756e+02
5.735353463226e+02, -1.194191e+02, -1.187291e+02
5.832234663623e+02, -1.202668e+02, -1.182841e+02
5.929115864020e+02, -1.210527e+02, -1.179614e+02
6.025997064416e+02, -1.209477e+02, -1.191294e+02
6.122878264813e+02, -1.208022e+02, -1.192927e+02
6.219759465210e+02, -1.207098e+02, -1.187873e+02
6.316640665607e+02, -1.202043e+02, -1.179627e+02
6.413521866004e+02, -1.209881e+02, -1.181223e+02
6.510403066400e+02, -1.214719e+02, -1.185007e+02
6.607284266797e+02, -1.208650e+02, -1.186426e+02
6.704165467194e+02, -1.212849e+02, -1.195122e+02
6.801046667591e+02, -1.216264e+02, -1.194709e+02
6.897927867988e+02, -1.201271e+02, -1.195900e+02
6.994809068385e+02, -1.198469e+02, -1.190234e+02
7.091690268781e+02, -1.205681e+02, -1.187123e+02
7.188571469178e+02, -1.211941e+02, -1.191547e+02
7.285452669575e+02, -1.218356e+02, -1.197961e+02
7.382333869972e+02, -1.225192e+02, -1.196368e+02
7.479215070369e+02, -1.218042e+02, -1.200975e+02
7.576096270766e+02, -1.210941e+02, -1.192544e+02
7.672977471162e+02, -1.213274e+02, -1.187934e+02
7.769858671559e+02, -1.209859e+02, -1.179772e+02
7.866739871956e+02, -1.216883e+02, -1.183148e+02
7.963621072353e+02, -1.220057e+02, -1.193130e+02
8.060502272750e+02, -1.211114e+02, -1.194924e+02
8.157383473147e+02, -1.213040e+02, -1.191226e+02
8.254264673543e+02, -1.216882e+02, -1.184609e+02
8.351145873940e+02, -1.217862e+02, -1.186569e+02
8.448027074337e+02, -1.220182e+02, -1.194371e+02
8.544908274734e+02, -1.221993e+02, -1.190377e+02
8.641789475131e+02, -1.221332e+02, -1.193945e+02
8.738670675527e+02, -1.225227e+02, -1.201072e+02
8.835551875924e+02, -1.222819e+02, -1.203684e+02
8.932433076321e+02, -1.217505e+02, -1.201553e+02
9.029314276718e+02, -1.218072e+02, -1.199123e+02
9.126195477115e+02, -1.209142e+02, -1.186912e+02
9.223076677512e+02, -1.214147e+02, -1.193332e+02
9.319957877908e+02, -1.219977e+02, -1.194400e+02
9.416839078305e+02, -1.228219e+02, -1.196283e+02
9.513720278702e+02, -1.240388e+02, -1.201089e+02
9.610601479099e+02, -1.227187e+02, -1.192528e+02
9.707482679496e+02, -1.223886e+02, -1.196644e+02
9.804363879893e+02, -1.218326e+02, -1.192787e+02
9.901245080289e+02, -1.214715e+02, -1.189593e+02
9.998126280686e+02, -1.212942e+02, -1.192496e+02
1.009500748108e+03, -1.213331e+02, -1.196031e+02
1.019188868148e+03, -1.227992e+02, -1.200823e+02
1.028876988188e+03, -1.231058e+02, -1.202755e+02
1.038565108227e+03, -1.221111e+02, -1.203976e+02
1.048253228267e+03, -1.218355e+02, -1.206096e+02
1.057941348307e+03, -1.217016e+02, -1.209651e+02
1.067629468346e+03, -1.215015e+02, -1.200521e+02
1.077317588386e+03, -1.221439e+02, -1.195615e+02
1.087005708426e+03, -1.214827e+02, -1.199703e+02
1.096693828465e+03, -1.216190e+02, -1.192552e+02
1.106381948505e+03, -1.216239e+02, -1.190913e+02
1.116070068545e+03, -1.226083e+02, -1.196077e+02
1.125758188584e+03, -1.221372e+02, -1.200491e+02
1.135446308624e+03, -1.219523e+02, -1.205793e+02
1.145134428664e+03, -1.220629e+02, -1.202202e+02
1.154822548704e+03, -1.219648e+02, -1.206175e+02
1.164510668743e+03, -1.219739e+02, -1.207058e+02
1.174198788783e+03, -1.230141e+02, -1.204738e+02
1.183886908823e+03, -1.231122e+02, -1.212633e+02
1.193575028862e+03, -1.230314e+02, -1.208849e+02
1.203263148902e+03, -1.226210e+02, -1.200999e+02
1.212951268942e+03, -1.220217e+02, -1.194584e+02
1.222639388981e+03, -1.216741e+02, -1.189515e+02
1.232327509021e+03, -1.219020e+02, -1.203715e+02
1.242015629061e+03, -1.223461e+02, -1.205373e+02
1.251703749100e+03, -1.225535e+02, -1.203264e+02
1.261391869140e+03, -1.227815e+02, -1.198751e+02
1.271079989180e+03, -1.229251e+02, -1.192331e+02
1.280768109219e+03, -1.227297e+02, -1.187348e+02
1.290456229259e+03, -1.234370e+02, -1.188839e+02
1.300144349299e+03, -1.243494e+02, -1.198138e+02
1.309832469338e+03, -1.233227e+02, -1.209835e+02
1.319520589378e+03, -1.229250e+02, -1.203683e+02
1.329208709418e+03, -1.228507e+02, -1.201881e+02
1.338896829458e+03, -1.232363e+02, -1.212757e+02
1.348584949497e+03, -1.237172e+02, -1.206891e+02
1.358273069537e+03, -1.226229e+02, -1.199759e+02
1.367961189577e+03, -1.219488e+02, -1.203105e+02
1.377649309616e+03, -1.225465e+02, -1.200726e+02
1.387337429656e+03, -1.234989e+02, -1.203878e+02
1.397025549696e+03, -1.235193e+02, -1.211102e+02
1.406713669735e+03, -1.229377e+02, -1.212825e+02
1.416401789775e+03, -1.229938e+02, -1.202112e+02
1.426089909815e+03, -1.233689e+02, -1.197732e+02
1.435778029854e+03, -1.238625e+02, -1.198485e+02
1.445466149894e+03, -1.241629e+02, -1.208445e+02
1.455154269934e+03, -1.234794e+02, -1.209572e+02
1.464842389973e+03, -1.230489e+02, -1.205865e+02
1.474530510013e+03, -1.228138e+02, -1.208763e+02
1.484218630053e+03, -1.225427e+02, -1.206805e+02
1.493906750092e+03, -1.224912e+02, -1.203541e+02
1.503594870132e+03, -1.231669e+02, -1.202894e+02
1.513282990172e+03, -1.232709e+02, -1.200654e+02
1.522971110211e+03, -1.228745e+02, -1.208614e+02
1.532659230251e+03, -1.225714e+02, -1.211048e+02
1.542347350291e+03, -1.234303e+02, -1.215828e+02
1.552035470331e+03, -1.239892e+02, -1.216207e+02
1.561723590370e+03, -1.237108e+02, -1.224934e+02
1.571411710410e+03, -1.238688e+02, -1.217040e+02
1.581099830450e+03, -1.239174e+02, -1.210807e+02
1.590787950489e+03, -1.232305e+02, -1.207111e+02
1.600476070529e+03, -1.227876e+02, -1.197456e+02
1.610164190569e+03, -1.218439e+02, -1.196901e+02
1.619852310608e+03, -1.217941e+02, -1.197449e+02
1.629540430648e+03, -1.222982e+02, -1.204478e+02
1.639228550688e+03, -1.235833e+02, -1.203725e+02
1.648916670727e+03, -1.233611e+02, -1.209922e+02
1.658604790767e+03, -1.232062e+02, -1.210939e+02
1.668292910807e+03, -1.228711e+02, -1.215392e+02
1.677981030846e+03, -1.232351e+02, -1.207798e+02
1.687669150886e+03, -1.238429e+02, -1.211026e+02
1.697357270926e+03, -1.234416e+02, -1.212883e+02
1.707045390965e+03, -1.235565e+02, -1.208169e+02
1.716733511005e+03, -1.238902e+02, -1.199382e+02
1.726421631045e+03, -1.234000e+02, -1.199061e+02
1.736109751084e+03, -1.237071e+02, -1.200883e+02
1.745797871124e+03, -1.231333e+02, -1.203113e+02
1.755485991164e+03, -1.238639e+02, -1.210589e+02
1.765174111204e+03, -1.227632e+02, -1.217685e+02
1.774862231243e+03, -1.224555e+02, -1.207997e+02
1.784550351283e+03, -1.227755e+02, -1.212179e+02
1.794238471323e+03, -1.234287e+02, -1.213314e+02
1.803926591362e+03, -1.229825e+02, -1.209627e+02
1.813614711402e+03, -1.230326e+02, -1.206301e+02
1.823302831442e+03, -1.234117e+02, -1.207759e+02
1.832990951481e+03, -1.242365e+02, -1.209614e+02
1.842679071521e+03, -1.247803e+02, -1.213761e+02
1.852367191561e+03, -1.229967e+02, -1.204390e+02
1.862055311600e+03, -1.223147e+02, -1.207819e+02
1.871743431640e+03, -1.228685e+02, -1.209547e+02
1.881431551680e+03, -1.232675e+02, -1.208999e+02
1.891119671719e+03, -1.239253e+02, -1.208385e+02
