% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10.00 kHz, stop freq 1.000 00 MHz, RBW 2.054 kHz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:47:50 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.196011039118e+03, -1.180979e+02, -1.251738e+02
1.021326364328e+04, -1.180642e+02, -1.255494e+02
1.123051624745e+04, -1.179451e+02, -1.256005e+02
1.224776885162e+04, -1.179881e+02, -1.257690e+02
1.326502145578e+04, -1.181771e+02, -1.260571e+02
1.428227405995e+04, -1.179565e+02, -1.264966e+02
1.529952666412e+04, -1.179452e+02, -1.269617e+02
1.631677926828e+04, -1.181358e+02, -1.267924e+02
1.733403187245e+04, -1.183099e+02, -1.253261e+02
1.835128447662e+04, -1.183864e+02, -1.223910e+02
1.936853708078e+04, -1.185741e+02, -1.227757e+02
2.038578968495e+04, -1.184679e+02, -1.264067e+02
2.140304228912e+04, -1.184466e+02, -1.279587e+02
2.242029489328e+04, -1.183085e+02, -1.277738e+02
2.343754749745e+04, -1.183945e+02, -1.272295e+02
2.445480010162e+04, -1.183461e+02, -1.272890e+02
2.547205270578e+04, -1.183961e+02, -1.280339e+02
2.648930530995e+04, -1.184280e+02, -1.283187e+02
2.750655791412e+04, -1.182010e+02, -1.282694e+02
2.852381051828e+04, -1.181026e+02, -1.282487e+02
2.954106312245e+04, -1.181654e+02, -1.283399e+02
3.055831572662e+04, -1.182481e+02, -1.283954e+02
3.157556833078e+04, -1.184305e+02, -1.283848e+02
3.259282093495e+04, -1.186033e+02, -1.284027e+02
3.361007353912e+04, -1.183588e+02, -1.280853e+02
3.462732614328e+04, -1.183325e+02, -1.281355e+02
3.564457874745e+04, -1.182399e+02, -1.288764e+02
3.666183135162e+04, -1.181259e+02, -1.290001e+02
3.767908395578e+04, -1.183711e+02, -1.287761e+02
3.869633655995e+04, -1.183616e+02, -1.290168e+02
3.971358916412e+04, -1.182011e+02, -1.291391e+02
