% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10 Hz, stop freq 1.00 kHz, RBW 2.070 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:50:41 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.416872935910e+00, -1.043655e+02, -1.037746e+02
1.044232919011e+01, -1.053769e+02, -1.041582e+02
1.146778544431e+01, -1.057422e+02, -1.050413e+02
1.249324169851e+01, -1.062490e+02, -1.051170e+02
1.351869795271e+01, -1.066677e+02, -1.058745e+02
1.454415420691e+01, -1.067953e+02, -1.062614e+02
1.556961046111e+01, -1.069633e+02, -1.073335e+02
1.659506671531e+01, -1.071168e+02, -1.068945e+02
1.762052296951e+01, -1.076404e+02, -1.067086e+02
1.864597922371e+01, -1.079862e+02, -1.068737e+02
1.967143547791e+01, -1.076536e+02, -1.068001e+02
2.069689173211e+01, -1.081925e+02, -1.066941e+02
2.172234798631e+01, -1.082407e+02, -1.062318e+02
2.274780424051e+01, -1.087560e+02, -1.064436e+02
2.377326049471e+01, -1.080425e+02, -1.067753e+02
2.479871674891e+01, -1.085637e+02, -1.077251e+02
2.582417300311e+01, -1.082881e+02, -1.074762e+02
2.684962925731e+01, -1.088780e+02, -1.069367e+02
2.787508551152e+01, -1.089286e+02, -1.071758e+02
2.890054176572e+01, -1.081815e+02, -1.081599e+02
2.992599801992e+01, -1.091184e+02, -1.085329e+02
3.095145427412e+01, -1.094565e+02, -1.089605e+02
3.197691052832e+01, -1.099007e+02, -1.084076e+02
3.300236678252e+01, -1.089848e+02, -1.084815e+02
3.402782303672e+01, -1.090480e+02, -1.091695e+02
3.505327929092e+01, -1.087480e+02, -1.089824e+02
3.607873554512e+01, -1.099750e+02, -1.090444e+02
3.710419179932e+01, -1.098913e+02, -1.085635e+02
3.812964805352e+01, -1.096310e+02, -1.088382e+02
3.915510430772e+01, -1.099254e+02, -1.091048e+02
4.018056056192e+01, -1.101614e+02, -1.096687e+02
4.120601681612e+01, -1.099749e+02, -1.096647e+02
4.223147307032e+01, -1.100824e+02, -1.098259e+02
4.325692932452e+01, -1.099258e+02, -1.105899e+02
4.428238557872e+01, -1.104598e+02, -1.101507e+02
4.530784183292e+01, -1.110328e+02, -1.097506e+02
4.633329808712e+01, -1.105690e+02, -1.093347e+02
4.735875434132e+01, -1.105807e+02, -1.096693e+02
4.838421059552e+01, -1.112861e+02, -1.101663e+02
4.940966684972e+01, -1.105402e+02, -1.113546e+02
5.043512310392e+01, -1.105276e+02, -1.108736e+02
5.146057935812e+01, -1.107019e+02, -1.111309e+02
5.248603561232e+01, -1.110578e+02, -1.107118e+02
5.351149186652e+01, -1.107604e+02, -1.100946e+02
5.453694812072e+01, -1.106371e+02, -1.095051e+02
5.556240437492e+01, -1.113044e+02, -1.102727e+02
5.658786062912e+01, -1.120221e+02, -1.108853e+02
5.761331688332e+01, -1.081830e+02, -1.107843e+02
5.863877313752e+01, -9.669412e+01, -1.059829e+02
5.966422939172e+01, -9.163132e+01, -1.010173e+02
6.068968564592e+01, -9.260807e+01, -1.017557e+02
6.171514190012e+01, -9.974779e+01, -1.073744e+02
6.274059815432e+01, -1.110719e+02, -1.109280e+02
6.376605440852e+01, -1.129647e+02, -1.111058e+02
6.479151066272e+01, -1.130828e+02, -1.106513e+02
6.581696691693e+01, -1.123175e+02, -1.112971e+02
6.684242317113e+01, -1.119484e+02, -1.105806e+02
6.786787942533e+01, -1.115507e+02, -1.103567e+02
6.889333567953e+01, -1.126426e+02, -1.106126e+02
6.991879193373e+01, -1.127620e+02, -1.115309e+02
7.094424818793e+01, -1.132872e+02, -1.125174e+02
7.196970444213e+01, -1.129326e+02, -1.116963e+02
7.299516069633e+01, -1.123618e+02, -1.117820e+02
7.402061695053e+01, -1.124402e+02, -1.121168e+02
7.504607320473e+01, -1.118644e+02, -1.120202e+02
7.607152945893e+01, -1.123110e+02, -1.117759e+02
7.709698571313e+01, -1.119975e+02, -1.124351e+02
7.812244196733e+01, -1.123365e+02, -1.126963e+02
7.914789822153e+01, -1.121244e+02, -1.122165e+02
8.017335447573e+01, -1.116509e+02, -1.111623e+02
8.119881072993e+01, -1.122555e+02, -1.109437e+02
8.222426698413e+01, -1.135082e+02, -1.112906e+02
8.324972323833e+01, -1.135248e+02, -1.113770e+02
8.427517949253e+01, -1.126984e+02, -1.111101e+02
8.530063574673e+01, -1.121371e+02, -1.124423e+02
8.632609200093e+01, -1.127792e+02, -1.126405e+02
8.735154825513e+01, -1.127755e+02, -1.135741e+02
8.837700450933e+01, -1.118796e+02, -1.128094e+02
8.940246076353e+01, -1.119029e+02, -1.120472e+02
9.042791701773e+01, -1.127161e+02, -1.125564e+02
9.145337327193e+01, -1.126621e+02, -1.121280e+02
9.247882952613e+01, -1.124167e+02, -1.128166e+02
9.350428578033e+01, -1.120424e+02, -1.123284e+02
9.452974203453e+01, -1.130630e+02, -1.120215e+02
9.555519828873e+01, -1.135138e+02, -1.133249e+02
9.658065454293e+01, -1.128161e+02, -1.138557e+02
9.760611079713e+01, -1.125486e+02, -1.125225e+02
9.863156705133e+01, -1.124573e+02, -1.120767e+02
9.965702330553e+01, -1.128179e+02, -1.119606e+02
1.006824795597e+02, -1.128013e+02, -1.125465e+02
1.017079358139e+02, -1.129967e+02, -1.129631e+02
1.027333920681e+02, -1.132176e+02, -1.125742e+02
1.037588483223e+02, -1.132428e+02, -1.123777e+02
1.047843045765e+02, -1.128589e+02, -1.124683e+02
1.058097608307e+02, -1.126117e+02, -1.127950e+02
1.068352170849e+02, -1.123408e+02, -1.131870e+02
1.078606733391e+02, -1.133478e+02, -1.131496e+02
1.088861295933e+02, -1.136125e+02, -1.133579e+02
1.099115858475e+02, -1.135770e+02, -1.133475e+02
1.109370421017e+02, -1.132033e+02, -1.134615e+02
1.119624983559e+02, -1.134361e+02, -1.136065e+02
1.129879546101e+02, -1.130160e+02, -1.128961e+02
1.140134108643e+02, -1.135263e+02, -1.129416e+02
1.150388671185e+02, -1.145702e+02, -1.125377e+02
1.160643233727e+02, -1.145862e+02, -1.122210e+02
1.170897796269e+02, -1.131711e+02, -1.130981e+02
1.181152358811e+02, -1.056357e+02, -1.131429e+02
1.191406921353e+02, -9.686621e+01, -1.132561e+02
1.201661483895e+02, -9.465015e+01, -1.138552e+02
1.211916046437e+02, -9.844169e+01, -1.140032e+02
1.222170608979e+02, -1.089514e+02, -1.143521e+02
1.232425171521e+02, -1.137120e+02, -1.136044e+02
1.242679734063e+02, -1.130592e+02, -1.134479e+02
1.252934296605e+02, -1.129826e+02, -1.127886e+02
1.263188859147e+02, -1.129989e+02, -1.125693e+02
1.273443421689e+02, -1.131874e+02, -1.120945e+02
1.283697984231e+02, -1.138526e+02, -1.120490e+02
1.293952546773e+02, -1.142840e+02, -1.122523e+02
1.304207109315e+02, -1.140436e+02, -1.132359e+02
1.314461671857e+02, -1.140785e+02, -1.130118e+02
1.324716234399e+02, -1.137631e+02, -1.127450e+02
1.334970796941e+02, -1.133445e+02, -1.140969e+02
1.345225359483e+02, -1.135522e+02, -1.146716e+02
1.355479922025e+02, -1.131374e+02, -1.145316e+02
1.365734484567e+02, -1.127000e+02, -1.146744e+02
1.375989047109e+02, -1.134116e+02, -1.137585e+02
1.386243609651e+02, -1.138545e+02, -1.132048e+02
1.396498172193e+02, -1.134315e+02, -1.133644e+02
1.406752734735e+02, -1.133740e+02, -1.141686e+02
1.417007297277e+02, -1.130415e+02, -1.146459e+02
1.427261859819e+02, -1.135108e+02, -1.145378e+02
1.437516422361e+02, -1.132398e+02, -1.136784e+02
1.447770984903e+02, -1.138911e+02, -1.133400e+02
1.458025547445e+02, -1.136104e+02, -1.133983e+02
1.468280109987e+02, -1.146326e+02, -1.134028e+02
1.478534672529e+02, -1.141828e+02, -1.143024e+02
1.488789235071e+02, -1.131274e+02, -1.149148e+02
1.499043797613e+02, -1.137277e+02, -1.149453e+02
1.509298360155e+02, -1.138114e+02, -1.150116e+02
1.519552922697e+02, -1.137954e+02, -1.140988e+02
1.529807485239e+02, -1.140559e+02, -1.139796e+02
1.540062047781e+02, -1.145592e+02, -1.131093e+02
1.550316610323e+02, -1.150350e+02, -1.134905e+02
1.560571172865e+02, -1.145794e+02, -1.138349e+02
1.570825735407e+02, -1.148048e+02, -1.142998e+02
1.581080297949e+02, -1.148580e+02, -1.139043e+02
1.591334860491e+02, -1.145480e+02, -1.134145e+02
1.601589423033e+02, -1.137629e+02, -1.134351e+02
1.611843985576e+02, -1.134604e+02, -1.145550e+02
1.622098548118e+02, -1.131518e+02, -1.147302e+02
1.632353110660e+02, -1.134254e+02, -1.140134e+02
1.642607673202e+02, -1.138172e+02, -1.143478e+02
1.652862235744e+02, -1.145008e+02, -1.142407e+02
1.663116798286e+02, -1.152838e+02, -1.136705e+02
1.673371360828e+02, -1.140238e+02, -1.139726e+02
1.683625923370e+02, -1.131663e+02, -1.151401e+02
1.693880485912e+02, -1.136889e+02, -1.147063e+02
1.704135048454e+02, -1.132539e+02, -1.148603e+02
1.714389610996e+02, -1.134690e+02, -1.143656e+02
1.724644173538e+02, -1.135592e+02, -1.139680e+02
1.734898736080e+02, -1.145341e+02, -1.149138e+02
1.745153298622e+02, -1.146101e+02, -1.146047e+02
1.755407861164e+02, -1.139640e+02, -1.140451e+02
1.765662423706e+02, -1.137573e+02, -1.137155e+02
1.775916986248e+02, -1.094297e+02, -1.142005e+02
1.786171548790e+02, -9.747384e+01, -1.146704e+02
1.796426111332e+02, -9.208785e+01, -1.144438e+02
1.806680673874e+02, -9.271206e+01, -1.144862e+02
1.816935236416e+02, -9.942248e+01, -1.150594e+02
1.827189798958e+02, -1.080971e+02, -1.138942e+02
1.837444361500e+02, -1.129713e+02, -1.137142e+02
1.847698924042e+02, -1.145320e+02, -1.148249e+02
1.857953486584e+02, -1.138993e+02, -1.149356e+02
1.868208049126e+02, -1.136528e+02, -1.144857e+02
1.878462611668e+02, -1.143394e+02, -1.144965e+02
1.888717174210e+02, -1.143485e+02, -1.146654e+02
1.898971736752e+02, -1.149092e+02, -1.147713e+02
1.909226299294e+02, -1.152337e+02, -1.146865e+02
1.919480861836e+02, -1.138454e+02, -1.144261e+02
1.929735424378e+02, -1.142625e+02, -1.144753e+02
1.939989986920e+02, -1.151898e+02, -1.142986e+02
1.950244549462e+02, -1.160065e+02, -1.145407e+02
1.960499112004e+02, -1.155876e+02, -1.145548e+02
1.970753674546e+02, -1.154129e+02, -1.149804e+02
1.981008237088e+02, -1.153509e+02, -1.147985e+02
1.991262799630e+02, -1.143719e+02, -1.146491e+02
2.001517362172e+02, -1.140081e+02, -1.147144e+02
2.011771924714e+02, -1.141817e+02, -1.142413e+02
2.022026487256e+02, -1.140786e+02, -1.148029e+02
2.032281049798e+02, -1.153683e+02, -1.154467e+02
2.042535612340e+02, -1.145616e+02, -1.152909e+02
2.052790174882e+02, -1.149957e+02, -1.155627e+02
2.063044737424e+02, -1.138974e+02, -1.152305e+02
2.073299299966e+02, -1.136886e+02, -1.149784e+02
2.083553862508e+02, -1.145005e+02, -1.144340e+02
2.093808425050e+02, -1.152798e+02, -1.145328e+02
2.104062987592e+02, -1.149822e+02, -1.140191e+02
2.114317550134e+02, -1.153092e+02, -1.144633e+02
2.124572112676e+02, -1.154235e+02, -1.140187e+02
2.134826675218e+02, -1.149259e+02, -1.142473e+02
2.145081237760e+02, -1.154428e+02, -1.143228e+02
2.155335800302e+02, -1.139010e+02, -1.145767e+02
2.165590362844e+02, -1.118856e+02, -1.152788e+02
2.175844925386e+02, -1.119861e+02, -1.143083e+02
2.186099487928e+02, -1.133839e+02, -1.141280e+02
2.196354050470e+02, -1.149101e+02, -1.156333e+02
2.206608613012e+02, -1.152495e+02, -1.155752e+02
2.216863175554e+02, -1.141417e+02, -1.147823e+02
2.227117738096e+02, -1.141879e+02, -1.143377e+02
2.237372300638e+02, -1.155295e+02, -1.154388e+02
2.247626863180e+02, -1.152390e+02, -1.153255e+02
2.257881425722e+02, -1.153357e+02, -1.148659e+02
2.268135988264e+02, -1.147937e+02, -1.143219e+02
2.278390550806e+02, -1.142463e+02, -1.149781e+02
2.288645113348e+02, -1.146619e+02, -1.156046e+02
2.298899675890e+02, -1.155237e+02, -1.156067e+02
2.309154238432e+02, -1.151617e+02, -1.159755e+02
2.319408800974e+02, -1.152063e+02, -1.155816e+02
2.329663363516e+02, -1.152931e+02, -1.149035e+02
2.339917926058e+02, -1.148021e+02, -1.154606e+02
2.350172488600e+02, -1.151834e+02, -1.149780e+02
2.360427051142e+02, -1.153706e+02, -1.153906e+02
2.370681613684e+02, -1.147878e+02, -1.154644e+02
2.380936176226e+02, -1.046696e+02, -1.155374e+02
2.391190738768e+02, -9.592607e+01, -1.145492e+02
2.401445301310e+02, -9.353204e+01, -1.147380e+02
2.411699863852e+02, -9.702542e+01, -1.146432e+02
2.421954426394e+02, -1.072140e+02, -1.141661e+02
2.432208988936e+02, -1.147278e+02, -1.139751e+02
2.442463551478e+02, -1.145597e+02, -1.147469e+02
2.452718114020e+02, -1.147814e+02, -1.152243e+02
2.462972676562e+02, -1.143146e+02, -1.151276e+02
2.473227239104e+02, -1.150835e+02, -1.158512e+02
2.483481801646e+02, -1.149244e+02, -1.155532e+02
2.493736364188e+02, -1.153564e+02, -1.149644e+02
2.503990926730e+02, -1.150101e+02, -1.151638e+02
2.514245489272e+02, -1.149851e+02, -1.149563e+02
2.524500051814e+02, -1.145310e+02, -1.146987e+02
2.534754614356e+02, -1.138667e+02, -1.148752e+02
2.545009176898e+02, -1.146950e+02, -1.158375e+02
2.555263739440e+02, -1.151494e+02, -1.161709e+02
2.565518301982e+02, -1.153089e+02, -1.151592e+02
2.575772864524e+02, -1.151244e+02, -1.154297e+02
2.586027427066e+02, -1.161899e+02, -1.159510e+02
2.596281989608e+02, -1.162090e+02, -1.154775e+02
2.606536552150e+02, -1.150768e+02, -1.158070e+02
2.616791114692e+02, -1.151618e+02, -1.157679e+02
2.627045677234e+02, -1.157045e+02, -1.160669e+02
2.637300239776e+02, -1.154712e+02, -1.158426e+02
2.647554802318e+02, -1.156484e+02, -1.159277e+02
2.657809364860e+02, -1.150163e+02, -1.158162e+02
2.668063927402e+02, -1.149423e+02, -1.157066e+02
2.678318489944e+02, -1.154742e+02, -1.161244e+02
2.688573052486e+02, -1.154665e+02, -1.156929e+02
2.698827615028e+02, -1.161042e+02, -1.157216e+02
2.709082177570e+02, -1.158104e+02, -1.155818e+02
2.719336740112e+02, -1.150149e+02, -1.152345e+02
2.729591302654e+02, -1.150182e+02, -1.153062e+02
2.739845865196e+02, -1.155017e+02, -1.155487e+02
2.750100427738e+02, -1.157119e+02, -1.158980e+02
2.760354990280e+02, -1.151919e+02, -1.152832e+02
2.770609552822e+02, -1.151489e+02, -1.149397e+02
2.780864115364e+02, -1.145030e+02, -1.154161e+02
2.791118677906e+02, -1.146309e+02, -1.159305e+02
2.801373240448e+02, -1.152149e+02, -1.167841e+02
2.811627802990e+02, -1.159526e+02, -1.157382e+02
2.821882365532e+02, -1.153839e+02, -1.149651e+02
2.832136928074e+02, -1.152698e+02, -1.145860e+02
2.842391490616e+02, -1.148988e+02, -1.141476e+02
2.852646053158e+02, -1.154340e+02, -1.150661e+02
2.862900615700e+02, -1.153312e+02, -1.157938e+02
2.873155178242e+02, -1.159895e+02, -1.159901e+02
2.883409740784e+02, -1.158865e+02, -1.151558e+02
2.893664303326e+02, -1.152935e+02, -1.158425e+02
2.903918865868e+02, -1.160026e+02, -1.154001e+02
2.914173428410e+02, -1.157616e+02, -1.149011e+02
2.924427990952e+02, -1.153935e+02, -1.152595e+02
2.934682553494e+02, -1.155804e+02, -1.157637e+02
2.944937116036e+02, -1.151337e+02, -1.165811e+02
2.955191678578e+02, -1.152375e+02, -1.157459e+02
2.965446241120e+02, -1.153258e+02, -1.152059e+02
2.975700803662e+02, -1.099606e+02, -1.156117e+02
2.985955366204e+02, -9.785051e+01, -1.157193e+02
2.996209928746e+02, -9.230122e+01, -1.143713e+02
3.006464491288e+02, -9.268036e+01, -1.147571e+02
3.016719053830e+02, -9.914345e+01, -1.162209e+02
3.026973616372e+02, -1.119562e+02, -1.158947e+02
3.037228178914e+02, -1.146255e+02, -1.150973e+02
3.047482741456e+02, -1.147485e+02, -1.151528e+02
3.057737303998e+02, -1.147827e+02, -1.147566e+02
3.067991866540e+02, -1.152455e+02, -1.154110e+02
3.078246429082e+02, -1.153511e+02, -1.161851e+02
3.088500991624e+02, -1.156707e+02, -1.158945e+02
3.098755554166e+02, -1.162437e+02, -1.158126e+02
3.109010116708e+02, -1.157146e+02, -1.160844e+02
3.119264679250e+02, -1.164333e+02, -1.169009e+02
3.129519241792e+02, -1.160686e+02, -1.166561e+02
3.139773804334e+02, -1.153758e+02, -1.164574e+02
3.150028366876e+02, -1.155900e+02, -1.154617e+02
3.160282929418e+02, -1.162005e+02, -1.157557e+02
3.170537491960e+02, -1.155744e+02, -1.163066e+02
3.180792054502e+02, -1.152454e+02, -1.161504e+02
3.191046617044e+02, -1.156149e+02, -1.154513e+02
3.201301179586e+02, -1.161418e+02, -1.147343e+02
3.211555742128e+02, -1.155554e+02, -1.150799e+02
3.221810304670e+02, -1.156300e+02, -1.161123e+02
3.232064867212e+02, -1.165113e+02, -1.155746e+02
3.242319429754e+02, -1.168068e+02, -1.149488e+02
3.252573992296e+02, -1.148367e+02, -1.159017e+02
3.262828554838e+02, -1.153216e+02, -1.171722e+02
3.273083117380e+02, -1.155717e+02, -1.167035e+02
3.283337679922e+02, -1.156099e+02, -1.153814e+02
3.293592242464e+02, -1.159197e+02, -1.159321e+02
3.303846805006e+02, -1.151135e+02, -1.151450e+02
3.314101367548e+02, -1.151587e+02, -1.152105e+02
3.324355930090e+02, -1.155458e+02, -1.157734e+02
3.334610492632e+02, -1.157749e+02, -1.155676e+02
3.344865055174e+02, -1.164281e+02, -1.154865e+02
3.355119617716e+02, -1.165374e+02, -1.154832e+02
3.365374180258e+02, -1.160538e+02, -1.162695e+02
3.375628742800e+02, -1.152576e+02, -1.165145e+02
3.385883305342e+02, -1.153326e+02, -1.163827e+02
3.396137867884e+02, -1.162262e+02, -1.163386e+02
3.406392430426e+02, -1.162893e+02, -1.158550e+02
3.416646992968e+02, -1.161859e+02, -1.164475e+02
3.426901555510e+02, -1.155729e+02, -1.165012e+02
3.437156118052e+02, -1.154202e+02, -1.164620e+02
3.447410680594e+02, -1.153571e+02, -1.158377e+02
3.457665243136e+02, -1.160120e+02, -1.161928e+02
3.467919805678e+02, -1.159160e+02, -1.166538e+02
3.478174368220e+02, -1.152321e+02, -1.159988e+02
3.488428930762e+02, -1.152485e+02, -1.159794e+02
3.498683493304e+02, -1.159203e+02, -1.159461e+02
3.508938055846e+02, -1.158239e+02, -1.161527e+02
3.519192618388e+02, -1.157175e+02, -1.167865e+02
3.529447180930e+02, -1.156601e+02, -1.161957e+02
3.539701743472e+02, -1.156864e+02, -1.158525e+02
3.549956306014e+02, -1.159097e+02, -1.158852e+02
3.560210868556e+02, -1.158969e+02, -1.160953e+02
3.570465431098e+02, -1.145369e+02, -1.158112e+02
3.580719993640e+02, -1.021628e+02, -1.156432e+02
3.590974556182e+02, -9.308307e+01, -1.158107e+02
3.601229118724e+02, -9.039782e+01, -1.165070e+02
3.611483681266e+02, -9.360187e+01, -1.169992e+02
3.621738243808e+02, -9.830642e+01, -1.162018e+02
3.631992806350e+02, -9.891918e+01, -1.167204e+02
3.642247368892e+02, -1.054902e+02, -1.167945e+02
3.652501931434e+02, -1.149017e+02, -1.171026e+02
3.662756493976e+02, -1.158967e+02, -1.167282e+02
3.673011056518e+02, -1.157976e+02, -1.167700e+02
3.683265619060e+02, -1.162774e+02, -1.165975e+02
3.693520181602e+02, -1.162729e+02, -1.166223e+02
3.703774744144e+02, -1.158736e+02, -1.162013e+02
3.714029306686e+02, -1.151056e+02, -1.161583e+02
3.724283869228e+02, -1.153317e+02, -1.165703e+02
3.734538431770e+02, -1.161287e+02, -1.161550e+02
3.744792994312e+02, -1.159531e+02, -1.163418e+02
3.755047556854e+02, -1.163927e+02, -1.159966e+02
3.765302119396e+02, -1.163768e+02, -1.161597e+02
3.775556681938e+02, -1.160668e+02, -1.161947e+02
3.785811244480e+02, -1.159746e+02, -1.158511e+02
3.796065807022e+02, -1.151461e+02, -1.162409e+02
3.806320369564e+02, -1.154065e+02, -1.166462e+02
3.816574932106e+02, -1.162407e+02, -1.167623e+02
3.826829494648e+02, -1.164257e+02, -1.164949e+02
3.837084057190e+02, -1.158435e+02, -1.154635e+02
3.847338619732e+02, -1.153213e+02, -1.156234e+02
3.857593182274e+02, -1.154815e+02, -1.161540e+02
3.867847744816e+02, -1.151247e+02, -1.161008e+02
3.878102307358e+02, -1.146042e+02, -1.167931e+02
3.888356869900e+02, -1.156465e+02, -1.173733e+02
3.898611432442e+02, -1.152817e+02, -1.163442e+02
3.908865994984e+02, -1.155829e+02, -1.163885e+02
3.919120557526e+02, -1.157325e+02, -1.159832e+02
3.929375120068e+02, -1.159494e+02, -1.163224e+02
3.939629682610e+02, -1.154712e+02, -1.158802e+02
3.949884245152e+02, -1.158527e+02, -1.168464e+02
3.960138807694e+02, -1.160261e+02, -1.165870e+02
3.970393370236e+02, -1.163372e+02, -1.170211e+02
3.980647932778e+02, -1.164674e+02, -1.155863e+02
3.990902495320e+02, -1.156564e+02, -1.150127e+02
4.001157057862e+02, -1.168167e+02, -1.158700e+02
4.011411620404e+02, -1.161198e+02, -1.167639e+02
4.021666182946e+02, -1.165724e+02, -1.162701e+02
4.031920745488e+02, -1.165242e+02, -1.154180e+02
4.042175308030e+02, -1.157922e+02, -1.152309e+02
4.052429870572e+02, -1.158732e+02, -1.153573e+02
4.062684433114e+02, -1.162129e+02, -1.153906e+02
4.072938995656e+02, -1.167396e+02, -1.158794e+02
4.083193558198e+02, -1.166080e+02, -1.161978e+02
4.093448120740e+02, -1.163744e+02, -1.166250e+02
