% Moku:SpectrumAnalyzer
% Input 1 - AC coupling, 50 Ohm impedance, 1 Vpp range
% Input 2 - AC coupling, 1 MOhm impedance, 1 Vpp range
% Start freq 10 Hz, stop freq 1.00 kHz, RBW 2.070 Hz (Min mode), Blackman-Harris window, Video filter off, 100 averages
% Internal 10 MHz clock
% Acquired 2020-10-06 T 10:30:11 -0400
% Frequency (Hz), Input 1 (dBm/Hz), Input 2 (dBm/Hz)
9.416872935910e+00, -7.211289e+01, -1.037845e+02
1.044232919011e+01, -7.104886e+01, -1.044434e+02
1.146778544431e+01, -6.985125e+01, -1.043628e+02
1.249324169851e+01, -6.908899e+01, -1.048525e+02
1.351869795271e+01, -6.853637e+01, -1.047007e+02
1.454415420691e+01, -6.876887e+01, -1.045289e+02
1.556961046111e+01, -6.768958e+01, -1.047419e+02
1.659506671531e+01, -6.539755e+01, -1.052630e+02
1.762052296951e+01, -6.273016e+01, -1.061009e+02
1.864597922371e+01, -6.108316e+01, -1.061314e+02
1.967143547791e+01, -6.137750e+01, -1.077976e+02
2.069689173211e+01, -6.343289e+01, -1.083584e+02
2.172234798631e+01, -6.509811e+01, -1.088171e+02
2.274780424051e+01, -6.615435e+01, -1.078940e+02
2.377326049471e+01, -6.633150e+01, -1.077181e+02
2.479871674891e+01, -6.633170e+01, -1.077481e+02
2.582417300311e+01, -6.563488e+01, -1.071759e+02
2.684962925731e+01, -6.624669e+01, -1.074814e+02
2.787508551152e+01, -6.583339e+01, -1.071362e+02
2.890054176572e+01, -6.456026e+01, -1.071508e+02
2.992599801992e+01, -6.500611e+01, -1.078891e+02
3.095145427412e+01, -6.641008e+01, -1.082711e+02
3.197691052832e+01, -6.657374e+01, -1.079797e+02
3.300236678252e+01, -6.596029e+01, -1.081687e+02
3.402782303672e+01, -6.658201e+01, -1.087352e+02
3.505327929092e+01, -6.554487e+01, -1.094324e+02
3.607873554512e+01, -6.561595e+01, -1.089585e+02
3.710419179932e+01, -6.419777e+01, -1.091044e+02
3.812964805352e+01, -6.287955e+01, -1.087594e+02
3.915510430772e+01, -6.281687e+01, -1.083999e+02
4.018056056192e+01, -6.342370e+01, -1.086674e+02
4.120601681612e+01, -6.446252e+01, -1.096541e+02
4.223147307032e+01, -6.239168e+01, -1.106906e+02
4.325692932452e+01, -5.578383e+01, -1.096221e+02
4.428238557872e+01, -5.271057e+01, -1.091271e+02
4.530784183292e+01, -5.378454e+01, -1.089644e+02
4.633329808712e+01, -5.834214e+01, -1.093842e+02
4.735875434132e+01, -6.174295e+01, -1.099182e+02
4.838421059552e+01, -6.319876e+01, -1.094913e+02
4.940966684972e+01, -6.218928e+01, -1.096078e+02
5.043512310392e+01, -6.299278e+01, -1.088407e+02
5.146057935812e+01, -6.421812e+01, -1.100146e+02
5.248603561232e+01, -6.423106e+01, -1.097005e+02
5.351149186652e+01, -6.420741e+01, -1.094967e+02
5.453694812072e+01, -6.341317e+01, -1.100497e+02
5.556240437492e+01, -6.349257e+01, -1.110095e+02
5.658786062912e+01, -6.177346e+01, -1.110888e+02
5.761331688332e+01, -6.046812e+01, -1.096874e+02
5.863877313752e+01, -6.007668e+01, -1.046627e+02
5.966422939172e+01, -6.159203e+01, -9.977272e+01
6.068968564592e+01, -6.324388e+01, -1.005418e+02
6.171514190012e+01, -6.195226e+01, -1.063464e+02
6.274059815432e+01, -6.162643e+01, -1.104176e+02
6.376605440852e+01, -6.296632e+01, -1.109206e+02
6.479151066272e+01, -6.337552e+01, -1.106921e+02
6.581696691693e+01, -6.199715e+01, -1.110919e+02
6.684242317113e+01, -5.772858e+01, -1.106360e+02
6.786787942533e+01, -5.667208e+01, -1.108722e+02
6.889333567953e+01, -5.919236e+01, -1.109159e+02
6.991879193373e+01, -6.405266e+01, -1.116317e+02
7.094424818793e+01, -6.426194e+01, -1.115218e+02
7.196970444213e+01, -6.485072e+01, -1.103710e+02
7.299516069633e+01, -6.496337e+01, -1.101667e+02
7.402061695053e+01, -6.450416e+01, -1.104963e+02
7.504607320473e+01, -6.416372e+01, -1.111182e+02
7.607152945893e+01, -6.479534e+01, -1.110033e+02
7.709698571313e+01, -6.456487e+01, -1.110650e+02
7.812244196733e+01, -6.495742e+01, -1.113564e+02
7.914789822153e+01, -6.478424e+01, -1.112217e+02
8.017335447573e+01, -6.437906e+01, -1.117332e+02
8.119881072993e+01, -6.471413e+01, -1.120279e+02
8.222426698413e+01, -6.466026e+01, -1.115233e+02
8.324972323833e+01, -6.387249e+01, -1.111899e+02
8.427517949253e+01, -6.351738e+01, -1.116193e+02
8.530063574673e+01, -6.409331e+01, -1.119079e+02
8.632609200093e+01, -6.399129e+01, -1.110508e+02
8.735154825513e+01, -6.374617e+01, -1.109405e+02
